CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,0,250,0,1,0.966852
0,lt,up_statistic,0,0,2.4,0,250,0,1,1.02081
0,lt,down_statistic,0,0,2.4,0,250,0,1,0.912896
0,lt,up_cb,0,0,2.4,0,250,0,1,0.966852
0,lt,down_cb,0,0,2.4,0,250,0,1,0.966852
0,lt,up_add,0,0,2.4,0,250,0,1,0.966852
0,lt,down_add,0,0,2.4,0,250,0,1,0.966852
0,lt,up,0,0,2.4,0,250,0,1,1.02081
0,lt,down,0,0,2.4,0,250,0,1,0.912896
0,lt,central,0,0,2.4,250,300,0,1,0.986873
0,lt,up_statistic,0,0,2.4,250,300,0,1,1.01601
0,lt,down_statistic,0,0,2.4,250,300,0,1,0.957733
0,lt,up_cb,0,0,2.4,250,300,0,1,0.986873
0,lt,down_cb,0,0,2.4,250,300,0,1,0.986873
0,lt,up_add,0,0,2.4,250,300,0,1,0.986873
0,lt,down_add,0,0,2.4,250,300,0,1,0.986873
0,lt,up,0,0,2.4,250,300,0,1,1.01601
0,lt,down,0,0,2.4,250,300,0,1,0.957733
0,lt,central,0,0,2.4,300,450,0,1,0.978708
0,lt,up_statistic,0,0,2.4,300,450,0,1,1.01573
0,lt,down_statistic,0,0,2.4,300,450,0,1,0.941682
0,lt,up_cb,0,0,2.4,300,450,0,1,0.978708
0,lt,down_cb,0,0,2.4,300,450,0,1,0.978708
0,lt,up_add,0,0,2.4,300,450,0,1,0.978708
0,lt,down_add,0,0,2.4,300,450,0,1,0.978708
0,lt,up,0,0,2.4,300,450,0,1,1.01573
0,lt,down,0,0,2.4,300,450,0,1,0.941682
0,lt,central,0,0,2.4,450,1000,0,1,0.964557
0,lt,up_statistic,0,0,2.4,450,1000,0,1,1.03042
0,lt,down_statistic,0,0,2.4,450,1000,0,1,0.898696
0,lt,up_cb,0,0,2.4,450,1000,0,1,0.964557
0,lt,down_cb,0,0,2.4,450,1000,0,1,0.964557
0,lt,up_add,0,0,2.4,450,1000,0,1,0.964557
0,lt,down_add,0,0,2.4,450,1000,0,1,0.964557
0,lt,up,0,0,2.4,450,1000,0,1,1.03042
0,lt,down,0,0,2.4,450,1000,0,1,0.898696
