CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,0,250,0,1,0.921467
1,lt,up_statistic,0,0,2.4,0,250,0,1,0.974365
1,lt,down_statistic,0,0,2.4,0,250,0,1,0.868569
1,lt,up_cb,0,0,2.4,0,250,0,1,0.921467
1,lt,down_cb,0,0,2.4,0,250,0,1,0.921467
1,lt,up_add,0,0,2.4,0,250,0,1,0.921467
1,lt,down_add,0,0,2.4,0,250,0,1,0.921467
1,lt,up,0,0,2.4,0,250,0,1,0.974365
1,lt,down,0,0,2.4,0,250,0,1,0.868569
1,lt,central,0,0,2.4,250,300,0,1,0.999817
1,lt,up_statistic,0,0,2.4,250,300,0,1,1.0302
1,lt,down_statistic,0,0,2.4,250,300,0,1,0.969438
1,lt,up_cb,0,0,2.4,250,300,0,1,0.999817
1,lt,down_cb,0,0,2.4,250,300,0,1,0.999817
1,lt,up_add,0,0,2.4,250,300,0,1,0.999817
1,lt,down_add,0,0,2.4,250,300,0,1,0.999817
1,lt,up,0,0,2.4,250,300,0,1,1.0302
1,lt,down,0,0,2.4,250,300,0,1,0.969438
1,lt,central,0,0,2.4,300,450,0,1,0.996381
1,lt,up_statistic,0,0,2.4,300,450,0,1,1.03492
1,lt,down_statistic,0,0,2.4,300,450,0,1,0.957842
1,lt,up_cb,0,0,2.4,300,450,0,1,0.996381
1,lt,down_cb,0,0,2.4,300,450,0,1,0.996381
1,lt,up_add,0,0,2.4,300,450,0,1,0.996381
1,lt,down_add,0,0,2.4,300,450,0,1,0.996381
1,lt,up,0,0,2.4,300,450,0,1,1.03492
1,lt,down,0,0,2.4,300,450,0,1,0.957842
1,lt,central,0,0,2.4,450,1000,0,1,0.979033
1,lt,up_statistic,0,0,2.4,450,1000,0,1,1.04651
1,lt,down_statistic,0,0,2.4,450,1000,0,1,0.911555
1,lt,up_cb,0,0,2.4,450,1000,0,1,0.979033
1,lt,down_cb,0,0,2.4,450,1000,0,1,0.979033
1,lt,up_add,0,0,2.4,450,1000,0,1,0.979033
1,lt,down_add,0,0,2.4,450,1000,0,1,0.979033
1,lt,up,0,0,2.4,450,1000,0,1,1.04651
1,lt,down,0,0,2.4,450,1000,0,1,0.911555
