CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,0,250,0,1,1.02891
1,lt,up_statistic,0,0,2.4,0,250,0,1,1.07129
1,lt,down_statistic,0,0,2.4,0,250,0,1,0.98653
1,lt,up_cb,0,0,2.4,0,250,0,1,1.02891
1,lt,down_cb,0,0,2.4,0,250,0,1,1.02891
1,lt,up_add,0,0,2.4,0,250,0,1,1.02891
1,lt,down_add,0,0,2.4,0,250,0,1,1.02891
1,lt,up,0,0,2.4,0,250,0,1,1.07129
1,lt,down,0,0,2.4,0,250,0,1,0.98653
1,lt,central,0,0,2.4,250,300,0,1,0.988943
1,lt,up_statistic,0,0,2.4,250,300,0,1,1.01794
1,lt,down_statistic,0,0,2.4,250,300,0,1,0.959947
1,lt,up_cb,0,0,2.4,250,300,0,1,0.988943
1,lt,down_cb,0,0,2.4,250,300,0,1,0.988943
1,lt,up_add,0,0,2.4,250,300,0,1,0.988943
1,lt,down_add,0,0,2.4,250,300,0,1,0.988943
1,lt,up,0,0,2.4,250,300,0,1,1.01794
1,lt,down,0,0,2.4,250,300,0,1,0.959947
1,lt,central,0,0,2.4,300,450,0,1,1.00809
1,lt,up_statistic,0,0,2.4,300,450,0,1,1.05284
1,lt,down_statistic,0,0,2.4,300,450,0,1,0.963346
1,lt,up_cb,0,0,2.4,300,450,0,1,1.00809
1,lt,down_cb,0,0,2.4,300,450,0,1,1.00809
1,lt,up_add,0,0,2.4,300,450,0,1,1.00809
1,lt,down_add,0,0,2.4,300,450,0,1,1.00809
1,lt,up,0,0,2.4,300,450,0,1,1.05284
1,lt,down,0,0,2.4,300,450,0,1,0.963346
1,lt,central,0,0,2.4,450,1000,0,1,0.994437
1,lt,up_statistic,0,0,2.4,450,1000,0,1,1.05585
1,lt,down_statistic,0,0,2.4,450,1000,0,1,0.933028
1,lt,up_cb,0,0,2.4,450,1000,0,1,0.994437
1,lt,down_cb,0,0,2.4,450,1000,0,1,0.994437
1,lt,up_add,0,0,2.4,450,1000,0,1,0.994437
1,lt,down_add,0,0,2.4,450,1000,0,1,0.994437
1,lt,up,0,0,2.4,450,1000,0,1,1.05585
1,lt,down,0,0,2.4,450,1000,0,1,0.933028
