CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,450,500,0,1,0.908153
2,lt,up_ntrk,0,0,2.4,450,500,0,1,0.881391
2,lt,up_mupt,0,0,2.4,450,500,0,1,0.920914
2,lt,up_gluonsplitting,0,0,2.4,450,500,0,1,0.941034
2,lt,up_bfragmentation,0,0,2.4,450,500,0,1,0.914139
2,lt,up_dmux,0,0,2.4,450,500,0,1,0.908156
2,lt,up_cfragmentation,0,0,2.4,450,500,0,1,0.908156
2,lt,up_ksl,0,0,2.4,450,500,0,1,0.908156
2,lt,up_jes,0,0,2.4,450,500,0,1,0.906814
2,lt,down_ntrk,0,0,2.4,450,500,0,1,0.908156
2,lt,down_mupt,0,0,2.4,450,500,0,1,0.908156
2,lt,down_gluonsplitting,0,0,2.4,450,500,0,1,0.860963
2,lt,down_bfragmentation,0,0,2.4,450,500,0,1,0.906605
2,lt,down_dmux,0,0,2.4,450,500,0,1,0.906496
2,lt,down_cfragmentation,0,0,2.4,450,500,0,1,0.904148
2,lt,down_ksl,0,0,2.4,450,500,0,1,0.908156
2,lt,down_jes,0,0,2.4,450,500,0,1,0.914815
2,lt,up_statistic,0,0,2.4,450,500,0,1,0.965614
2,lt,down_statistic,0,0,2.4,450,500,0,1,0.850692
2,lt,up_cb,0,0,2.4,450,500,0,1,0.908153
2,lt,down_cb,0,0,2.4,450,500,0,1,0.908153
2,lt,up_add,0,0,2.4,450,500,0,1,0.92638
2,lt,down_add,0,0,2.4,450,500,0,1,0.889926
2,lt,up,0,0,2.4,450,500,0,1,0.978567
2,lt,down,0,0,2.4,450,500,0,1,0.826912
2,lt,central,0,0,2.4,500,600,0,1,0.959203
2,lt,up_ntrk,0,0,2.4,500,600,0,1,0.978109
2,lt,up_mupt,0,0,2.4,500,600,0,1,0.948726
2,lt,up_gluonsplitting,0,0,2.4,500,600,0,1,0.986042
2,lt,up_bfragmentation,0,0,2.4,500,600,0,1,0.962763
2,lt,up_dmux,0,0,2.4,500,600,0,1,0.959204
2,lt,up_cfragmentation,0,0,2.4,500,600,0,1,0.959204
2,lt,up_ksl,0,0,2.4,500,600,0,1,0.959157
2,lt,up_jes,0,0,2.4,500,600,0,1,0.954806
2,lt,down_ntrk,0,0,2.4,500,600,0,1,0.959204
2,lt,down_mupt,0,0,2.4,500,600,0,1,0.959204
2,lt,down_gluonsplitting,0,0,2.4,500,600,0,1,0.919518
2,lt,down_bfragmentation,0,0,2.4,500,600,0,1,0.962773
2,lt,down_dmux,0,0,2.4,500,600,0,1,0.961322
2,lt,down_cfragmentation,0,0,2.4,500,600,0,1,0.963958
2,lt,down_ksl,0,0,2.4,500,600,0,1,0.959204
2,lt,down_jes,0,0,2.4,500,600,0,1,0.967548
2,lt,up_statistic,0,0,2.4,500,600,0,1,1.00184
2,lt,down_statistic,0,0,2.4,500,600,0,1,0.916567
2,lt,up_cb,0,0,2.4,500,600,0,1,0.959203
2,lt,down_cb,0,0,2.4,500,600,0,1,0.959203
2,lt,up_add,0,0,2.4,500,600,0,1,0.976218
2,lt,down_add,0,0,2.4,500,600,0,1,0.942188
2,lt,up,0,0,2.4,500,600,0,1,1.01671
2,lt,down,0,0,2.4,500,600,0,1,0.897467
2,lt,central,0,0,2.4,600,1000,0,1,1.02885
2,lt,up_ntrk,0,0,2.4,600,1000,0,1,1.01597
2,lt,up_mupt,0,0,2.4,600,1000,0,1,1.02182
2,lt,up_gluonsplitting,0,0,2.4,600,1000,0,1,1.06161
2,lt,up_bfragmentation,0,0,2.4,600,1000,0,1,1.03206
2,lt,up_dmux,0,0,2.4,600,1000,0,1,1.02885
2,lt,up_cfragmentation,0,0,2.4,600,1000,0,1,1.02885
2,lt,up_ksl,0,0,2.4,600,1000,0,1,1.02886
2,lt,up_jes,0,0,2.4,600,1000,0,1,1.03786
2,lt,down_ntrk,0,0,2.4,600,1000,0,1,1.02885
2,lt,down_mupt,0,0,2.4,600,1000,0,1,1.02885
2,lt,down_gluonsplitting,0,0,2.4,600,1000,0,1,0.979537
2,lt,down_bfragmentation,0,0,2.4,600,1000,0,1,1.0328
2,lt,down_dmux,0,0,2.4,600,1000,0,1,1.0268
2,lt,down_cfragmentation,0,0,2.4,600,1000,0,1,1.03407
2,lt,down_ksl,0,0,2.4,600,1000,0,1,1.02885
2,lt,down_jes,0,0,2.4,600,1000,0,1,1.02909
2,lt,up_statistic,0,0,2.4,600,1000,0,1,1.07857
2,lt,down_statistic,0,0,2.4,600,1000,0,1,0.979132
2,lt,up_cb,0,0,2.4,600,1000,0,1,1.02885
2,lt,down_cb,0,0,2.4,600,1000,0,1,1.02885
2,lt,up_add,0,0,2.4,600,1000,0,1,1.03759
2,lt,down_add,0,0,2.4,600,1000,0,1,1.02011
2,lt,up,0,0,2.4,600,1000,0,1,1.09014
2,lt,down,0,0,2.4,600,1000,0,1,0.956743
