CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,450,500,0,1,0.98715
0,lt,up_ntrk,0,0,2.4,450,500,0,1,0.974452
0,lt,up_mupt,0,0,2.4,450,500,0,1,0.981711
0,lt,up_gluonsplitting,0,0,2.4,450,500,0,1,0.988111
0,lt,up_bfragmentation,0,0,2.4,450,500,0,1,0.98757
0,lt,up_dmux,0,0,2.4,450,500,0,1,0.98715
0,lt,up_cfragmentation,0,0,2.4,450,500,0,1,0.98715
0,lt,up_ksl,0,0,2.4,450,500,0,1,0.987138
0,lt,up_jes,0,0,2.4,450,500,0,1,0.98537
0,lt,down_ntrk,0,0,2.4,450,500,0,1,0.98715
0,lt,down_mupt,0,0,2.4,450,500,0,1,0.98715
0,lt,down_gluonsplitting,0,0,2.4,450,500,0,1,0.986427
0,lt,down_bfragmentation,0,0,2.4,450,500,0,1,0.986764
0,lt,down_dmux,0,0,2.4,450,500,0,1,0.988456
0,lt,down_cfragmentation,0,0,2.4,450,500,0,1,0.98768
0,lt,down_ksl,0,0,2.4,450,500,0,1,0.98715
0,lt,down_jes,0,0,2.4,450,500,0,1,0.989755
0,lt,up_statistic,0,0,2.4,450,500,0,1,1.04099
0,lt,down_statistic,0,0,2.4,450,500,0,1,0.933311
0,lt,up_cb,0,0,2.4,450,500,0,1,0.98715
0,lt,down_cb,0,0,2.4,450,500,0,1,0.98715
0,lt,up_add,0,0,2.4,450,500,0,1,0.992988
0,lt,down_add,0,0,2.4,450,500,0,1,0.981312
0,lt,up,0,0,2.4,450,500,0,1,1.0414
0,lt,down,0,0,2.4,450,500,0,1,0.931227
0,lt,central,0,0,2.4,500,600,0,1,0.988516
0,lt,up_ntrk,0,0,2.4,500,600,0,1,0.988348
0,lt,up_mupt,0,0,2.4,500,600,0,1,0.988413
0,lt,up_gluonsplitting,0,0,2.4,500,600,0,1,0.989909
0,lt,up_bfragmentation,0,0,2.4,500,600,0,1,0.988532
0,lt,up_dmux,0,0,2.4,500,600,0,1,0.988515
0,lt,up_cfragmentation,0,0,2.4,500,600,0,1,0.988515
0,lt,up_ksl,0,0,2.4,500,600,0,1,0.988512
0,lt,up_jes,0,0,2.4,500,600,0,1,0.987332
0,lt,down_ntrk,0,0,2.4,500,600,0,1,0.988515
0,lt,down_mupt,0,0,2.4,500,600,0,1,0.988515
0,lt,down_gluonsplitting,0,0,2.4,500,600,0,1,0.986443
0,lt,down_bfragmentation,0,0,2.4,500,600,0,1,0.988376
0,lt,down_dmux,0,0,2.4,500,600,0,1,0.988936
0,lt,down_cfragmentation,0,0,2.4,500,600,0,1,0.989246
0,lt,down_ksl,0,0,2.4,500,600,0,1,0.988515
0,lt,down_jes,0,0,2.4,500,600,0,1,0.982974
0,lt,up_statistic,0,0,2.4,500,600,0,1,1.03032
0,lt,down_statistic,0,0,2.4,500,600,0,1,0.946708
0,lt,up_cb,0,0,2.4,500,600,0,1,0.988516
0,lt,down_cb,0,0,2.4,500,600,0,1,0.988516
0,lt,up_add,0,0,2.4,500,600,0,1,0.995429
0,lt,down_add,0,0,2.4,500,600,0,1,0.981603
0,lt,up,0,0,2.4,500,600,0,1,1.03092
0,lt,down,0,0,2.4,500,600,0,1,0.945712
0,lt,central,0,0,2.4,600,1000,0,1,1.01753
0,lt,up_ntrk,0,0,2.4,600,1000,0,1,1.01679
0,lt,up_mupt,0,0,2.4,600,1000,0,1,1.0176
0,lt,up_gluonsplitting,0,0,2.4,600,1000,0,1,1.01855
0,lt,up_bfragmentation,0,0,2.4,600,1000,0,1,1.01762
0,lt,up_dmux,0,0,2.4,600,1000,0,1,1.0176
0,lt,up_cfragmentation,0,0,2.4,600,1000,0,1,1.0176
0,lt,up_ksl,0,0,2.4,600,1000,0,1,1.0176
0,lt,up_jes,0,0,2.4,600,1000,0,1,1.01768
0,lt,down_ntrk,0,0,2.4,600,1000,0,1,1.0176
0,lt,down_mupt,0,0,2.4,600,1000,0,1,1.0176
0,lt,down_gluonsplitting,0,0,2.4,600,1000,0,1,1.01635
0,lt,down_bfragmentation,0,0,2.4,600,1000,0,1,1.01766
0,lt,down_dmux,0,0,2.4,600,1000,0,1,1.01807
0,lt,down_cfragmentation,0,0,2.4,600,1000,0,1,1.01823
0,lt,down_ksl,0,0,2.4,600,1000,0,1,1.0176
0,lt,down_jes,0,0,2.4,600,1000,0,1,1.01765
0,lt,up_statistic,0,0,2.4,600,1000,0,1,1.06625
0,lt,down_statistic,0,0,2.4,600,1000,0,1,0.96881
0,lt,up_cb,0,0,2.4,600,1000,0,1,1.01753
0,lt,down_cb,0,0,2.4,600,1000,0,1,1.01753
0,lt,up_add,0,0,2.4,600,1000,0,1,1.02928
0,lt,down_add,0,0,2.4,600,1000,0,1,1.00578
0,lt,up,0,0,2.4,600,1000,0,1,1.06767
0,lt,down,0,0,2.4,600,1000,0,1,0.967393
