CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,0,150,0,1,0.9629
0,lt,up_ntrk,0,0,2.4,0,150,0,1,0.988877
0,lt,up_mupt,0,0,2.4,0,150,0,1,0.961865
0,lt,up_gluonsplitting,0,0,2.4,0,150,0,1,0.965213
0,lt,up_bfragmentation,0,0,2.4,0,150,0,1,0.959104
0,lt,up_dmux,0,0,2.4,0,150,0,1,0.9629
0,lt,up_cfragmentation,0,0,2.4,0,150,0,1,0.9629
0,lt,up_ksl,0,0,2.4,0,150,0,1,0.962883
0,lt,up_jes,0,0,2.4,0,150,0,1,0.967373
0,lt,down_ntrk,0,0,2.4,0,150,0,1,0.9629
0,lt,down_mupt,0,0,2.4,0,150,0,1,0.9629
0,lt,down_gluonsplitting,0,0,2.4,0,150,0,1,0.959008
0,lt,down_bfragmentation,0,0,2.4,0,150,0,1,0.958935
0,lt,down_dmux,0,0,2.4,0,150,0,1,0.962936
0,lt,down_cfragmentation,0,0,2.4,0,150,0,1,0.963297
0,lt,down_ksl,0,0,2.4,0,150,0,1,0.9629
0,lt,down_jes,0,0,2.4,0,150,0,1,0.962333
0,lt,up_statistic,0,0,2.4,0,150,0,1,1.01115
0,lt,down_statistic,0,0,2.4,0,150,0,1,0.914647
0,lt,up_cb,0,0,2.4,0,150,0,1,0.9629
0,lt,down_cb,0,0,2.4,0,150,0,1,0.9629
0,lt,up_add,0,0,2.4,0,150,0,1,0.981303
0,lt,down_add,0,0,2.4,0,150,0,1,0.944497
0,lt,up,0,0,2.4,0,150,0,1,1.02093
0,lt,down,0,0,2.4,0,150,0,1,0.910806
0,lt,central,0,0,2.4,150,200,0,1,0.922313
0,lt,up_ntrk,0,0,2.4,150,200,0,1,0.939194
0,lt,up_mupt,0,0,2.4,150,200,0,1,0.921644
0,lt,up_gluonsplitting,0,0,2.4,150,200,0,1,0.922712
0,lt,up_bfragmentation,0,0,2.4,150,200,0,1,0.923322
0,lt,up_dmux,0,0,2.4,150,200,0,1,0.922314
0,lt,up_cfragmentation,0,0,2.4,150,200,0,1,0.922314
0,lt,up_ksl,0,0,2.4,150,200,0,1,0.922341
0,lt,up_jes,0,0,2.4,150,200,0,1,0.919222
0,lt,down_ntrk,0,0,2.4,150,200,0,1,0.922314
0,lt,down_mupt,0,0,2.4,150,200,0,1,0.922314
0,lt,down_gluonsplitting,0,0,2.4,150,200,0,1,0.921997
0,lt,down_bfragmentation,0,0,2.4,150,200,0,1,0.921238
0,lt,down_dmux,0,0,2.4,150,200,0,1,0.921425
0,lt,down_cfragmentation,0,0,2.4,150,200,0,1,0.92505
0,lt,down_ksl,0,0,2.4,150,200,0,1,0.922314
0,lt,down_jes,0,0,2.4,150,200,0,1,0.918404
0,lt,up_statistic,0,0,2.4,150,200,0,1,0.969538
0,lt,down_statistic,0,0,2.4,150,200,0,1,0.875088
0,lt,up_cb,0,0,2.4,150,200,0,1,0.922313
0,lt,down_cb,0,0,2.4,150,200,0,1,0.922313
0,lt,up_add,0,0,2.4,150,200,0,1,0.948602
0,lt,down_add,0,0,2.4,150,200,0,1,0.896024
0,lt,up,0,0,2.4,150,200,0,1,0.979013
0,lt,down,0,0,2.4,150,200,0,1,0.868012
0,lt,central,0,0,2.4,200,250,0,1,0.981853
0,lt,up_ntrk,0,0,2.4,200,250,0,1,1.02264
0,lt,up_mupt,0,0,2.4,200,250,0,1,0.979454
0,lt,up_gluonsplitting,0,0,2.4,200,250,0,1,0.986384
0,lt,up_bfragmentation,0,0,2.4,200,250,0,1,0.979181
0,lt,up_dmux,0,0,2.4,200,250,0,1,0.981853
0,lt,up_cfragmentation,0,0,2.4,200,250,0,1,0.981853
0,lt,up_ksl,0,0,2.4,200,250,0,1,0.981832
