CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,0,150,0,1,0.993559
1,lt,up_ntrk,0,0,2.4,0,150,0,1,1.00109
1,lt,up_mupt,0,0,2.4,0,150,0,1,0.99334
1,lt,up_gluonsplitting,0,0,2.4,0,150,0,1,0.990066
1,lt,up_bfragmentation,0,0,2.4,0,150,0,1,0.986693
1,lt,up_dmux,0,0,2.4,0,150,0,1,0.993559
1,lt,up_cfragmentation,0,0,2.4,0,150,0,1,0.993559
1,lt,up_ksl,0,0,2.4,0,150,0,1,0.993566
1,lt,up_jes,0,0,2.4,0,150,0,1,0.99954
1,lt,down_ntrk,0,0,2.4,0,150,0,1,0.993559
1,lt,down_mupt,0,0,2.4,0,150,0,1,0.993559
1,lt,down_gluonsplitting,0,0,2.4,0,150,0,1,0.999383
1,lt,down_bfragmentation,0,0,2.4,0,150,0,1,0.989599
1,lt,down_dmux,0,0,2.4,0,150,0,1,0.99346
1,lt,down_cfragmentation,0,0,2.4,0,150,0,1,0.993975
1,lt,down_ksl,0,0,2.4,0,150,0,1,0.993559
1,lt,down_jes,0,0,2.4,0,150,0,1,0.991669
1,lt,up_statistic,0,0,2.4,0,150,0,1,1.0439
1,lt,down_statistic,0,0,2.4,0,150,0,1,0.943223
1,lt,up_cb,0,0,2.4,0,150,0,1,0.993559
1,lt,down_cb,0,0,2.4,0,150,0,1,0.993559
1,lt,up_add,0,0,2.4,0,150,0,1,1.01135
1,lt,down_add,0,0,2.4,0,150,0,1,0.975765
1,lt,up,0,0,2.4,0,150,0,1,1.04812
1,lt,down,0,0,2.4,0,150,0,1,0.939439
1,lt,central,0,0,2.4,150,200,0,1,0.910001
1,lt,up_ntrk,0,0,2.4,150,200,0,1,0.921107
1,lt,up_mupt,0,0,2.4,150,200,0,1,0.909393
1,lt,up_gluonsplitting,0,0,2.4,150,200,0,1,0.907527
1,lt,up_bfragmentation,0,0,2.4,150,200,0,1,0.908999
1,lt,up_dmux,0,0,2.4,150,200,0,1,0.910006
1,lt,up_cfragmentation,0,0,2.4,150,200,0,1,0.910006
1,lt,up_ksl,0,0,2.4,150,200,0,1,0.910033
1,lt,up_jes,0,0,2.4,150,200,0,1,0.908528
1,lt,down_ntrk,0,0,2.4,150,200,0,1,0.910006
1,lt,down_mupt,0,0,2.4,150,200,0,1,0.910006
1,lt,down_gluonsplitting,0,0,2.4,150,200,0,1,0.916875
1,lt,down_bfragmentation,0,0,2.4,150,200,0,1,0.909563
1,lt,down_dmux,0,0,2.4,150,200,0,1,0.908605
1,lt,down_cfragmentation,0,0,2.4,150,200,0,1,0.911936
1,lt,down_ksl,0,0,2.4,150,200,0,1,0.910006
1,lt,down_jes,0,0,2.4,150,200,0,1,0.911536
1,lt,up_statistic,0,0,2.4,150,200,0,1,0.958164
1,lt,down_statistic,0,0,2.4,150,200,0,1,0.861838
1,lt,up_cb,0,0,2.4,150,200,0,1,0.910001
1,lt,down_cb,0,0,2.4,150,200,0,1,0.910001
1,lt,up_add,0,0,2.4,150,200,0,1,0.940779
1,lt,down_add,0,0,2.4,150,200,0,1,0.879223
1,lt,up,0,0,2.4,150,200,0,1,0.968684
1,lt,down,0,0,2.4,150,200,0,1,0.852741
1,lt,central,0,0,2.4,200,250,0,1,0.942103
1,lt,up_ntrk,0,0,2.4,200,250,0,1,0.958164
1,lt,up_mupt,0,0,2.4,200,250,0,1,0.940836
1,lt,up_gluonsplitting,0,0,2.4,200,250,0,1,0.946419
1,lt,up_bfragmentation,0,0,2.4,200,250,0,1,0.938715
1,lt,up_dmux,0,0,2.4,200,250,0,1,0.942103
1,lt,up_cfragmentation,0,0,2.4,200,250,0,1,0.942103
1,lt,up_ksl,0,0,2.4,200,250,0,1,0.942098
1,lt,up_jes,0,0,2.4,200,250,0,1,0.936514
1,lt,down_ntrk,0,0,2.4,200,250,0,1,0.942103
1,lt,down_mupt,0,0,2.4,200,250,0,1,0.942103
1,lt,down_gluonsplitting,0,0,2.4,200,250,0,1,0.934032
1,lt,down_bfragmentation,0,0,2.4,200,250,0,1,0.945909
1,lt,down_dmux,0,0,2.4,200,250,0,1,0.942459
1,lt,down_cfragmentation,0,0,2.4,200,250,0,1,0.944683
1,lt,down_ksl,0,0,2.4,200,250,0,1,0.942103
1,lt,down_jes,0,0,2.4,200,250,0,1,0.94113
1,lt,up_statistic,0,0,2.4,200,250,0,1,0.994373
1,lt,down_statistic,0,0,2.4,200,250,0,1,0.889833
1,lt,up_cb,0,0,2.4,200,250,0,1,0.942103
1,lt,down_cb,0,0,2.4,200,250,0,1,0.942103
1,lt,up_add,0,0,2.4,200,250,0,1,0.963475
1,lt,down_add,0,0,2.4,200,250,0,1,0.920731
1,lt,up,0,0,2.4,200,250,0,1,1.00115
1,lt,down,0,0,2.4,200,250,0,1,0.884663
1,lt,central,0,0,2.4,250,300,0,1,0.979875
1,lt,up_ntrk,0,0,2.4,250,300,0,1,0.969179
1,lt,up_mupt,0,0,2.4,250,300,0,1,0.970967
1,lt,up_gluonsplitting,0,0,2.4,250,300,0,1,0.977434
1,lt,up_bfragmentation,0,0,2.4,250,300,0,1,0.975259
1,lt,up_dmux,0,0,2.4,250,300,0,1,0.979878
1,lt,up_cfragmentation,0,0,2.4,250,300,0,1,0.979878
1,lt,up_ksl,0,0,2.4,250,300,0,1,0.979865
1,lt,up_jes,0,0,2.4,250,300,0,1,0.970347
1,lt,down_ntrk,0,0,2.4,250,300,0,1,0.979878
1,lt,down_mupt,0,0,2.4,250,300,0,1,0.979878
1,lt,down_gluonsplitting,0,0,2.4,250,300,0,1,0.985229
1,lt,down_bfragmentation,0,0,2.4,250,300,0,1,0.983359
1,lt,down_dmux,0,0,2.4,250,300,0,1,0.977338
1,lt,down_cfragmentation,0,0,2.4,250,300,0,1,0.979035
1,lt,down_ksl,0,0,2.4,250,300,0,1,0.979878
1,lt,down_jes,0,0,2.4,250,300,0,1,0.981009
1,lt,up_statistic,0,0,2.4,250,300,0,1,1.03932
1,lt,down_statistic,0,0,2.4,250,300,0,1,0.920434
1,lt,up_cb,0,0,2.4,250,300,0,1,0.979875
1,lt,down_cb,0,0,2.4,250,300,0,1,0.979875
1,lt,up_add,0,0,2.4,250,300,0,1,1.01141
1,lt,down_add,0,0,2.4,250,300,0,1,0.948339
1,lt,up,0,0,2.4,250,300,0,1,1.04748
1,lt,down,0,0,2.4,250,300,0,1,0.910257
1,lt,central,0,0,2.4,300,350,0,1,0.944747
1,lt,up_ntrk,0,0,2.4,300,350,0,1,0.970004
1,lt,up_mupt,0,0,2.4,300,350,0,1,0.941795
1,lt,up_gluonsplitting,0,0,2.4,300,350,0,1,0.945651
1,lt,up_bfragmentation,0,0,2.4,300,350,0,1,0.946652
1,lt,up_dmux,0,0,2.4,300,350,0,1,0.944745
1,lt,up_cfragmentation,0,0,2.4,300,350,0,1,0.944745
1,lt,up_ksl,0,0,2.4,300,350,0,1,0.944933
1,lt,up_jes,0,0,2.4,300,350,0,1,0.944224
1,lt,down_ntrk,0,0,2.4,300,350,0,1,0.944745
1,lt,down_mupt,0,0,2.4,300,350,0,1,0.944745
1,lt,down_gluonsplitting,0,0,2.4,300,350,0,1,0.942743
1,lt,down_bfragmentation,0,0,2.4,300,350,0,1,0.947596
1,lt,down_dmux,0,0,2.4,300,350,0,1,0.948953
1,lt,down_cfragmentation,0,0,2.4,300,350,0,1,0.947473
1,lt,down_ksl,0,0,2.4,300,350,0,1,0.944745
