CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,0,150,0,1,0.961144
1,lt,up_ntrk,0,0,2.4,0,150,0,1,0.975773
1,lt,up_gluonsplitting,0,0,2.4,0,150,0,1,0.956243
1,lt,up_bfragmentation,0,0,2.4,0,150,0,1,0.954896
1,lt,up_dmux,0,0,2.4,0,150,0,1,0.961144
1,lt,up_cfragmentation,0,0,2.4,0,150,0,1,0.961144
1,lt,up_jes,0,0,2.4,0,150,0,1,0.971376
1,lt,down_ntrk,0,0,2.4,0,150,0,1,0.961144
1,lt,down_gluonsplitting,0,0,2.4,0,150,0,1,0.968659
1,lt,down_bfragmentation,0,0,2.4,0,150,0,1,0.954096
1,lt,down_dmux,0,0,2.4,0,150,0,1,0.963913
1,lt,down_cfragmentation,0,0,2.4,0,150,0,1,0.969419
1,lt,down_jes,0,0,2.4,0,150,0,1,0.959398
1,lt,up_statistic,0,0,2.4,0,150,0,1,1.01186
1,lt,down_statistic,0,0,2.4,0,150,0,1,0.910432
1,lt,up_cb,0,0,2.4,0,150,0,1,0.961144
1,lt,down_cb,0,0,2.4,0,150,0,1,0.961144
1,lt,up_add,0,0,2.4,0,150,0,1,0.979994
1,lt,down_add,0,0,2.4,0,150,0,1,0.942294
1,lt,up,0,0,2.4,0,150,0,1,1.01927
1,lt,down,0,0,2.4,0,150,0,1,0.905982
1,lt,central,0,0,2.4,150,215,0,1,0.855495
1,lt,up_ntrk,0,0,2.4,150,215,0,1,0.874148
1,lt,up_gluonsplitting,0,0,2.4,150,215,0,1,0.850801
1,lt,up_bfragmentation,0,0,2.4,150,215,0,1,0.850514
1,lt,up_dmux,0,0,2.4,150,215,0,1,0.855495
1,lt,up_cfragmentation,0,0,2.4,150,215,0,1,0.855495
1,lt,up_jes,0,0,2.4,150,215,0,1,0.85497
1,lt,down_ntrk,0,0,2.4,150,215,0,1,0.855495
1,lt,down_gluonsplitting,0,0,2.4,150,215,0,1,0.864313
1,lt,down_bfragmentation,0,0,2.4,150,215,0,1,0.858545
1,lt,down_dmux,0,0,2.4,150,215,0,1,0.857248
1,lt,down_cfragmentation,0,0,2.4,150,215,0,1,0.859334
1,lt,down_jes,0,0,2.4,150,215,0,1,0.85036
1,lt,up_statistic,0,0,2.4,150,215,0,1,0.896808
1,lt,down_statistic,0,0,2.4,150,215,0,1,0.814182
1,lt,up_cb,0,0,2.4,150,215,0,1,0.855495
1,lt,down_cb,0,0,2.4,150,215,0,1,0.855495
1,lt,up_add,0,0,2.4,150,215,0,1,0.893638
1,lt,down_add,0,0,2.4,150,215,0,1,0.817352
1,lt,up,0,0,2.4,150,215,0,1,0.915615
1,lt,down,0,0,2.4,150,215,0,1,0.798617
1,lt,central,0,0,2.4,215,290,0,1,0.95359
1,lt,up_ntrk,0,0,2.4,215,290,0,1,0.984397
1,lt,up_gluonsplitting,0,0,2.4,215,290,0,1,0.958069
1,lt,up_bfragmentation,0,0,2.4,215,290,0,1,0.9535
1,lt,up_dmux,0,0,2.4,215,290,0,1,0.953591
1,lt,up_cfragmentation,0,0,2.4,215,290,0,1,0.953591
1,lt,up_jes,0,0,2.4,215,290,0,1,0.95323
1,lt,down_ntrk,0,0,2.4,215,290,0,1,0.953591
1,lt,down_gluonsplitting,0,0,2.4,215,290,0,1,0.945926
1,lt,down_bfragmentation,0,0,2.4,215,290,0,1,0.954576
1,lt,down_dmux,0,0,2.4,215,290,0,1,0.954267
1,lt,down_cfragmentation,0,0,2.4,215,290,0,1,0.955001
1,lt,down_jes,0,0,2.4,215,290,0,1,0.950027
1,lt,up_statistic,0,0,2.4,215,290,0,1,1.0038
1,lt,down_statistic,0,0,2.4,215,290,0,1,0.903381
1,lt,up_cb,0,0,2.4,215,290,0,1,0.95359
1,lt,down_cb,0,0,2.4,215,290,0,1,0.95359
1,lt,up_add,0,0,2.4,215,290,0,1,0.967435
1,lt,down_add,0,0,2.4,215,290,0,1,0.939745
1,lt,up,0,0,2.4,215,290,0,1,1.0143
1,lt,down,0,0,2.4,215,290,0,1,0.900824
1,lt,central,0,0,2.4,290,360,0,1,0.954756
1,lt,up_ntrk,0,0,2.4,290,360,0,1,0.976604
