CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,450,510,0,1,0.979185
1,lt,up_ntrk,0,0,2.4,450,510,0,1,0.983575
1,lt,up_gluonsplitting,0,0,2.4,450,510,0,1,0.985445
1,lt,up_bfragmentation,0,0,2.4,450,510,0,1,0.981223
1,lt,up_dmux,0,0,2.4,450,510,0,1,0.979185
1,lt,up_cfragmentation,0,0,2.4,450,510,0,1,0.979185
1,lt,up_jes,0,0,2.4,450,510,0,1,0.956169
1,lt,down_ntrk,0,0,2.4,450,510,0,1,0.979185
1,lt,down_gluonsplitting,0,0,2.4,450,510,0,1,0.971346
1,lt,down_bfragmentation,0,0,2.4,450,510,0,1,0.979603
1,lt,down_dmux,0,0,2.4,450,510,0,1,0.982342
1,lt,down_cfragmentation,0,0,2.4,450,510,0,1,0.981316
1,lt,down_jes,0,0,2.4,450,510,0,1,0.965257
1,lt,up_statistic,0,0,2.4,450,510,0,1,1.02987
1,lt,down_statistic,0,0,2.4,450,510,0,1,0.928503
1,lt,up_cb,0,0,2.4,450,510,0,1,0.979185
1,lt,down_cb,0,0,2.4,450,510,0,1,0.979185
1,lt,up_add,0,0,2.4,450,510,0,1,0.994123
1,lt,down_add,0,0,2.4,450,510,0,1,0.964247
1,lt,up,0,0,2.4,450,510,0,1,1.03275
1,lt,down,0,0,2.4,450,510,0,1,0.919377
1,lt,central,0,0,2.4,510,600,0,1,0.999177
1,lt,up_ntrk,0,0,2.4,510,600,0,1,0.999524
1,lt,up_gluonsplitting,0,0,2.4,510,600,0,1,1.00479
1,lt,up_bfragmentation,0,0,2.4,510,600,0,1,0.999479
1,lt,up_dmux,0,0,2.4,510,600,0,1,0.999173
1,lt,up_cfragmentation,0,0,2.4,510,600,0,1,0.999173
1,lt,up_jes,0,0,2.4,510,600,0,1,0.998844
1,lt,down_ntrk,0,0,2.4,510,600,0,1,0.999173
1,lt,down_gluonsplitting,0,0,2.4,510,600,0,1,0.990594
1,lt,down_bfragmentation,0,0,2.4,510,600,0,1,0.999331
1,lt,down_dmux,0,0,2.4,510,600,0,1,0.998814
1,lt,down_cfragmentation,0,0,2.4,510,600,0,1,0.998622
1,lt,down_jes,0,0,2.4,510,600,0,1,0.991386
1,lt,up_statistic,0,0,2.4,510,600,0,1,1.04399
1,lt,down_statistic,0,0,2.4,510,600,0,1,0.95436
1,lt,up_cb,0,0,2.4,510,600,0,1,0.999177
1,lt,down_cb,0,0,2.4,510,600,0,1,0.999177
1,lt,up_add,0,0,2.4,510,600,0,1,1.00897
1,lt,down_add,0,0,2.4,510,600,0,1,0.989387
1,lt,up,0,0,2.4,510,600,0,1,1.0454
1,lt,down,0,0,2.4,510,600,0,1,0.951855
1,lt,central,0,0,2.4,600,900,0,1,1.02261
1,lt,up_ntrk,0,0,2.4,600,900,0,1,1.01757
1,lt,up_gluonsplitting,0,0,2.4,600,900,0,1,1.02787
1,lt,up_bfragmentation,0,0,2.4,600,900,0,1,1.02295
1,lt,up_dmux,0,0,2.4,600,900,0,1,1.02261
1,lt,up_cfragmentation,0,0,2.4,600,900,0,1,1.02261
1,lt,up_jes,0,0,2.4,600,900,0,1,1.02571
1,lt,down_ntrk,0,0,2.4,600,900,0,1,1.02261
1,lt,down_gluonsplitting,0,0,2.4,600,900,0,1,1.01484
1,lt,down_bfragmentation,0,0,2.4,600,900,0,1,1.02305
1,lt,down_dmux,0,0,2.4,600,900,0,1,1.02298
1,lt,down_cfragmentation,0,0,2.4,600,900,0,1,1.02367
1,lt,down_jes,0,0,2.4,600,900,0,1,1.02441
1,lt,up_statistic,0,0,2.4,600,900,0,1,1.07186
1,lt,down_statistic,0,0,2.4,600,900,0,1,0.973356
1,lt,up_cb,0,0,2.4,600,900,0,1,1.02261
1,lt,down_cb,0,0,2.4,600,900,0,1,1.02261
1,lt,up_add,0,0,2.4,600,900,0,1,1.03958
1,lt,down_add,0,0,2.4,600,900,0,1,1.00564
1,lt,up,0,0,2.4,600,900,0,1,1.07511
1,lt,down,0,0,2.4,600,900,0,1,0.969698
