CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,200,220,0,1,0.96657
1,lt,up_ntrk,0,0,2.4,200,220,0,1,0.972663
1,lt,up_gluonsplitting,0,0,2.4,200,220,0,1,0.968259
1,lt,up_bfragmentation,0,0,2.4,200,220,0,1,0.96685
1,lt,up_dmux,0,0,2.4,200,220,0,1,0.96657
1,lt,up_cfragmentation,0,0,2.4,200,220,0,1,0.96657
1,lt,up_jes,0,0,2.4,200,220,0,1,0.972061
1,lt,down_ntrk,0,0,2.4,200,220,0,1,0.96657
1,lt,down_gluonsplitting,0,0,2.4,200,220,0,1,0.965287
1,lt,down_bfragmentation,0,0,2.4,200,220,0,1,0.964359
1,lt,down_dmux,0,0,2.4,200,220,0,1,0.968639
1,lt,down_cfragmentation,0,0,2.4,200,220,0,1,0.973116
1,lt,down_jes,0,0,2.4,200,220,0,1,0.967206
1,lt,up_statistic,0,0,2.4,200,220,0,1,0.978095
1,lt,down_statistic,0,0,2.4,200,220,0,1,0.955045
1,lt,up_cb,0,0,2.4,200,220,0,1,0.968122
1,lt,down_cb,0,0,2.4,200,220,0,1,0.965018
1,lt,up_add,0,0,2.4,200,220,0,1,0.987418
1,lt,down_add,0,0,2.4,200,220,0,1,0.945722
1,lt,up,0,0,2.4,200,220,0,1,0.992792
1,lt,down,0,0,2.4,200,220,0,1,0.942562
1,lt,central,0,0,2.4,220,250,0,1,0.981022
1,lt,up_ntrk,0,0,2.4,220,250,0,1,0.97236
1,lt,up_gluonsplitting,0,0,2.4,220,250,0,1,0.979414
1,lt,up_bfragmentation,0,0,2.4,220,250,0,1,0.99214
1,lt,up_dmux,0,0,2.4,220,250,0,1,0.981022
1,lt,up_cfragmentation,0,0,2.4,220,250,0,1,0.981022
1,lt,up_jes,0,0,2.4,220,250,0,1,0.981903
1,lt,down_ntrk,0,0,2.4,220,250,0,1,0.981022
1,lt,down_gluonsplitting,0,0,2.4,220,250,0,1,0.98632
1,lt,down_bfragmentation,0,0,2.4,220,250,0,1,0.973781
1,lt,down_dmux,0,0,2.4,220,250,0,1,0.984637
1,lt,down_cfragmentation,0,0,2.4,220,250,0,1,0.989741
1,lt,down_jes,0,0,2.4,220,250,0,1,0.982353
1,lt,up_statistic,0,0,2.4,220,250,0,1,0.99496
1,lt,down_statistic,0,0,2.4,220,250,0,1,0.967084
1,lt,up_cb,0,0,2.4,220,250,0,1,0.982231
1,lt,down_cb,0,0,2.4,220,250,0,1,0.979813
1,lt,up_add,0,0,2.4,220,250,0,1,1.08442
