CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,30,80,0,1,0.721646
2,lt,up_ntrk,0,0,2.4,30,80,0,1,0.806843
2,lt,up_gluonsplitting,0,0,2.4,30,80,0,1,0.723754
2,lt,up_bfragmentation,0,0,2.4,30,80,0,1,0.716037
2,lt,up_dmux,0,0,2.4,30,80,0,1,0.721646
2,lt,up_cfragmentation,0,0,2.4,30,80,0,1,0.721646
2,lt,up_jes,0,0,2.4,30,80,0,1,0.726048
2,lt,down_ntrk,0,0,2.4,30,80,0,1,0.721646
2,lt,down_gluonsplitting,0,0,2.4,30,80,0,1,0.722334
2,lt,down_bfragmentation,0,0,2.4,30,80,0,1,0.723417
2,lt,down_dmux,0,0,2.4,30,80,0,1,0.723089
2,lt,down_cfragmentation,0,0,2.4,30,80,0,1,0.724166
2,lt,down_jes,0,0,2.4,30,80,0,1,0.716766
2,lt,up_statistic,0,0,2.4,30,80,0,1,0.762334
2,lt,down_statistic,0,0,2.4,30,80,0,1,0.680958
2,lt,up_cb,0,0,2.4,30,80,0,1,0.747012
2,lt,down_cb,0,0,2.4,30,80,0,1,0.69628
2,lt,up_add,0,0,2.4,30,80,0,1,0.971817
2,lt,down_add,0,0,2.4,30,80,0,1,0.471475
2,lt,up,0,0,2.4,30,80,0,1,0.990307
2,lt,down,0,0,2.4,30,80,0,1,0.466814
2,lt,central,0,0,2.4,80,140,0,1,0.901654
2,lt,up_ntrk,0,0,2.4,80,140,0,1,0.924086
2,lt,up_gluonsplitting,0,0,2.4,80,140,0,1,0.902688
2,lt,up_bfragmentation,0,0,2.4,80,140,0,1,0.899481
2,lt,up_dmux,0,0,2.4,80,140,0,1,0.901655
2,lt,up_cfragmentation,0,0,2.4,80,140,0,1,0.901655
2,lt,up_jes,0,0,2.4,80,140,0,1,0.906092
2,lt,down_ntrk,0,0,2.4,80,140,0,1,0.901655
2,lt,down_gluonsplitting,0,0,2.4,80,140,0,1,0.905774
2,lt,down_bfragmentation,0,0,2.4,80,140,0,1,0.903228
2,lt,down_dmux,0,0,2.4,80,140,0,1,0.90612
2,lt,down_cfragmentation,0,0,2.4,80,140,0,1,0.906644
2,lt,down_jes,0,0,2.4,80,140,0,1,0.902859
2,lt,up_statistic,0,0,2.4,80,140,0,1,0.919264
2,lt,down_statistic,0,0,2.4,80,140,0,1,0.884044
2,lt,up_cb,0,0,2.4,80,140,0,1,0.927021
2,lt,down_cb,0,0,2.4,80,140,0,1,0.876287
2,lt,up_add,0,0,2.4,80,140,0,1,0.941405
2,lt,down_add,0,0,2.4,80,140,0,1,0.861903
2,lt,up,0,0,2.4,80,140,0,1,0.957541
2,lt,down,0,0,2.4,80,140,0,1,0.851271
2,lt,central,0,0,2.4,140,180,0,1,0.93719
2,lt,up_ntrk,0,0,2.4,140,180,0,1,0.943809
