CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,30,80,0,1,1.00018
0,lt,up,0,0,2.4,30,80,0,1,1.06628
0,lt,down,0,0,2.4,30,80,0,1,0.927327
0,lt,central,0,0,2.4,80,140,0,1,0.97376
0,lt,up,0,0,2.4,80,140,0,1,1.01107
0,lt,down,0,0,2.4,80,140,0,1,0.938443
0,lt,central,0,0,2.4,140,180,0,1,0.982266
0,lt,up,0,0,2.4,140,180,0,1,1.05348
0,lt,down,0,0,2.4,140,180,0,1,0.911374
0,lt,central,0,0,2.4,180,240,0,1,0.991877
0,lt,up,0,0,2.4,180,240,0,1,1.00664
0,lt,down,0,0,2.4,180,240,0,1,0.98174
0,lt,central,0,0,2.4,240,420,0,1,0.980911
0,lt,up,0,0,2.4,240,420,0,1,1.0308
0,lt,down,0,0,2.4,240,420,0,1,0.935135
