CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,1,0,2.4,30,80,0,1,1.00018
0,lt,up,1,0,2.4,30,80,0,1,1.13238
0,lt,down,1,0,2.4,30,80,0,1,0.854474
0,lt,central,1,0,2.4,80,140,0,1,0.97376
0,lt,up,1,0,2.4,80,140,0,1,1.04838
0,lt,down,1,0,2.4,80,140,0,1,0.903126
0,lt,central,1,0,2.4,140,180,0,1,0.982266
0,lt,up,1,0,2.4,140,180,0,1,1.124694
0,lt,down,1,0,2.4,140,180,0,1,0.840482
0,lt,central,1,0,2.4,180,240,0,1,0.991877
0,lt,up,1,0,2.4,180,240,0,1,1.021403
0,lt,down,1,0,2.4,180,240,0,1,0.971603
0,lt,central,1,0,2.4,240,420,0,1,0.980911
0,lt,up,1,0,2.4,240,420,0,1,1.080689
0,lt,down,1,0,2.4,240,420,0,1,0.889359
