CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,30,80,0,1,1.00575
1,lt,up,0,0,2.4,30,80,0,1,1.08312
1,lt,down,0,0,2.4,30,80,0,1,0.914912
1,lt,central,0,0,2.4,80,140,0,1,0.956447
1,lt,up,0,0,2.4,80,140,0,1,0.995212
1,lt,down,0,0,2.4,80,140,0,1,0.917956
1,lt,central,0,0,2.4,140,180,0,1,0.966809
1,lt,up,0,0,2.4,140,180,0,1,1.03877
1,lt,down,0,0,2.4,140,180,0,1,0.894932
1,lt,central,0,0,2.4,180,240,0,1,0.979368
1,lt,up,0,0,2.4,180,240,0,1,1.00745
1,lt,down,0,0,2.4,180,240,0,1,0.95248
1,lt,central,0,0,2.4,240,420,0,1,0.975312
1,lt,up,0,0,2.4,240,420,0,1,1.01982
1,lt,down,0,0,2.4,240,420,0,1,0.937098
