CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,1,0,2.4,30,80,0,1,1.00575
1,lt,up,1,0,2.4,30,80,0,1,1.16049
1,lt,down,1,0,2.4,30,80,0,1,0.824074
1,lt,central,1,0,2.4,80,140,0,1,0.956447
1,lt,up,1,0,2.4,80,140,0,1,1.033977
1,lt,down,1,0,2.4,80,140,0,1,0.879465
1,lt,central,1,0,2.4,140,180,0,1,0.966809
1,lt,up,1,0,2.4,140,180,0,1,1.110731
1,lt,down,1,0,2.4,140,180,0,1,0.823055
1,lt,central,1,0,2.4,180,240,0,1,0.979368
1,lt,up,1,0,2.4,180,240,0,1,1.035532
1,lt,down,1,0,2.4,180,240,0,1,0.925592
1,lt,central,1,0,2.4,240,420,0,1,0.975312
1,lt,up,1,0,2.4,240,420,0,1,1.064328
1,lt,down,1,0,2.4,240,420,0,1,0.898884
