CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,200,220,0,1,0.985859
2,lt,up_ntrk,0,0,2.4,200,220,0,1,0.989418
2,lt,up_gluonsplitting,0,0,2.4,200,220,0,1,0.989888
2,lt,up_bfragmentation,0,0,2.4,200,220,0,1,0.984783
2,lt,up_dmux,0,0,2.4,200,220,0,1,0.985859
2,lt,up_cfragmentation,0,0,2.4,200,220,0,1,0.985859
2,lt,up_jes,0,0,2.4,200,220,0,1,0.992526
2,lt,down_ntrk,0,0,2.4,200,220,0,1,0.985859
2,lt,down_gluonsplitting,0,0,2.4,200,220,0,1,0.980665
2,lt,down_bfragmentation,0,0,2.4,200,220,0,1,0.9849
2,lt,down_dmux,0,0,2.4,200,220,0,1,0.989738
2,lt,down_cfragmentation,0,0,2.4,200,220,0,1,0.994931
2,lt,down_jes,0,0,2.4,200,220,0,1,0.986272
2,lt,up_statistic,0,0,2.4,200,220,0,1,0.997771
2,lt,down_statistic,0,0,2.4,200,220,0,1,0.973947
2,lt,up_cb,0,0,2.4,200,220,0,1,0.98707
2,lt,down_cb,0,0,2.4,200,220,0,1,0.984648
2,lt,up_add,0,0,2.4,200,220,0,1,1.01106
2,lt,down_add,0,0,2.4,200,220,0,1,0.960658
2,lt,up,0,0,2.4,200,220,0,1,1.01667
2,lt,down,0,0,2.4,200,220,0,1,0.957442
2,lt,central,0,0,2.4,220,250,0,1,0.988545
2,lt,up_ntrk,0,0,2.4,220,250,0,1,0.978758
2,lt,up_gluonsplitting,0,0,2.4,220,250,0,1,0.987838
2,lt,up_bfragmentation,0,0,2.4,220,250,0,1,1.00076
2,lt,up_dmux,0,0,2.4,220,250,0,1,0.988545
2,lt,up_cfragmentation,0,0,2.4,220,250,0,1,0.988545
2,lt,up_jes,0,0,2.4,220,250,0,1,0.987523
2,lt,down_ntrk,0,0,2.4,220,250,0,1,0.988545
2,lt,down_gluonsplitting,0,0,2.4,220,250,0,1,0.999295
2,lt,down_bfragmentation,0,0,2.4,220,250,0,1,0.984297
2,lt,down_dmux,0,0,2.4,220,250,0,1,0.993673
2,lt,down_cfragmentation,0,0,2.4,220,250,0,1,0.999512
2,lt,down_jes,0,0,2.4,220,250,0,1,0.991487
2,lt,up_statistic,0,0,2.4,220,250,0,1,1.00133
2,lt,down_statistic,0,0,2.4,220,250,0,1,0.975756
2,lt,up_cb,0,0,2.4,220,250,0,1,0.98966
2,lt,down_cb,0,0,2.4,220,250,0,1,0.98743
2,lt,up_add,0,0,2.4,220,250,0,1,1.09502
2,lt,down_add,0,0,2.4,220,250,0,1,0.882069
2,lt,up,0,0,2.4,220,250,0,1,1.09773
2,lt,down,0,0,2.4,220,250,0,1,0.880761
2,lt,central,0,0,2.4,250,300,0,1,0.994173
2,lt,up_ntrk,0,0,2.4,250,300,0,1,0.988939
2,lt,up_gluonsplitting,0,0,2.4,250,300,0,1,0.995839
2,lt,up_bfragmentation,0,0,2.4,250,300,0,1,1.00414
2,lt,up_dmux,0,0,2.4,250,300,0,1,0.994173
2,lt,up_cfragmentation,0,0,2.4,250,300,0,1,0.994173
2,lt,up_jes,0,0,2.4,250,300,0,1,0.991072
2,lt,down_ntrk,0,0,2.4,250,300,0,1,0.994173
2,lt,down_gluonsplitting,0,0,2.4,250,300,0,1,1.00086
