CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,30,80,0,1,0.803017
2,lt,up_ntrk,0,0,2.4,30,80,0,1,0.818498
2,lt,up_gluonsplitting,0,0,2.4,30,80,0,1,0.810955
2,lt,up_bfragmentation,0,0,2.4,30,80,0,1,0.797397
2,lt,up_dmux,0,0,2.4,30,80,0,1,0.803017
2,lt,up_cfragmentation,0,0,2.4,30,80,0,1,0.803017
2,lt,up_jes,0,0,2.4,30,80,0,1,0.807488
2,lt,down_ntrk,0,0,2.4,30,80,0,1,0.803017
2,lt,down_gluonsplitting,0,0,2.4,30,80,0,1,0.792075
2,lt,down_bfragmentation,0,0,2.4,30,80,0,1,0.804772
2,lt,down_dmux,0,0,2.4,30,80,0,1,0.812705
2,lt,down_cfragmentation,0,0,2.4,30,80,0,1,0.818576
2,lt,down_jes,0,0,2.4,30,80,0,1,0.796294
2,lt,up_statistic,0,0,2.4,30,80,0,1,0.835177
2,lt,down_statistic,0,0,2.4,30,80,0,1,0.770857
2,lt,up_cb,0,0,2.4,30,80,0,1,0.830545
2,lt,down_cb,0,0,2.4,30,80,0,1,0.775489
2,lt,up_add,0,0,2.4,30,80,0,1,0.971652
2,lt,down_add,0,0,2.4,30,80,0,1,0.634382
2,lt,up,0,0,2.4,30,80,0,1,0.978776
2,lt,down,0,0,2.4,30,80,0,1,0.628586
2,lt,central,0,0,2.4,80,140,0,1,0.915008
2,lt,up_ntrk,0,0,2.4,80,140,0,1,0.923875
2,lt,up_gluonsplitting,0,0,2.4,80,140,0,1,0.921554
2,lt,up_bfragmentation,0,0,2.4,80,140,0,1,0.908483
2,lt,up_dmux,0,0,2.4,80,140,0,1,0.915009
2,lt,up_cfragmentation,0,0,2.4,80,140,0,1,0.915009
2,lt,up_jes,0,0,2.4,80,140,0,1,0.919356
2,lt,down_ntrk,0,0,2.4,80,140,0,1,0.915009
2,lt,down_gluonsplitting,0,0,2.4,80,140,0,1,0.90728
2,lt,down_bfragmentation,0,0,2.4,80,140,0,1,0.918612
2,lt,down_dmux,0,0,2.4,80,140,0,1,0.917607
2,lt,down_cfragmentation,0,0,2.4,80,140,0,1,0.91675
2,lt,down_jes,0,0,2.4,80,140,0,1,0.91498
2,lt,up_statistic,0,0,2.4,80,140,0,1,0.926856
2,lt,down_statistic,0,0,2.4,80,140,0,1,0.90316
2,lt,up_cb,0,0,2.4,80,140,0,1,0.939627
