CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,30,80,0,1,0.958419
0,lt,up,0,0,2.4,30,80,0,1,1.04719
0,lt,down,0,0,2.4,30,80,0,1,0.869855
0,lt,central,0,0,2.4,80,140,0,1,0.961012
0,lt,up,0,0,2.4,80,140,0,1,0.990451
0,lt,down,0,0,2.4,80,140,0,1,0.931481
0,lt,central,0,0,2.4,140,180,0,1,0.967827
0,lt,up,0,0,2.4,140,180,0,1,1.02002
0,lt,down,0,0,2.4,140,180,0,1,0.915475
0,lt,central,0,0,2.4,180,240,0,1,0.990151
0,lt,up,0,0,2.4,180,240,0,1,1.02049
0,lt,down,0,0,2.4,180,240,0,1,0.959791
0,lt,central,0,0,2.4,240,420,0,1,1.01195
0,lt,up,0,0,2.4,240,420,0,1,1.04016
0,lt,down,0,0,2.4,240,420,0,1,0.984374
