CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,1,0,2.4,30,80,0,1,0.958419
0,lt,up,1,0,2.4,30,80,0,1,1.135961
0,lt,down,1,0,2.4,30,80,0,1,0.781291
0,lt,central,1,0,2.4,80,140,0,1,0.961012
0,lt,up,1,0,2.4,80,140,0,1,1.019890
0,lt,down,1,0,2.4,80,140,0,1,0.901950
0,lt,central,1,0,2.4,140,180,0,1,0.967827
0,lt,up,1,0,2.4,140,180,0,1,1.072213
0,lt,down,1,0,2.4,140,180,0,1,0.863123
0,lt,central,1,0,2.4,180,240,0,1,0.990151
0,lt,up,1,0,2.4,180,240,0,1,1.050829
0,lt,down,1,0,2.4,180,240,0,1,0.929431
0,lt,central,1,0,2.4,240,420,0,1,1.01195
0,lt,up,1,0,2.4,240,420,0,1,1.06837
0,lt,down,1,0,2.4,240,420,0,1,0.956798
