CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,1,0,2.4,30,80,0,1,0.866147
1,lt,up,1,0,2.4,30,80,0,1,1.113203
1,lt,down,1,0,2.4,30,80,0,1,0.616983
1,lt,central,1,0,2.4,80,140,0,1,0.941095
1,lt,up,1,0,2.4,80,140,0,1,1.010097
1,lt,down,1,0,2.4,80,140,0,1,0.872375
1,lt,central,1,0,2.4,140,180,0,1,0.94247
1,lt,up,1,0,2.4,140,180,0,1,1.05771
1,lt,down,1,0,2.4,140,180,0,1,0.827406
1,lt,central,1,0,2.4,180,240,0,1,0.969824
1,lt,up,1,0,2.4,180,240,0,1,1.033676
1,lt,down,1,0,2.4,180,240,0,1,0.905362
1,lt,central,1,0,2.4,240,420,0,1,0.983834
1,lt,up,1,0,2.4,240,420,0,1,1.042126
1,lt,down,1,0,2.4,240,420,0,1,0.930276
