# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
274958,1,13,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274959,1,13,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274953,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274953,11,5,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274954,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274954,31,5,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274955,1,5,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274957,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274957,4,5,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274957,11,14,0,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/0
274957,14,13,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
275832,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275832,202,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275846,1,3,25,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/25
275834,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275834,170,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275835,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275841,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275837,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275828,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275836,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275836,769,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275829,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275831,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275833,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275838,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275847,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275847,671,4,140,HLT_AK8PFJet200_v1/140,ONE,L1_SingleJet120/1
274889,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274917,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274909,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274904,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274895,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274888,1,2,35,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/35
274913,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274905,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274894,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274999,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274999,218,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
274998,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
274998,61,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275000,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275001,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275001,1086,4,140,HLT_AK8PFJet200_v1/140,ONE,L1_SingleJet120/1
275021,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275030,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275035,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275034,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275062,1,0,50,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/50
275059,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275059,67,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275059,89,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275068,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275068,826,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275064,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275074,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275067,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
