# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
276453,1,0,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276453,41,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276454,1,0,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276454,7,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276457,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276437,1,0,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276437,239,1,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276437,761,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276437,1881,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276458,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276458,232,4,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276455,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
276456,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278308,1,3,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278308,324,4,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278308,985,5,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278308,1329,6,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278310,1,6,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278310,673,7,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
278309,1,6,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279716,1,4,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279716,29,5,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279716,352,6,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279716,1270,7,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279715,1,2,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279715,196,3,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
279715,530,4,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280239,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280235,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280236,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280238,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280241,1,2,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280249,1,4,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280249,57,5,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280249,405,6,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280249,1267,7,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280233,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280240,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,1,2,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,9,1,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,85,2,4,HLT_BTagMu_DiJet170_Mu5_v2/4,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,241,3,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280242,509,4,3,HLT_BTagMu_DiJet170_Mu5_v2/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280251,1,7,2,HLT_BTagMu_DiJet170_Mu5_v2/2,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
280234,1,2,1,HLT_BTagMu_DiJet170_Mu5_v2/1,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281565,1,2,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281624,1,2,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281626,1,2,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281632,1,2,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281639,1,2,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281639,22,3,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281639,31,2,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281639,110,3,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
281641,1,2,3,HLT_BTagMu_DiJet170_Mu5_v4/3,ONE,L1_Mu3_JetC120_dEta_Max0p4_dPhi_Max0p4/1
