CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,30,50,0,1,0.991319
1,lt,up_ntrk,0,0,2.4,30,50,0,1,1.01014
1,lt,up_njet,0,0,2.4,30,50,0,1,0.986581
1,lt,up_mupt,0,0,2.4,30,50,0,1,0.999933
1,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.996392
1,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.993679
1,lt,up_dmux,0,0,2.4,30,50,0,1,0.991317
1,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.991317
1,lt,up_ksl,0,0,2.4,30,50,0,1,0.991312
1,lt,up_ntrkgen,0,0,2.4,30,50,0,1,0.990431
1,lt,down_ntrk,0,0,2.4,30,50,0,1,0.991317
1,lt,down_njet,0,0,2.4,30,50,0,1,0.991317
1,lt,down_mupt,0,0,2.4,30,50,0,1,0.991317
1,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.984842
1,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.985173
1,lt,down_dmux,0,0,2.4,30,50,0,1,0.993746
1,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.996165
1,lt,down_ksl,0,0,2.4,30,50,0,1,0.991317
1,lt,down_ntrkgen,0,0,2.4,30,50,0,1,0.996837
1,lt,up_statistic,0,0,2.4,30,50,0,1,1.01255
1,lt,down_statistic,0,0,2.4,30,50,0,1,0.970088
1,lt,up_cb,0,0,2.4,30,50,0,1,1.00628
1,lt,down_cb,0,0,2.4,30,50,0,1,0.976353
1,lt,up_add,0,0,2.4,30,50,0,1,1.03661
1,lt,down_add,0,0,2.4,30,50,0,1,0.946031
1,lt,up,0,0,2.4,30,50,0,1,1.05862
1,lt,down,0,0,2.4,30,50,0,1,0.931353
1,lt,central,0,0,2.4,50,70,0,1,0.941867
1,lt,up_ntrk,0,0,2.4,50,70,0,1,0.951056
1,lt,up_njet,0,0,2.4,50,70,0,1,0.945099
1,lt,up_mupt,0,0,2.4,50,70,0,1,0.942093
1,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.944488
1,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.940262
1,lt,up_dmux,0,0,2.4,50,70,0,1,0.941867
1,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.941867
1,lt,up_ksl,0,0,2.4,50,70,0,1,0.941866
1,lt,up_ntrkgen,0,0,2.4,50,70,0,1,0.941039
1,lt,down_ntrk,0,0,2.4,50,70,0,1,0.941867
1,lt,down_njet,0,0,2.4,50,70,0,1,0.941867
1,lt,down_mupt,0,0,2.4,50,70,0,1,0.941867
1,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.938989
1,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.943451
1,lt,down_dmux,0,0,2.4,50,70,0,1,0.945108
1,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.945369
1,lt,down_ksl,0,0,2.4,50,70,0,1,0.941867
1,lt,down_ntrkgen,0,0,2.4,50,70,0,1,0.94663
1,lt,up_statistic,0,0,2.4,50,70,0,1,0.959392
1,lt,down_statistic,0,0,2.4,50,70,0,1,0.924342
1,lt,up_cb,0,0,2.4,50,70,0,1,0.949031
1,lt,down_cb,0,0,2.4,50,70,0,1,0.934703
1,lt,up_add,0,0,2.4,50,70,0,1,0.967064
1,lt,down_add,0,0,2.4,50,70,0,1,0.91667
1,lt,up,0,0,2.4,50,70,0,1,0.984031
1,lt,down,0,0,2.4,50,70,0,1,0.910164
1,lt,central,0,0,2.4,70,100,0,1,1.01477
1,lt,up_ntrk,0,0,2.4,70,100,0,1,1.00743
1,lt,up_njet,0,0,2.4,70,100,0,1,1.01014
1,lt,up_mupt,0,0,2.4,70,100,0,1,1.0105
1,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,1.01757
1,lt,up_bfragmentation,0,0,2.4,70,100,0,1,1.01553
1,lt,up_dmux,0,0,2.4,70,100,0,1,1.01485
1,lt,up_cfragmentation,0,0,2.4,70,100,0,1,1.01485
1,lt,up_ksl,0,0,2.4,70,100,0,1,1.01477
1,lt,up_ntrkgen,0,0,2.4,70,100,0,1,1.01368
1,lt,down_ntrk,0,0,2.4,70,100,0,1,1.01485
1,lt,down_njet,0,0,2.4,70,100,0,1,1.01485
1,lt,down_mupt,0,0,2.4,70,100,0,1,1.01485
1,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,1.01034
1,lt,down_bfragmentation,0,0,2.4,70,100,0,1,1.01024
1,lt,down_dmux,0,0,2.4,70,100,0,1,1.01753
1,lt,down_cfragmentation,0,0,2.4,70,100,0,1,1.01947
1,lt,down_ksl,0,0,2.4,70,100,0,1,1.01485
1,lt,down_ntrkgen,0,0,2.4,70,100,0,1,1.00934
1,lt,up_statistic,0,0,2.4,70,100,0,1,1.0324
1,lt,down_statistic,0,0,2.4,70,100,0,1,0.99714
1,lt,up_cb,0,0,2.4,70,100,0,1,1.02067
1,lt,down_cb,0,0,2.4,70,100,0,1,1.00886
1,lt,up_add,0,0,2.4,70,100,0,1,1.04147
1,lt,down_add,0,0,2.4,70,100,0,1,0.988066
1,lt,up,0,0,2.4,70,100,0,1,1.04998
1,lt,down,0,0,2.4,70,100,0,1,0.972422
1,lt,central,0,0,2.4,100,140,0,1,1.00378
1,lt,up_ntrk,0,0,2.4,100,140,0,1,0.985029
1,lt,up_njet,0,0,2.4,100,140,0,1,1.00514
1,lt,up_mupt,0,0,2.4,100,140,0,1,1.00087
1,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,1.00874
1,lt,up_bfragmentation,0,0,2.4,100,140,0,1,1.00669
1,lt,up_dmux,0,0,2.4,100,140,0,1,1.00378
1,lt,up_cfragmentation,0,0,2.4,100,140,0,1,1.00378
1,lt,up_ksl,0,0,2.4,100,140,0,1,1.00376
1,lt,up_ntrkgen,0,0,2.4,100,140,0,1,1.00308
1,lt,down_ntrk,0,0,2.4,100,140,0,1,1.00378
1,lt,down_njet,0,0,2.4,100,140,0,1,1.00378
1,lt,down_mupt,0,0,2.4,100,140,0,1,1.00378
1,lt,down_gluonsplitting,0,0,2.4,100,140,0,1,0.996939
1,lt,down_bfragmentation,0,0,2.4,100,140,0,1,1.00211
1,lt,down_dmux,0,0,2.4,100,140,0,1,1.00726
1,lt,down_cfragmentation,0,0,2.4,100,140,0,1,1.00854
1,lt,down_ksl,0,0,2.4,100,140,0,1,1.00378
1,lt,down_ntrkgen,0,0,2.4,100,140,0,1,1.01146
1,lt,up_statistic,0,0,2.4,100,140,0,1,1.02518
1,lt,down_statistic,0,0,2.4,100,140,0,1,0.982374
1,lt,up_cb,0,0,2.4,100,140,0,1,1.00912
1,lt,down_cb,0,0,2.4,100,140,0,1,0.998433
1,lt,up_add,0,0,2.4,100,140,0,1,1.04686
1,lt,down_add,0,0,2.4,100,140,0,1,0.960689
1,lt,up,0,0,2.4,100,140,0,1,1.06656
1,lt,down,0,0,2.4,100,140,0,1,0.947743
1,lt,central,0,0,2.4,140,200,0,1,0.993098
1,lt,up_ntrk,0,0,2.4,140,200,0,1,0.981104
1,lt,up_njet,0,0,2.4,140,200,0,1,0.995503
1,lt,up_mupt,0,0,2.4,140,200,0,1,0.987718
1,lt,up_gluonsplitting,0,0,2.4,140,200,0,1,0.990253
1,lt,up_bfragmentation,0,0,2.4,140,200,0,1,1.00012
1,lt,up_dmux,0,0,2.4,140,200,0,1,0.993098
1,lt,up_cfragmentation,0,0,2.4,140,200,0,1,0.993098
1,lt,up_ksl,0,0,2.4,140,200,0,1,0.993109
1,lt,up_ntrkgen,0,0,2.4,140,200,0,1,0.990956
1,lt,down_ntrk,0,0,2.4,140,200,0,1,0.993098
