CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,30,50,0,1,0.945323
2,lt,up_ntrk,0,0,2.4,30,50,0,1,0.943475
2,lt,up_njet,0,0,2.4,30,50,0,1,0.941409
2,lt,up_mupt,0,0,2.4,30,50,0,1,0.937735
2,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.944405
2,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.944779
2,lt,up_dmux,0,0,2.4,30,50,0,1,0.945323
2,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.945323
2,lt,up_ksl,0,0,2.4,30,50,0,1,0.945318
2,lt,up_ntrkgen,0,0,2.4,30,50,0,1,0.944466
2,lt,down_ntrk,0,0,2.4,30,50,0,1,0.945323
2,lt,down_njet,0,0,2.4,30,50,0,1,0.945323
2,lt,down_mupt,0,0,2.4,30,50,0,1,0.945323
2,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.950049
2,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.939178
2,lt,down_dmux,0,0,2.4,30,50,0,1,0.952146
2,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.95388
2,lt,down_ksl,0,0,2.4,30,50,0,1,0.945323
2,lt,down_ntrkgen,0,0,2.4,30,50,0,1,0.944169
2,lt,up_statistic,0,0,2.4,30,50,0,1,0.964827
2,lt,down_statistic,0,0,2.4,30,50,0,1,0.925819
2,lt,up_cb,0,0,2.4,30,50,0,1,0.960385
2,lt,down_cb,0,0,2.4,30,50,0,1,0.930261
2,lt,up_add,0,0,2.4,30,50,0,1,0.969667
2,lt,down_add,0,0,2.4,30,50,0,1,0.920979
2,lt,up,0,0,2.4,30,50,0,1,0.982034
2,lt,down,0,0,2.4,30,50,0,1,0.901687
2,lt,central,0,0,2.4,50,70,0,1,0.906451
2,lt,up_ntrk,0,0,2.4,50,70,0,1,0.913186
