CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,30,50,0,1,0.964145
0,lt,up_ntrk,0,0,2.4,30,50,0,1,0.966532
0,lt,up_njet,0,0,2.4,30,50,0,1,0.96305
0,lt,up_mupt,0,0,2.4,30,50,0,1,0.962075
0,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.963078
0,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.965894
0,lt,up_dmux,0,0,2.4,30,50,0,1,0.964145
0,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.964145
0,lt,up_ksl,0,0,2.4,30,50,0,1,0.96416
0,lt,up_jes,0,0,2.4,30,50,0,1,0.965887
0,lt,down_ntrk,0,0,2.4,30,50,0,1,0.964145
0,lt,down_njet,0,0,2.4,30,50,0,1,0.964145
0,lt,down_mupt,0,0,2.4,30,50,0,1,0.964145
0,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.965533
0,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.960039
0,lt,down_dmux,0,0,2.4,30,50,0,1,0.964077
0,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.963465
0,lt,down_ksl,0,0,2.4,30,50,0,1,0.964145
0,lt,down_jes,0,0,2.4,30,50,0,1,0.962814
0,lt,up_statistic,0,0,2.4,30,50,0,1,0.967098
0,lt,down_statistic,0,0,2.4,30,50,0,1,0.961192
0,lt,up_cb,0,0,2.4,30,50,0,1,0.972721
0,lt,down_cb,0,0,2.4,30,50,0,1,0.955569
0,lt,up_add,0,0,2.4,30,50,0,1,0.985242
0,lt,down_add,0,0,2.4,30,50,0,1,0.943048
0,lt,up,0,0,2.4,30,50,0,1,0.987633
0,lt,down,0,0,2.4,30,50,0,1,0.93272
0,lt,central,0,0,2.4,50,70,0,1,0.937749
0,lt,up_ntrk,0,0,2.4,50,70,0,1,0.956211
0,lt,up_njet,0,0,2.4,50,70,0,1,0.936695
0,lt,up_mupt,0,0,2.4,50,70,0,1,0.935517
0,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.934502
0,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.937768
0,lt,up_dmux,0,0,2.4,50,70,0,1,0.937749
0,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.937749
0,lt,up_ksl,0,0,2.4,50,70,0,1,0.937728
0,lt,up_jes,0,0,2.4,50,70,0,1,0.941106
0,lt,down_ntrk,0,0,2.4,50,70,0,1,0.937749
0,lt,down_njet,0,0,2.4,50,70,0,1,0.937749
0,lt,down_mupt,0,0,2.4,50,70,0,1,0.937749
0,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.941705
0,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.936562
0,lt,down_dmux,0,0,2.4,50,70,0,1,0.938414
0,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.936542
0,lt,down_ksl,0,0,2.4,50,70,0,1,0.937749
0,lt,down_jes,0,0,2.4,50,70,0,1,0.933083
0,lt,up_statistic,0,0,2.4,50,70,0,1,0.941736
0,lt,down_statistic,0,0,2.4,50,70,0,1,0.933762
0,lt,up_cb,0,0,2.4,50,70,0,1,0.941923
0,lt,down_cb,0,0,2.4,50,70,0,1,0.933575
0,lt,up_add,0,0,2.4,50,70,0,1,0.976938
0,lt,down_add,0,0,2.4,50,70,0,1,0.89856
0,lt,up,0,0,2.4,50,70,0,1,0.996603
0,lt,down,0,0,2.4,50,70,0,1,0.897503
0,lt,central,0,0,2.4,70,100,0,1,0.952988
0,lt,up_ntrk,0,0,2.4,70,100,0,1,0.97016
0,lt,up_njet,0,0,2.4,70,100,0,1,0.95334
0,lt,up_mupt,0,0,2.4,70,100,0,1,0.944067
0,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.953762
0,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.952868
0,lt,up_dmux,0,0,2.4,70,100,0,1,0.952988
0,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.952988
0,lt,up_ksl,0,0,2.4,70,100,0,1,0.952973
0,lt,up_jes,0,0,2.4,70,100,0,1,0.954437
0,lt,down_ntrk,0,0,2.4,70,100,0,1,0.952988
0,lt,down_njet,0,0,2.4,70,100,0,1,0.952988
0,lt,down_mupt,0,0,2.4,70,100,0,1,0.952988
0,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.951853
0,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.951828
0,lt,down_dmux,0,0,2.4,70,100,0,1,0.95274
0,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.952023
0,lt,down_ksl,0,0,2.4,70,100,0,1,0.952988
0,lt,down_jes,0,0,2.4,70,100,0,1,0.950218
0,lt,up_statistic,0,0,2.4,70,100,0,1,0.956418
0,lt,down_statistic,0,0,2.4,70,100,0,1,0.949558
0,lt,up_cb,0,0,2.4,70,100,0,1,0.956195
0,lt,down_cb,0,0,2.4,70,100,0,1,0.949781
0,lt,up_add,0,0,2.4,70,100,0,1,0.985772
0,lt,down_add,0,0,2.4,70,100,0,1,0.920204
0,lt,up,0,0,2.4,70,100,0,1,0.995625
0,lt,down,0,0,2.4,70,100,0,1,0.910101
0,lt,central,0,0,2.4,100,140,0,1,0.975667
0,lt,up_ntrk,0,0,2.4,100,140,0,1,0.976232
0,lt,up_njet,0,0,2.4,100,140,0,1,0.97531
0,lt,up_mupt,0,0,2.4,100,140,0,1,0.971447
0,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,0.976756
