CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,30,50,0,1,0.881257
2,lt,up_ntrk,0,0,2.4,30,50,0,1,0.902273
2,lt,up_njet,0,0,2.4,30,50,0,1,0.879078
2,lt,up_mupt,0,0,2.4,30,50,0,1,0.874485
2,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.889328
2,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.875352
2,lt,up_dmux,0,0,2.4,30,50,0,1,0.881257
2,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.881257
2,lt,up_ksl,0,0,2.4,30,50,0,1,0.881263
2,lt,up_jes,0,0,2.4,30,50,0,1,0.883076
2,lt,down_ntrk,0,0,2.4,30,50,0,1,0.881257
2,lt,down_njet,0,0,2.4,30,50,0,1,0.881257
2,lt,down_mupt,0,0,2.4,30,50,0,1,0.881257
2,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.872376
2,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.888868
2,lt,down_dmux,0,0,2.4,30,50,0,1,0.887141
2,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.893192
2,lt,down_ksl,0,0,2.4,30,50,0,1,0.881257
2,lt,down_jes,0,0,2.4,30,50,0,1,0.878863
2,lt,up_statistic,0,0,2.4,30,50,0,1,0.885249
2,lt,down_statistic,0,0,2.4,30,50,0,1,0.877264
2,lt,up_cb,0,0,2.4,30,50,0,1,0.890322
2,lt,down_cb,0,0,2.4,30,50,0,1,0.872192
2,lt,up_add,0,0,2.4,30,50,0,1,0.917648
2,lt,down_add,0,0,2.4,30,50,0,1,0.844866
2,lt,up,0,0,2.4,30,50,0,1,0.929154
2,lt,down,0,0,2.4,30,50,0,1,0.828435
2,lt,central,0,0,2.4,50,70,0,1,0.890779
2,lt,up_ntrk,0,0,2.4,50,70,0,1,0.910362
2,lt,up_njet,0,0,2.4,50,70,0,1,0.890041
