CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,30,50,0,1,0.964982
0,lt,up_ntrk,0,0,2.4,30,50,0,1,0.976745
0,lt,up_njet,0,0,2.4,30,50,0,1,0.963782
0,lt,up_mupt,0,0,2.4,30,50,0,1,0.963362
0,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.962604
0,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.966611
0,lt,up_dmux,0,0,2.4,30,50,0,1,0.964982
0,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.964982
0,lt,up_ksl,0,0,2.4,30,50,0,1,0.964987
0,lt,up_jes,0,0,2.4,30,50,0,1,0.96712
0,lt,down_ntrk,0,0,2.4,30,50,0,1,0.964982
0,lt,down_njet,0,0,2.4,30,50,0,1,0.964982
0,lt,down_mupt,0,0,2.4,30,50,0,1,0.964982
0,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.967714
0,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.960113
0,lt,down_dmux,0,0,2.4,30,50,0,1,0.965879
0,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.967335
0,lt,down_ksl,0,0,2.4,30,50,0,1,0.964982
0,lt,down_jes,0,0,2.4,30,50,0,1,0.962403
0,lt,up_statistic,0,0,2.4,30,50,0,1,0.968277
0,lt,down_statistic,0,0,2.4,30,50,0,1,0.961687
0,lt,up_cb,0,0,2.4,30,50,0,1,0.970633
0,lt,down_cb,0,0,2.4,30,50,0,1,0.959331
0,lt,up_add,0,0,2.4,30,50,0,1,0.995725
0,lt,down_add,0,0,2.4,30,50,0,1,0.934239
0,lt,up,0,0,2.4,30,50,0,1,1.01037
0,lt,down,0,0,2.4,30,50,0,1,0.932412
0,lt,central,0,0,2.4,50,70,0,1,0.964033
0,lt,up_ntrk,0,0,2.4,50,70,0,1,0.973778
0,lt,up_njet,0,0,2.4,50,70,0,1,0.963753
0,lt,up_mupt,0,0,2.4,50,70,0,1,0.962965
0,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.964254
0,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.963244
0,lt,up_dmux,0,0,2.4,50,70,0,1,0.964033
0,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.964033
0,lt,up_ksl,0,0,2.4,50,70,0,1,0.964008
0,lt,up_jes,0,0,2.4,50,70,0,1,0.966207
0,lt,down_ntrk,0,0,2.4,50,70,0,1,0.964033
0,lt,down_njet,0,0,2.4,50,70,0,1,0.964033
0,lt,down_mupt,0,0,2.4,50,70,0,1,0.964033
0,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.964156
0,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.9643
0,lt,down_dmux,0,0,2.4,50,70,0,1,0.965261
0,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.969745
0,lt,down_ksl,0,0,2.4,50,70,0,1,0.964033
0,lt,down_jes,0,0,2.4,50,70,0,1,0.962551
0,lt,up_statistic,0,0,2.4,50,70,0,1,0.967694
0,lt,down_statistic,0,0,2.4,50,70,0,1,0.960372
0,lt,up_cb,0,0,2.4,50,70,0,1,0.967543
0,lt,down_cb,0,0,2.4,50,70,0,1,0.960523
0,lt,up_add,0,0,2.4,50,70,0,1,1.00377
0,lt,down_add,0,0,2.4,50,70,0,1,0.924298
0,lt,up,0,0,2.4,50,70,0,1,1.01528
0,lt,down,0,0,2.4,50,70,0,1,0.916081
0,lt,central,0,0,2.4,70,100,0,1,0.964788
0,lt,up_ntrk,0,0,2.4,70,100,0,1,0.97656
0,lt,up_njet,0,0,2.4,70,100,0,1,0.964857
0,lt,up_mupt,0,0,2.4,70,100,0,1,0.958133
0,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.9658
0,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.965578
0,lt,up_dmux,0,0,2.4,70,100,0,1,0.964788
0,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.964788
0,lt,up_ksl,0,0,2.4,70,100,0,1,0.964774
0,lt,up_jes,0,0,2.4,70,100,0,1,0.966354
0,lt,down_ntrk,0,0,2.4,70,100,0,1,0.964788
0,lt,down_njet,0,0,2.4,70,100,0,1,0.964788
0,lt,down_mupt,0,0,2.4,70,100,0,1,0.964788
0,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.963582
0,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.963339
0,lt,down_dmux,0,0,2.4,70,100,0,1,0.963894
0,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.96329
0,lt,down_ksl,0,0,2.4,70,100,0,1,0.964788
0,lt,down_jes,0,0,2.4,70,100,0,1,0.962855
0,lt,up_statistic,0,0,2.4,70,100,0,1,0.967942
0,lt,down_statistic,0,0,2.4,70,100,0,1,0.961634
0,lt,up_cb,0,0,2.4,70,100,0,1,0.967325
0,lt,down_cb,0,0,2.4,70,100,0,1,0.962251
0,lt,up_add,0,0,2.4,70,100,0,1,0.988683
0,lt,down_add,0,0,2.4,70,100,0,1,0.940893
0,lt,up,0,0,2.4,70,100,0,1,0.995217
0,lt,down,0,0,2.4,70,100,0,1,0.932897
0,lt,central,0,0,2.4,100,140,0,1,0.979243
0,lt,up_ntrk,0,0,2.4,100,140,0,1,0.983102
0,lt,up_njet,0,0,2.4,100,140,0,1,0.978947
0,lt,up_mupt,0,0,2.4,100,140,0,1,0.975824
0,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,0.979968
0,lt,up_bfragmentation,0,0,2.4,100,140,0,1,0.980843
0,lt,up_dmux,0,0,2.4,100,140,0,1,0.979243
0,lt,up_cfragmentation,0,0,2.4,100,140,0,1,0.979243
0,lt,up_ksl,0,0,2.4,100,140,0,1,0.979226
0,lt,up_jes,0,0,2.4,100,140,0,1,0.980879
0,lt,down_ntrk,0,0,2.4,100,140,0,1,0.979243
0,lt,down_njet,0,0,2.4,100,140,0,1,0.979243
0,lt,down_mupt,0,0,2.4,100,140,0,1,0.979243
0,lt,down_gluonsplitting,0,0,2.4,100,140,0,1,0.977868
0,lt,down_bfragmentation,0,0,2.4,100,140,0,1,0.976456
0,lt,down_dmux,0,0,2.4,100,140,0,1,0.979973
0,lt,down_cfragmentation,0,0,2.4,100,140,0,1,0.9804
0,lt,down_ksl,0,0,2.4,100,140,0,1,0.979243
0,lt,down_jes,0,0,2.4,100,140,0,1,0.979004
0,lt,up_statistic,0,0,2.4,100,140,0,1,0.981948
0,lt,down_statistic,0,0,2.4,100,140,0,1,0.976538
0,lt,up_cb,0,0,2.4,100,140,0,1,0.981095
0,lt,down_cb,0,0,2.4,100,140,0,1,0.977391
0,lt,up_add,0,0,2.4,100,140,0,1,1.00222
0,lt,down_add,0,0,2.4,100,140,0,1,0.956263
0,lt,up,0,0,2.4,100,140,0,1,1.00442
0,lt,down,0,0,2.4,100,140,0,1,0.947367
0,lt,central,0,0,2.4,140,200,0,1,0.977324
0,lt,up_ntrk,0,0,2.4,140,200,0,1,0.983008
0,lt,up_njet,0,0,2.4,140,200,0,1,0.976324
0,lt,up_mupt,0,0,2.4,140,200,0,1,0.975596
0,lt,up_gluonsplitting,0,0,2.4,140,200,0,1,0.978476
0,lt,up_bfragmentation,0,0,2.4,140,200,0,1,0.980025
0,lt,up_dmux,0,0,2.4,140,200,0,1,0.977324
0,lt,up_cfragmentation,0,0,2.4,140,200,0,1,0.977324
0,lt,up_ksl,0,0,2.4,140,200,0,1,0.977299
0,lt,up_jes,0,0,2.4,140,200,0,1,0.97819
0,lt,down_ntrk,0,0,2.4,140,200,0,1,0.977324
0,lt,down_njet,0,0,2.4,140,200,0,1,0.977324
0,lt,down_mupt,0,0,2.4,140,200,0,1,0.977324
0,lt,down_gluonsplitting,0,0,2.4,140,200,0,1,0.975621
0,lt,down_bfragmentation,0,0,2.4,140,200,0,1,0.974157
0,lt,down_dmux,0,0,2.4,140,200,0,1,0.977684
0,lt,down_cfragmentation,0,0,2.4,140,200,0,1,0.979802
0,lt,down_ksl,0,0,2.4,140,200,0,1,0.977324
0,lt,down_jes,0,0,2.4,140,200,0,1,0.975787
0,lt,up_statistic,0,0,2.4,140,200,0,1,0.980853
0,lt,down_statistic,0,0,2.4,140,200,0,1,0.973795
0,lt,up_cb,0,0,2.4,140,200,0,1,0.978424
0,lt,down_cb,0,0,2.4,140,200,0,1,0.976224
0,lt,up_add,0,0,2.4,140,200,0,1,0.996279
0,lt,down_add,0,0,2.4,140,200,0,1,0.958369
0,lt,up,0,0,2.4,140,200,0,1,1.00337
0,lt,down,0,0,2.4,140,200,0,1,0.955094
0,lt,central,0,0,2.4,200,300,0,1,0.988162
0,lt,up_ntrk,0,0,2.4,200,300,0,1,0.999386
0,lt,up_njet,0,0,2.4,200,300,0,1,0.988069
0,lt,up_mupt,0,0,2.4,200,300,0,1,0.98691
0,lt,up_gluonsplitting,0,0,2.4,200,300,0,1,0.984742
0,lt,up_bfragmentation,0,0,2.4,200,300,0,1,0.997319
0,lt,up_dmux,0,0,2.4,200,300,0,1,0.988161
0,lt,up_cfragmentation,0,0,2.4,200,300,0,1,0.988161
0,lt,up_ksl,0,0,2.4,200,300,0,1,0.988174
0,lt,up_jes,0,0,2.4,200,300,0,1,0.989518
0,lt,down_ntrk,0,0,2.4,200,300,0,1,0.988161
0,lt,down_njet,0,0,2.4,200,300,0,1,0.988161
0,lt,down_mupt,0,0,2.4,200,300,0,1,0.988161
0,lt,down_gluonsplitting,0,0,2.4,200,300,0,1,0.993191
0,lt,down_bfragmentation,0,0,2.4,200,300,0,1,0.981894
0,lt,down_dmux,0,0,2.4,200,300,0,1,0.989984
0,lt,down_cfragmentation,0,0,2.4,200,300,0,1,0.992264
0,lt,down_ksl,0,0,2.4,200,300,0,1,0.988161
0,lt,down_jes,0,0,2.4,200,300,0,1,0.986143
0,lt,up_statistic,0,0,2.4,200,300,0,1,0.995177
0,lt,down_statistic,0,0,2.4,200,300,0,1,0.981147
0,lt,up_cb,0,0,2.4,200,300,0,1,0.988657
0,lt,down_cb,0,0,2.4,200,300,0,1,0.987667
0,lt,up_add,0,0,2.4,200,300,0,1,1.00083
0,lt,down_add,0,0,2.4,200,300,0,1,0.975491
0,lt,up,0,0,2.4,200,300,0,1,1.01312
0,lt,down,0,0,2.4,200,300,0,1,0.97169
0,lt,central,0,0,2.4,300,670,0,1,1.00435
0,lt,up_ntrk,0,0,2.4,300,670,0,1,1.02043
