CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,30,50,0,1,0.983158
1,lt,up_ntrk,0,0,2.4,30,50,0,1,0.985068
1,lt,up_njet,0,0,2.4,30,50,0,1,0.98202
1,lt,up_mupt,0,0,2.4,30,50,0,1,0.980676
1,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.982057
1,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.984651
1,lt,up_dmux,0,0,2.4,30,50,0,1,0.983158
1,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.983158
1,lt,up_ksl,0,0,2.4,30,50,0,1,0.983163
1,lt,up_jes,0,0,2.4,30,50,0,1,0.984169
1,lt,down_ntrk,0,0,2.4,30,50,0,1,0.983158
1,lt,down_njet,0,0,2.4,30,50,0,1,0.983158
1,lt,down_mupt,0,0,2.4,30,50,0,1,0.983158
1,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.984531
1,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.979567
1,lt,down_dmux,0,0,2.4,30,50,0,1,0.984745
1,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.98835
1,lt,down_ksl,0,0,2.4,30,50,0,1,0.983158
1,lt,down_jes,0,0,2.4,30,50,0,1,0.982025
1,lt,up_statistic,0,0,2.4,30,50,0,1,0.986289
1,lt,down_statistic,0,0,2.4,30,50,0,1,0.980027
1,lt,up_cb,0,0,2.4,30,50,0,1,0.992613
1,lt,down_cb,0,0,2.4,30,50,0,1,0.973703
1,lt,up_add,0,0,2.4,30,50,0,1,1.0189
1,lt,down_add,0,0,2.4,30,50,0,1,0.947413
1,lt,up,0,0,2.4,30,50,0,1,1.02078
1,lt,down,0,0,2.4,30,50,0,1,0.945744
1,lt,central,0,0,2.4,50,70,0,1,0.963923
1,lt,up_ntrk,0,0,2.4,50,70,0,1,0.969128
1,lt,up_njet,0,0,2.4,50,70,0,1,0.96281
1,lt,up_mupt,0,0,2.4,50,70,0,1,0.962937
1,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.963157
1,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.961729
1,lt,up_dmux,0,0,2.4,50,70,0,1,0.963923
1,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.963923
1,lt,up_ksl,0,0,2.4,50,70,0,1,0.963904
1,lt,up_jes,0,0,2.4,50,70,0,1,0.96526
1,lt,down_ntrk,0,0,2.4,50,70,0,1,0.963923
1,lt,down_njet,0,0,2.4,50,70,0,1,0.963923
1,lt,down_mupt,0,0,2.4,50,70,0,1,0.963923
1,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.965156
1,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.965206
1,lt,down_dmux,0,0,2.4,50,70,0,1,0.964272
1,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.966181
1,lt,down_ksl,0,0,2.4,50,70,0,1,0.963923
1,lt,down_jes,0,0,2.4,50,70,0,1,0.961168
1,lt,up_statistic,0,0,2.4,50,70,0,1,0.967492
1,lt,down_statistic,0,0,2.4,50,70,0,1,0.960354
1,lt,up_cb,0,0,2.4,50,70,0,1,0.968696
1,lt,down_cb,0,0,2.4,50,70,0,1,0.95915
1,lt,up_add,0,0,2.4,50,70,0,1,1.00072
1,lt,down_add,0,0,2.4,50,70,0,1,0.927129
1,lt,up,0,0,2.4,50,70,0,1,1.00169
1,lt,down,0,0,2.4,50,70,0,1,0.926446
1,lt,central,0,0,2.4,70,100,0,1,0.97754
1,lt,up_ntrk,0,0,2.4,70,100,0,1,0.984631
1,lt,up_njet,0,0,2.4,70,100,0,1,0.978121
1,lt,up_mupt,0,0,2.4,70,100,0,1,0.971363
1,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.980147
1,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.977388
1,lt,up_dmux,0,0,2.4,70,100,0,1,0.977541
1,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.977541
1,lt,up_ksl,0,0,2.4,70,100,0,1,0.977529
1,lt,up_jes,0,0,2.4,70,100,0,1,0.978513
1,lt,down_ntrk,0,0,2.4,70,100,0,1,0.977541
1,lt,down_njet,0,0,2.4,70,100,0,1,0.977541
1,lt,down_mupt,0,0,2.4,70,100,0,1,0.977541
1,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.974429
1,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.976752
1,lt,down_dmux,0,0,2.4,70,100,0,1,0.976115
1,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.974528
1,lt,down_ksl,0,0,2.4,70,100,0,1,0.977541
1,lt,down_jes,0,0,2.4,70,100,0,1,0.976582
1,lt,up_statistic,0,0,2.4,70,100,0,1,0.980612
1,lt,down_statistic,0,0,2.4,70,100,0,1,0.974468
1,lt,up_cb,0,0,2.4,70,100,0,1,0.981325
1,lt,down_cb,0,0,2.4,70,100,0,1,0.973755
1,lt,up_add,0,0,2.4,70,100,0,1,1.03026
1,lt,down_add,0,0,2.4,70,100,0,1,0.924821
1,lt,up,0,0,2.4,70,100,0,1,1.03103
1,lt,down,0,0,2.4,70,100,0,1,0.924028
1,lt,central,0,0,2.4,100,140,0,1,0.98349
1,lt,up_ntrk,0,0,2.4,100,140,0,1,0.986372
1,lt,up_njet,0,0,2.4,100,140,0,1,0.982886
1,lt,up_mupt,0,0,2.4,100,140,0,1,0.98008
1,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,0.983452
1,lt,up_bfragmentation,0,0,2.4,100,140,0,1,0.984954
1,lt,up_dmux,0,0,2.4,100,140,0,1,0.98349
1,lt,up_cfragmentation,0,0,2.4,100,140,0,1,0.98349
1,lt,up_ksl,0,0,2.4,100,140,0,1,0.98347
1,lt,up_jes,0,0,2.4,100,140,0,1,0.984487
1,lt,down_ntrk,0,0,2.4,100,140,0,1,0.98349
1,lt,down_njet,0,0,2.4,100,140,0,1,0.98349
1,lt,down_mupt,0,0,2.4,100,140,0,1,0.98349
1,lt,down_gluonsplitting,0,0,2.4,100,140,0,1,0.982994
1,lt,down_bfragmentation,0,0,2.4,100,140,0,1,0.980651
1,lt,down_dmux,0,0,2.4,100,140,0,1,0.984005
1,lt,down_cfragmentation,0,0,2.4,100,140,0,1,0.98361
1,lt,down_ksl,0,0,2.4,100,140,0,1,0.98349
1,lt,down_jes,0,0,2.4,100,140,0,1,0.983627
1,lt,up_statistic,0,0,2.4,100,140,0,1,0.986175
1,lt,down_statistic,0,0,2.4,100,140,0,1,0.980805
1,lt,up_cb,0,0,2.4,100,140,0,1,0.986924
1,lt,down_cb,0,0,2.4,100,140,0,1,0.980056
1,lt,up_add,0,0,2.4,100,140,0,1,0.999297
1,lt,down_add,0,0,2.4,100,140,0,1,0.967683
1,lt,up,0,0,2.4,100,140,0,1,1.00024
1,lt,down,0,0,2.4,100,140,0,1,0.966486
1,lt,central,0,0,2.4,140,200,0,1,0.978261
1,lt,up_ntrk,0,0,2.4,140,200,0,1,0.983465
1,lt,up_njet,0,0,2.4,140,200,0,1,0.977367
1,lt,up_mupt,0,0,2.4,140,200,0,1,0.976518
1,lt,up_gluonsplitting,0,0,2.4,140,200,0,1,0.978267
1,lt,up_bfragmentation,0,0,2.4,140,200,0,1,0.980515
1,lt,up_dmux,0,0,2.4,140,200,0,1,0.97826
1,lt,up_cfragmentation,0,0,2.4,140,200,0,1,0.97826
1,lt,up_ksl,0,0,2.4,140,200,0,1,0.978248
1,lt,up_jes,0,0,2.4,140,200,0,1,0.978019
1,lt,down_ntrk,0,0,2.4,140,200,0,1,0.97826
1,lt,down_njet,0,0,2.4,140,200,0,1,0.97826
1,lt,down_mupt,0,0,2.4,140,200,0,1,0.97826
1,lt,down_gluonsplitting,0,0,2.4,140,200,0,1,0.977777
1,lt,down_bfragmentation,0,0,2.4,140,200,0,1,0.975254
1,lt,down_dmux,0,0,2.4,140,200,0,1,0.978507
1,lt,down_cfragmentation,0,0,2.4,140,200,0,1,0.979485
1,lt,down_ksl,0,0,2.4,140,200,0,1,0.97826
1,lt,down_jes,0,0,2.4,140,200,0,1,0.976766
1,lt,up_statistic,0,0,2.4,140,200,0,1,0.981682
1,lt,down_statistic,0,0,2.4,140,200,0,1,0.97484
1,lt,up_cb,0,0,2.4,140,200,0,1,0.981471
1,lt,down_cb,0,0,2.4,140,200,0,1,0.975051
1,lt,up_add,0,0,2.4,140,200,0,1,0.998467
1,lt,down_add,0,0,2.4,140,200,0,1,0.958055
1,lt,up,0,0,2.4,140,200,0,1,0.999801
1,lt,down,0,0,2.4,140,200,0,1,0.95715
1,lt,central,0,0,2.4,200,300,0,1,0.99025
1,lt,up_ntrk,0,0,2.4,200,300,0,1,1.00351
1,lt,up_njet,0,0,2.4,200,300,0,1,0.989971
1,lt,up_mupt,0,0,2.4,200,300,0,1,0.989069
1,lt,up_gluonsplitting,0,0,2.4,200,300,0,1,0.982512
1,lt,up_bfragmentation,0,0,2.4,200,300,0,1,1.0013
1,lt,up_dmux,0,0,2.4,200,300,0,1,0.990249
1,lt,up_cfragmentation,0,0,2.4,200,300,0,1,0.990249
1,lt,up_ksl,0,0,2.4,200,300,0,1,0.990261
1,lt,up_jes,0,0,2.4,200,300,0,1,0.99167
1,lt,down_ntrk,0,0,2.4,200,300,0,1,0.990249
1,lt,down_njet,0,0,2.4,200,300,0,1,0.990249
1,lt,down_mupt,0,0,2.4,200,300,0,1,0.990249
1,lt,down_gluonsplitting,0,0,2.4,200,300,0,1,1.0012
1,lt,down_bfragmentation,0,0,2.4,200,300,0,1,0.981692
1,lt,down_dmux,0,0,2.4,200,300,0,1,0.992259
1,lt,down_cfragmentation,0,0,2.4,200,300,0,1,0.993323
1,lt,down_ksl,0,0,2.4,200,300,0,1,0.990249
1,lt,down_jes,0,0,2.4,200,300,0,1,0.988162
1,lt,up_statistic,0,0,2.4,200,300,0,1,0.99753
1,lt,down_statistic,0,0,2.4,200,300,0,1,0.98297
1,lt,up_cb,0,0,2.4,200,300,0,1,0.993082
1,lt,down_cb,0,0,2.4,200,300,0,1,0.987418
1,lt,up_add,0,0,2.4,200,300,0,1,1.00808
1,lt,down_add,0,0,2.4,200,300,0,1,0.97242
1,lt,up,0,0,2.4,200,300,0,1,1.01875
1,lt,down,0,0,2.4,200,300,0,1,0.967493
1,lt,central,0,0,2.4,300,670,0,1,0.980303
1,lt,up_ntrk,0,0,2.4,300,670,0,1,0.999404
1,lt,up_njet,0,0,2.4,300,670,0,1,0.979453
1,lt,up_mupt,0,0,2.4,300,670,0,1,0.974793
1,lt,up_gluonsplitting,0,0,2.4,300,670,0,1,0.975168
1,lt,up_bfragmentation,0,0,2.4,300,670,0,1,0.998666
1,lt,up_dmux,0,0,2.4,300,670,0,1,0.980303
1,lt,up_cfragmentation,0,0,2.4,300,670,0,1,0.980303
1,lt,up_ksl,0,0,2.4,300,670,0,1,0.98027
1,lt,up_jes,0,0,2.4,300,670,0,1,0.982312
1,lt,down_ntrk,0,0,2.4,300,670,0,1,0.980303
1,lt,down_njet,0,0,2.4,300,670,0,1,0.980303
1,lt,down_mupt,0,0,2.4,300,670,0,1,0.980303
1,lt,down_gluonsplitting,0,0,2.4,300,670,0,1,0.991707
1,lt,down_bfragmentation,0,0,2.4,300,670,0,1,0.970964
1,lt,down_dmux,0,0,2.4,300,670,0,1,0.980697
1,lt,down_cfragmentation,0,0,2.4,300,670,0,1,0.981183
1,lt,down_ksl,0,0,2.4,300,670,0,1,0.980303
1,lt,down_jes,0,0,2.4,300,670,0,1,0.978436
1,lt,up_statistic,0,0,2.4,300,670,0,1,0.991307
1,lt,down_statistic,0,0,2.4,300,670,0,1,0.969299
1,lt,up_cb,0,0,2.4,300,670,0,1,0.982349
1,lt,down_cb,0,0,2.4,300,670,0,1,0.978257
1,lt,up_add,0,0,2.4,300,670,0,1,1.01077
1,lt,down_add,0,0,2.4,300,670,0,1,0.949834
1,lt,up,0,0,2.4,300,670,0,1,1.02379
1,lt,down,0,0,2.4,300,670,0,1,0.945636
