CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,300,400,0,1,0.926039
1,lt,up_jes,0,0,2.4,300,400,0,1,0.930622
1,lt,up_ntracks,0,0,2.4,300,400,0,1,0.948744
1,lt,up_bfragmentation,0,0,2.4,300,400,0,1,0.924942
1,lt,up_cfragmentation,0,0,2.4,300,400,0,1,0.91516
1,lt,up_dmux,0,0,2.4,300,400,0,1,0.925522
1,lt,up_ksl,0,0,2.4,300,400,0,1,0.926041
1,lt,up_pileup,0,0,2.4,300,400,0,1,0.930899
1,lt,down_jes,0,0,2.4,300,400,0,1,0.92323
1,lt,down_ntracks,0,0,2.4,300,400,0,1,0.926041
1,lt,down_bfragmentation,0,0,2.4,300,400,0,1,0.899882
1,lt,down_cfragmentation,0,0,2.4,300,400,0,1,0.926041
1,lt,down_dmux,0,0,2.4,300,400,0,1,0.926041
1,lt,down_ksl,0,0,2.4,300,400,0,1,0.926041
1,lt,down_pileup,0,0,2.4,300,400,0,1,0.920206
1,lt,up_statistic,0,0,2.4,300,400,0,1,0.972041
1,lt,down_statistic,0,0,2.4,300,400,0,1,0.880037
1,lt,up_normalization,0,0,2.4,300,400,0,1,0.979017
1,lt,down_normalization,0,0,2.4,300,400,0,1,0.873061
1,lt,up,0,0,2.4,300,400,0,1,1.01671
1,lt,down,0,0,2.4,300,400,0,1,0.849639
1,lt,central,0,0,2.4,400,500,0,1,0.995088
1,lt,up_jes,0,0,2.4,400,500,0,1,0.977446
1,lt,up_ntracks,0,0,2.4,400,500,0,1,1.00389
1,lt,up_bfragmentation,0,0,2.4,400,500,0,1,1.00028
1,lt,up_cfragmentation,0,0,2.4,400,500,0,1,0.992393
1,lt,up_dmux,0,0,2.4,400,500,0,1,0.981051
1,lt,up_ksl,0,0,2.4,400,500,0,1,0.995086
1,lt,up_pileup,0,0,2.4,400,500,0,1,1.00139
1,lt,down_jes,0,0,2.4,400,500,0,1,0.997389
1,lt,down_ntracks,0,0,2.4,400,500,0,1,0.995086
1,lt,down_bfragmentation,0,0,2.4,400,500,0,1,1.00183
1,lt,down_cfragmentation,0,0,2.4,400,500,0,1,0.995086
1,lt,down_dmux,0,0,2.4,400,500,0,1,0.995086
1,lt,down_ksl,0,0,2.4,400,500,0,1,0.995086
1,lt,down_pileup,0,0,2.4,400,500,0,1,0.984471
1,lt,up_statistic,0,0,2.4,400,500,0,1,1.08766
1,lt,down_statistic,0,0,2.4,400,500,0,1,0.902513
1,lt,up_normalization,0,0,2.4,400,500,0,1,1.08626
1,lt,down_normalization,0,0,2.4,400,500,0,1,0.903914
1,lt,up,0,0,2.4,400,500,0,1,1.15372
1,lt,down,0,0,2.4,400,500,0,1,0.861903
1,lt,central,0,0,2.4,500,600,0,1,0.939372
1,lt,up_jes,0,0,2.4,500,600,0,1,0.951998
1,lt,up_ntracks,0,0,2.4,500,600,0,1,0.97462
1,lt,up_bfragmentation,0,0,2.4,500,600,0,1,0.938713
1,lt,up_cfragmentation,0,0,2.4,500,600,0,1,0.93004
1,lt,up_dmux,0,0,2.4,500,600,0,1,0.936627
1,lt,up_ksl,0,0,2.4,500,600,0,1,0.939374
1,lt,up_pileup,0,0,2.4,500,600,0,1,0.944982
1,lt,down_jes,0,0,2.4,500,600,0,1,0.938404
1,lt,down_ntracks,0,0,2.4,500,600,0,1,0.939374
1,lt,down_bfragmentation,0,0,2.4,500,600,0,1,0.947143
1,lt,down_cfragmentation,0,0,2.4,500,600,0,1,0.939374
1,lt,down_dmux,0,0,2.4,500,600,0,1,0.939374
1,lt,down_ksl,0,0,2.4,500,600,0,1,0.939374
1,lt,down_pileup,0,0,2.4,500,600,0,1,0.931585
1,lt,up_statistic,0,0,2.4,500,600,0,1,1.04675
1,lt,down_statistic,0,0,2.4,500,600,0,1,0.831996
1,lt,up_normalization,0,0,2.4,500,600,0,1,0.997929
1,lt,down_normalization,0,0,2.4,500,600,0,1,0.880815
1,lt,up,0,0,2.4,500,600,0,1,1.07997
1,lt,down,0,0,2.4,500,600,0,1,0.815968
1,lt,central,0,0,2.4,600,700,0,1,1.05496
1,lt,up_jes,0,0,2.4,600,700,0,1,1.04279
1,lt,up_ntracks,0,0,2.4,600,700,0,1,1.03706
1,lt,up_bfragmentation,0,0,2.4,600,700,0,1,1.05658
1,lt,up_cfragmentation,0,0,2.4,600,700,0,1,1.04649
1,lt,up_dmux,0,0,2.4,600,700,0,1,1.04906
1,lt,up_ksl,0,0,2.4,600,700,0,1,1.05488
1,lt,up_pileup,0,0,2.4,600,700,0,1,1.0728
1,lt,down_jes,0,0,2.4,600,700,0,1,1.05938
1,lt,down_ntracks,0,0,2.4,600,700,0,1,1.05496
1,lt,down_bfragmentation,0,0,2.4,600,700,0,1,1.073
1,lt,down_cfragmentation,0,0,2.4,600,700,0,1,1.05496
1,lt,down_dmux,0,0,2.4,600,700,0,1,1.05496
1,lt,down_ksl,0,0,2.4,600,700,0,1,1.05496
1,lt,down_pileup,0,0,2.4,600,700,0,1,1.02155
1,lt,up_statistic,0,0,2.4,600,700,0,1,1.20823
1,lt,down_statistic,0,0,2.4,600,700,0,1,0.901689
1,lt,up_normalization,0,0,2.4,600,700,0,1,1.07169
1,lt,down_normalization,0,0,2.4,600,700,0,1,1.03823
1,lt,up,0,0,2.4,600,700,0,1,1.21164
1,lt,down,0,0,2.4,600,700,0,1,0.894855
