CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,300,400,0,1,1.0236
1,lt,up_jes,0,0,2.4,300,400,0,1,1.02353
1,lt,up_ntracks,0,0,2.4,300,400,0,1,1.07164
1,lt,up_bfragmentation,0,0,2.4,300,400,0,1,1.02492
1,lt,up_cfragmentation,0,0,2.4,300,400,0,1,1.02637
1,lt,up_dmux,0,0,2.4,300,400,0,1,1.02573
1,lt,up_ksl,0,0,2.4,300,400,0,1,1.02361
1,lt,up_pileup,0,0,2.4,300,400,0,1,1.02196
1,lt,down_jes,0,0,2.4,300,400,0,1,1.02405
1,lt,down_ntracks,0,0,2.4,300,400,0,1,1.02359
1,lt,down_bfragmentation,0,0,2.4,300,400,0,1,1.02569
1,lt,down_cfragmentation,0,0,2.4,300,400,0,1,1.02359
1,lt,down_dmux,0,0,2.4,300,400,0,1,1.02359
1,lt,down_ksl,0,0,2.4,300,400,0,1,1.02359
1,lt,down_pileup,0,0,2.4,300,400,0,1,1.02462
1,lt,up_statistic,0,0,2.4,300,400,0,1,1.04253
1,lt,down_statistic,0,0,2.4,300,400,0,1,1.00467
1,lt,up_normalization,0,0,2.4,300,400,0,1,1.0543
1,lt,down_normalization,0,0,2.4,300,400,0,1,0.992894
1,lt,up,0,0,2.4,300,400,0,1,1.0846
1,lt,down,0,0,2.4,300,400,0,1,0.977185
1,lt,central,0,0,2.4,400,500,0,1,1.02562
1,lt,up_jes,0,0,2.4,400,500,0,1,1.02624
1,lt,up_ntracks,0,0,2.4,400,500,0,1,1.09762
1,lt,up_bfragmentation,0,0,2.4,400,500,0,1,1.03066
1,lt,up_cfragmentation,0,0,2.4,400,500,0,1,1.02654
1,lt,up_dmux,0,0,2.4,400,500,0,1,1.02231
1,lt,up_ksl,0,0,2.4,400,500,0,1,1.02564
1,lt,up_pileup,0,0,2.4,400,500,0,1,1.02127
1,lt,down_jes,0,0,2.4,400,500,0,1,1.018
1,lt,down_ntracks,0,0,2.4,400,500,0,1,1.02565
1,lt,down_bfragmentation,0,0,2.4,400,500,0,1,1.03105
1,lt,down_cfragmentation,0,0,2.4,400,500,0,1,1.02565
1,lt,down_dmux,0,0,2.4,400,500,0,1,1.02565
1,lt,down_ksl,0,0,2.4,400,500,0,1,1.02565
1,lt,down_pileup,0,0,2.4,400,500,0,1,1.02884
1,lt,up_statistic,0,0,2.4,400,500,0,1,1.04797
1,lt,down_statistic,0,0,2.4,400,500,0,1,1.00327
1,lt,up_normalization,0,0,2.4,400,500,0,1,1.04265
1,lt,down_normalization,0,0,2.4,400,500,0,1,1.0086
1,lt,up,0,0,2.4,400,500,0,1,1.10365
1,lt,down,0,0,2.4,400,500,0,1,0.992184
1,lt,central,0,0,2.4,500,600,0,1,0.984893
1,lt,up_jes,0,0,2.4,500,600,0,1,0.986742
1,lt,up_ntracks,0,0,2.4,500,600,0,1,1.06138
1,lt,up_bfragmentation,0,0,2.4,500,600,0,1,0.993449
1,lt,up_cfragmentation,0,0,2.4,500,600,0,1,0.986437
1,lt,up_dmux,0,0,2.4,500,600,0,1,0.986107
1,lt,up_ksl,0,0,2.4,500,600,0,1,0.984916
1,lt,up_pileup,0,0,2.4,500,600,0,1,0.988644
1,lt,down_jes,0,0,2.4,500,600,0,1,0.989534
1,lt,down_ntracks,0,0,2.4,500,600,0,1,0.984897
1,lt,down_bfragmentation,0,0,2.4,500,600,0,1,0.991561
1,lt,down_cfragmentation,0,0,2.4,500,600,0,1,0.984897
1,lt,down_dmux,0,0,2.4,500,600,0,1,0.984897
1,lt,down_ksl,0,0,2.4,500,600,0,1,0.984897
1,lt,down_pileup,0,0,2.4,500,600,0,1,0.985115
1,lt,up_statistic,0,0,2.4,500,600,0,1,1.02145
1,lt,down_statistic,0,0,2.4,500,600,0,1,0.948339
1,lt,up_normalization,0,0,2.4,500,600,0,1,1.00887
1,lt,down_normalization,0,0,2.4,500,600,0,1,0.960913
1,lt,up,0,0,2.4,500,600,0,1,1.0739
1,lt,down,0,0,2.4,500,600,0,1,0.935031
1,lt,central,0,0,2.4,600,700,0,1,1.02857
1,lt,up_jes,0,0,2.4,600,700,0,1,1.03703
1,lt,up_ntracks,0,0,2.4,600,700,0,1,1.09511
1,lt,up_bfragmentation,0,0,2.4,600,700,0,1,1.03674
1,lt,up_cfragmentation,0,0,2.4,600,700,0,1,1.02972
1,lt,up_dmux,0,0,2.4,600,700,0,1,1.03061
1,lt,up_ksl,0,0,2.4,600,700,0,1,1.02853
1,lt,up_pileup,0,0,2.4,600,700,0,1,1.02295
1,lt,down_jes,0,0,2.4,600,700,0,1,1.00705
1,lt,down_ntracks,0,0,2.4,600,700,0,1,1.02856
1,lt,down_bfragmentation,0,0,2.4,600,700,0,1,1.03452
1,lt,down_cfragmentation,0,0,2.4,600,700,0,1,1.02856
1,lt,down_dmux,0,0,2.4,600,700,0,1,1.02856
1,lt,down_ksl,0,0,2.4,600,700,0,1,1.02856
1,lt,down_pileup,0,0,2.4,600,700,0,1,1.03832
1,lt,up_statistic,0,0,2.4,600,700,0,1,1.07593
1,lt,down_statistic,0,0,2.4,600,700,0,1,0.9812
1,lt,up_normalization,0,0,2.4,600,700,0,1,1.07028
1,lt,down_normalization,0,0,2.4,600,700,0,1,0.986851
1,lt,up,0,0,2.4,600,700,0,1,1.12367
1,lt,down,0,0,2.4,600,700,0,1,0.952009
