CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,300,400,0,1,0.904914
2,lt,up_jes,0,0,2.4,300,400,0,1,0.920288
2,lt,up_ntracks,0,0,2.4,300,400,0,1,0.902938
2,lt,up_bfragmentation,0,0,2.4,300,400,0,1,0.905899
2,lt,up_cfragmentation,0,0,2.4,300,400,0,1,0.904336
2,lt,up_dmux,0,0,2.4,300,400,0,1,0.904915
2,lt,up_ksl,0,0,2.4,300,400,0,1,0.916542
2,lt,down_jes,0,0,2.4,300,400,0,1,0.904915
2,lt,down_ntracks,0,0,2.4,300,400,0,1,0.910888
2,lt,down_bfragmentation,0,0,2.4,300,400,0,1,0.904915
2,lt,down_cfragmentation,0,0,2.4,300,400,0,1,0.904915
2,lt,down_dmux,0,0,2.4,300,400,0,1,0.904915
2,lt,down_ksl,0,0,2.4,300,400,0,1,0.886051
2,lt,up_statistic,0,0,2.4,300,400,0,1,0.962067
2,lt,down_statistic,0,0,2.4,300,400,0,1,0.847761
2,lt,up_normalization,0,0,2.4,300,400,0,1,0.987585
2,lt,down_normalization,0,0,2.4,300,400,0,1,0.822243
2,lt,up,0,0,2.4,300,400,0,1,1.00776
2,lt,down,0,0,2.4,300,400,0,1,0.773663
2,lt,central,0,0,2.4,400,500,0,1,0.912723
2,lt,up_jes,0,0,2.4,400,500,0,1,0.927484
2,lt,up_ntracks,0,0,2.4,400,500,0,1,0.914615
2,lt,up_bfragmentation,0,0,2.4,400,500,0,1,0.899438
2,lt,up_cfragmentation,0,0,2.4,400,500,0,1,0.896166
2,lt,up_dmux,0,0,2.4,400,500,0,1,0.912721
2,lt,up_ksl,0,0,2.4,400,500,0,1,0.924942
2,lt,down_jes,0,0,2.4,400,500,0,1,0.912721
2,lt,down_ntracks,0,0,2.4,400,500,0,1,0.934325
2,lt,down_bfragmentation,0,0,2.4,400,500,0,1,0.912721
2,lt,down_cfragmentation,0,0,2.4,400,500,0,1,0.912721
2,lt,down_dmux,0,0,2.4,400,500,0,1,0.912721
2,lt,down_ksl,0,0,2.4,400,500,0,1,0.889572
2,lt,up_statistic,0,0,2.4,400,500,0,1,1.04107
2,lt,down_statistic,0,0,2.4,400,500,0,1,0.784372
2,lt,up_normalization,0,0,2.4,400,500,0,1,0.940934
2,lt,down_normalization,0,0,2.4,400,500,0,1,0.884512
2,lt,up,0,0,2.4,400,500,0,1,1.04899
2,lt,down,0,0,2.4,400,500,0,1,0.776375
