CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,300,400,0,1,1.00284
2,lt,up_jes,0,0,2.4,300,400,0,1,1.05877
2,lt,up_ntracks,0,0,2.4,300,400,0,1,1.00411
2,lt,up_bfragmentation,0,0,2.4,300,400,0,1,0.999619
2,lt,up_cfragmentation,0,0,2.4,300,400,0,1,1.00299
2,lt,up_dmux,0,0,2.4,300,400,0,1,1.00282
2,lt,up_ksl,0,0,2.4,300,400,0,1,1.00189
2,lt,down_jes,0,0,2.4,300,400,0,1,1.00284
2,lt,down_ntracks,0,0,2.4,300,400,0,1,1.00959
2,lt,down_bfragmentation,0,0,2.4,300,400,0,1,1.00284
2,lt,down_cfragmentation,0,0,2.4,300,400,0,1,1.00284
2,lt,down_dmux,0,0,2.4,300,400,0,1,1.00284
2,lt,down_ksl,0,0,2.4,300,400,0,1,1.00384
2,lt,up_statistic,0,0,2.4,300,400,0,1,1.01849
2,lt,down_statistic,0,0,2.4,300,400,0,1,0.98719
2,lt,up_normalization,0,0,2.4,300,400,0,1,1.06133
2,lt,down_normalization,0,0,2.4,300,400,0,1,0.944351
2,lt,up,0,0,2.4,300,400,0,1,1.10311
2,lt,down,0,0,2.4,300,400,0,1,0.940503
2,lt,central,0,0,2.4,400,500,0,1,1.04371
2,lt,up_jes,0,0,2.4,400,500,0,1,1.10591
2,lt,up_ntracks,0,0,2.4,400,500,0,1,1.04735
2,lt,up_bfragmentation,0,0,2.4,400,500,0,1,1.04198
2,lt,up_cfragmentation,0,0,2.4,400,500,0,1,1.04523
2,lt,up_dmux,0,0,2.4,400,500,0,1,1.0437
2,lt,up_ksl,0,0,2.4,400,500,0,1,1.0423
2,lt,down_jes,0,0,2.4,400,500,0,1,1.04371
2,lt,down_ntracks,0,0,2.4,400,500,0,1,1.05264
2,lt,down_bfragmentation,0,0,2.4,400,500,0,1,1.04371
2,lt,down_cfragmentation,0,0,2.4,400,500,0,1,1.04371
2,lt,down_dmux,0,0,2.4,400,500,0,1,1.04371
2,lt,down_ksl,0,0,2.4,400,500,0,1,1.05118
2,lt,up_statistic,0,0,2.4,400,500,0,1,1.06797
2,lt,down_statistic,0,0,2.4,400,500,0,1,1.01945
2,lt,up_normalization,0,0,2.4,400,500,0,1,1.0819
2,lt,down_normalization,0,0,2.4,400,500,0,1,1.00552
2,lt,up,0,0,2.4,400,500,0,1,1.13017
2,lt,down,0,0,2.4,400,500,0,1,0.997879
