CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,30,50,0,1,0.962985
1,lt,up_ntrk,0,0,2.4,30,50,0,1,0.959207
1,lt,up_njet,0,0,2.4,30,50,0,1,0.961199
1,lt,up_mupt,0,0,2.4,30,50,0,1,0.963789
1,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.967142
1,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.962795
1,lt,up_dmux,0,0,2.4,30,50,0,1,0.962985
1,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.962985
1,lt,up_ksl,0,0,2.4,30,50,0,1,0.962978
1,lt,up_jes,0,0,2.4,30,50,0,1,0.965864
1,lt,down_ntrk,0,0,2.4,30,50,0,1,0.962985
1,lt,down_njet,0,0,2.4,30,50,0,1,0.962985
1,lt,down_mupt,0,0,2.4,30,50,0,1,0.962985
1,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.958152
1,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.961466
1,lt,down_dmux,0,0,2.4,30,50,0,1,0.959067
1,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.954864
1,lt,down_ksl,0,0,2.4,30,50,0,1,0.962985
1,lt,down_jes,0,0,2.4,30,50,0,1,0.962276
1,lt,up_statistic,0,0,2.4,30,50,0,1,0.96906
1,lt,down_statistic,0,0,2.4,30,50,0,1,0.95691
1,lt,up_cb,0,0,2.4,30,50,0,1,0.995619
1,lt,down_cb,0,0,2.4,30,50,0,1,0.930351
1,lt,up_add,0,0,2.4,30,50,0,1,0.983456
1,lt,down_add,0,0,2.4,30,50,0,1,0.942514
1,lt,up,0,0,2.4,30,50,0,1,1.00232
1,lt,down,0,0,2.4,30,50,0,1,0.922415
1,lt,central,0,0,2.4,50,70,0,1,0.960306
1,lt,up_ntrk,0,0,2.4,50,70,0,1,0.968905
1,lt,up_njet,0,0,2.4,50,70,0,1,0.958324
1,lt,up_mupt,0,0,2.4,50,70,0,1,0.960613
1,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.967182
1,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.958086
1,lt,up_dmux,0,0,2.4,50,70,0,1,0.960306
1,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.960306
1,lt,up_ksl,0,0,2.4,50,70,0,1,0.960292
1,lt,up_jes,0,0,2.4,50,70,0,1,0.958121
1,lt,down_ntrk,0,0,2.4,50,70,0,1,0.960306
1,lt,down_njet,0,0,2.4,50,70,0,1,0.960306
1,lt,down_mupt,0,0,2.4,50,70,0,1,0.960306
1,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.952267
1,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.962605
1,lt,down_dmux,0,0,2.4,50,70,0,1,0.960357
