CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,30,50,0,1,0.936254
1,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.938194
1,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.936288
1,lt,up_dmux,0,0,2.4,30,50,0,1,0.936254
1,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.936254
1,lt,up_ksl,0,0,2.4,30,50,0,1,0.936233
1,lt,up_jes,0,0,2.4,30,50,0,1,0.940984
1,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.934063
1,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.930838
1,lt,down_dmux,0,0,2.4,30,50,0,1,0.936624
1,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.934641
1,lt,down_ksl,0,0,2.4,30,50,0,1,0.936254
1,lt,down_jes,0,0,2.4,30,50,0,1,0.933968
1,lt,up_statistic,0,0,2.4,30,50,0,1,0.941308
1,lt,down_statistic,0,0,2.4,30,50,0,1,0.9312
1,lt,up_cb,0,0,2.4,30,50,0,1,0.936254
1,lt,down_cb,0,0,2.4,30,50,0,1,0.936254
1,lt,up_add,0,0,2.4,30,50,0,1,0.954867
1,lt,down_add,0,0,2.4,30,50,0,1,0.917641
1,lt,up,0,0,2.4,30,50,0,1,0.956211
1,lt,down,0,0,2.4,30,50,0,1,0.915908
1,lt,central,0,0,2.4,50,70,0,1,0.961808
1,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.964959
1,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.959945
1,lt,up_dmux,0,0,2.4,50,70,0,1,0.961809
1,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.961809
1,lt,up_ksl,0,0,2.4,50,70,0,1,0.961747
1,lt,up_jes,0,0,2.4,50,70,0,1,0.964137
1,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.958199
1,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.963274
1,lt,down_dmux,0,0,2.4,50,70,0,1,0.964925
1,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.966912
1,lt,down_ksl,0,0,2.4,50,70,0,1,0.961809
1,lt,down_jes,0,0,2.4,50,70,0,1,0.956725
1,lt,up_statistic,0,0,2.4,50,70,0,1,0.966286
1,lt,down_statistic,0,0,2.4,50,70,0,1,0.957331
1,lt,up_cb,0,0,2.4,50,70,0,1,0.961808
1,lt,down_cb,0,0,2.4,50,70,0,1,0.961808
1,lt,up_add,0,0,2.4,50,70,0,1,0.982625
1,lt,down_add,0,0,2.4,50,70,0,1,0.940991
1,lt,up,0,0,2.4,50,70,0,1,0.984317
1,lt,down,0,0,2.4,50,70,0,1,0.939543
1,lt,central,0,0,2.4,70,100,0,1,0.991865
1,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.9921
1,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.99632
1,lt,up_dmux,0,0,2.4,70,100,0,1,0.991866
1,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.991866
1,lt,up_ksl,0,0,2.4,70,100,0,1,0.991834
1,lt,up_jes,0,0,2.4,70,100,0,1,0.99249
1,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.99178
1,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.986541
1,lt,down_dmux,0,0,2.4,70,100,0,1,0.996146
1,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.999449
1,lt,down_ksl,0,0,2.4,70,100,0,1,0.991866
1,lt,down_jes,0,0,2.4,70,100,0,1,0.990602
1,lt,up_statistic,0,0,2.4,70,100,0,1,0.996209
1,lt,down_statistic,0,0,2.4,70,100,0,1,0.987521
1,lt,up_cb,0,0,2.4,70,100,0,1,0.991865
1,lt,down_cb,0,0,2.4,70,100,0,1,0.991865
1,lt,up_add,0,0,2.4,70,100,0,1,1.01287
1,lt,down_add,0,0,2.4,70,100,0,1,0.970858
1,lt,up,0,0,2.4,70,100,0,1,1.01545
1,lt,down,0,0,2.4,70,100,0,1,0.969726
1,lt,central,0,0,2.4,100,140,0,1,0.99356
1,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,0.994749
1,lt,up_bfragmentation,0,0,2.4,100,140,0,1,1.00085
1,lt,up_dmux,0,0,2.4,100,140,0,1,0.99356
1,lt,up_cfragmentation,0,0,2.4,100,140,0,1,0.99356
1,lt,up_ksl,0,0,2.4,100,140,0,1,0.993461
1,lt,up_jes,0,0,2.4,100,140,0,1,0.994199
1,lt,down_gluonsplitting,0,0,2.4,100,140,0,1,0.992323
1,lt,down_bfragmentation,0,0,2.4,100,140,0,1,0.986346
1,lt,down_dmux,0,0,2.4,100,140,0,1,0.995415
1,lt,down_cfragmentation,0,0,2.4,100,140,0,1,0.997043
1,lt,down_ksl,0,0,2.4,100,140,0,1,0.99356
