CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20,30,0,1,0.866607
2,lt,up_gluonsplitting,0,0,2.4,20,30,0,1,0.866253
2,lt,up_bfragmentation,0,0,2.4,20,30,0,1,0.872094
2,lt,up_dmux,0,0,2.4,20,30,0,1,0.866607
2,lt,up_cfragmentation,0,0,2.4,20,30,0,1,0.866607
2,lt,up_ksl,0,0,2.4,20,30,0,1,0.866688
2,lt,up_jes,0,0,2.4,20,30,0,1,0.86847
2,lt,down_gluonsplitting,0,0,2.4,20,30,0,1,0.866869
2,lt,down_bfragmentation,0,0,2.4,20,30,0,1,0.856964
2,lt,down_dmux,0,0,2.4,20,30,0,1,0.869694
2,lt,down_cfragmentation,0,0,2.4,20,30,0,1,0.866607
2,lt,down_ksl,0,0,2.4,20,30,0,1,0.866607
2,lt,down_jes,0,0,2.4,20,30,0,1,0.867786
2,lt,up_statistic,0,0,2.4,20,30,0,1,0.878221
2,lt,down_statistic,0,0,2.4,20,30,0,1,0.854993
2,lt,up_cb,0,0,2.4,20,30,0,1,0.910052
2,lt,down_cb,0,0,2.4,20,30,0,1,0.823162
2,lt,up_add,0,0,2.4,20,30,0,1,0.915171
2,lt,down_add,0,0,2.4,20,30,0,1,0.818043
2,lt,up,0,0,2.4,20,30,0,1,0.933131
2,lt,down,0,0,2.4,20,30,0,1,0.799719
2,lt,central,0,0,2.4,30,50,0,1,0.956576
2,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.955527
2,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.960892
2,lt,up_dmux,0,0,2.4,30,50,0,1,0.956576
2,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.956576
2,lt,up_ksl,0,0,2.4,30,50,0,1,0.956554
2,lt,up_jes,0,0,2.4,30,50,0,1,0.958217
2,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.957739
2,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.946267
2,lt,down_dmux,0,0,2.4,30,50,0,1,0.960623
2,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.956576
2,lt,down_ksl,0,0,2.4,30,50,0,1,0.956576
2,lt,down_jes,0,0,2.4,30,50,0,1,0.954943
2,lt,up_statistic,0,0,2.4,30,50,0,1,0.961
2,lt,down_statistic,0,0,2.4,30,50,0,1,0.952152
2,lt,up_cb,0,0,2.4,30,50,0,1,0.97501
2,lt,down_cb,0,0,2.4,30,50,0,1,0.938142
2,lt,up_add,0,0,2.4,30,50,0,1,0.997495
2,lt,down_add,0,0,2.4,30,50,0,1,0.915657
2,lt,up,0,0,2.4,30,50,0,1,1.0021
2,lt,down,0,0,2.4,30,50,0,1,0.910275
2,lt,central,0,0,2.4,50,70,0,1,0.962596
2,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,0.961269
2,lt,up_bfragmentation,0,0,2.4,50,70,0,1,0.962001
2,lt,up_dmux,0,0,2.4,50,70,0,1,0.962596
2,lt,up_cfragmentation,0,0,2.4,50,70,0,1,0.962596
2,lt,up_ksl,0,0,2.4,50,70,0,1,0.962576
2,lt,up_jes,0,0,2.4,50,70,0,1,0.968807
2,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,0.964279
2,lt,down_bfragmentation,0,0,2.4,50,70,0,1,0.961957
2,lt,down_dmux,0,0,2.4,50,70,0,1,0.967361
2,lt,down_cfragmentation,0,0,2.4,50,70,0,1,0.962596
2,lt,down_ksl,0,0,2.4,50,70,0,1,0.962596
2,lt,down_jes,0,0,2.4,50,70,0,1,0.946186
2,lt,up_statistic,0,0,2.4,50,70,0,1,0.968539
2,lt,down_statistic,0,0,2.4,50,70,0,1,0.956653
2,lt,up_cb,0,0,2.4,50,70,0,1,0.970726
2,lt,down_cb,0,0,2.4,50,70,0,1,0.954466
2,lt,up_add,0,0,2.4,50,70,0,1,0.987484
2,lt,down_add,0,0,2.4,50,70,0,1,0.937708
2,lt,up,0,0,2.4,50,70,0,1,0.990613
2,lt,down,0,0,2.4,50,70,0,1,0.93109
2,lt,central,0,0,2.4,70,100,0,1,0.971392
2,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,0.969128
2,lt,up_bfragmentation,0,0,2.4,70,100,0,1,0.977147
2,lt,up_dmux,0,0,2.4,70,100,0,1,0.971392
2,lt,up_cfragmentation,0,0,2.4,70,100,0,1,0.971392
2,lt,up_ksl,0,0,2.4,70,100,0,1,0.971317
2,lt,up_jes,0,0,2.4,70,100,0,1,0.976068
2,lt,down_gluonsplitting,0,0,2.4,70,100,0,1,0.974709
2,lt,down_bfragmentation,0,0,2.4,70,100,0,1,0.963824
2,lt,down_dmux,0,0,2.4,70,100,0,1,0.977815
2,lt,down_cfragmentation,0,0,2.4,70,100,0,1,0.971392
2,lt,down_ksl,0,0,2.4,70,100,0,1,0.971392
2,lt,down_jes,0,0,2.4,70,100,0,1,0.966815
2,lt,up_statistic,0,0,2.4,70,100,0,1,0.977165
2,lt,down_statistic,0,0,2.4,70,100,0,1,0.965619
2,lt,up_cb,0,0,2.4,70,100,0,1,0.976999
2,lt,down_cb,0,0,2.4,70,100,0,1,0.965785
2,lt,up_add,0,0,2.4,70,100,0,1,0.981867
2,lt,down_add,0,0,2.4,70,100,0,1,0.960917
2,lt,up,0,0,2.4,70,100,0,1,0.988177
2,lt,down,0,0,2.4,70,100,0,1,0.955334
2,lt,central,0,0,2.4,100,140,0,1,0.974732
2,lt,up_gluonsplitting,0,0,2.4,100,140,0,1,0.972514
2,lt,up_bfragmentation,0,0,2.4,100,140,0,1,0.988066
2,lt,up_dmux,0,0,2.4,100,140,0,1,0.974732
2,lt,up_cfragmentation,0,0,2.4,100,140,0,1,0.974732
2,lt,up_ksl,0,0,2.4,100,140,0,1,0.974626
2,lt,up_jes,0,0,2.4,100,140,0,1,0.978104
2,lt,down_gluonsplitting,0,0,2.4,100,140,0,1,0.97826
2,lt,down_bfragmentation,0,0,2.4,100,140,0,1,0.961133
2,lt,down_dmux,0,0,2.4,100,140,0,1,0.979332
2,lt,down_cfragmentation,0,0,2.4,100,140,0,1,0.974732
2,lt,down_ksl,0,0,2.4,100,140,0,1,0.974732
2,lt,down_jes,0,0,2.4,100,140,0,1,0.971479
2,lt,up_statistic,0,0,2.4,100,140,0,1,0.981076
2,lt,down_statistic,0,0,2.4,100,140,0,1,0.968388
2,lt,up_cb,0,0,2.4,100,140,0,1,0.979855
2,lt,down_cb,0,0,2.4,100,140,0,1,0.969609
2,lt,up_add,0,0,2.4,100,140,0,1,0.989132
2,lt,down_add,0,0,2.4,100,140,0,1,0.960332
2,lt,up,0,0,2.4,100,140,0,1,0.997017
2,lt,down,0,0,2.4,100,140,0,1,0.952954
2,lt,central,0,0,2.4,140,200,0,1,0.989063
2,lt,up_gluonsplitting,0,0,2.4,140,200,0,1,0.988511
2,lt,up_bfragmentation,0,0,2.4,140,200,0,1,1.00543
2,lt,up_dmux,0,0,2.4,140,200,0,1,0.989063
2,lt,up_cfragmentation,0,0,2.4,140,200,0,1,0.989063
2,lt,up_ksl,0,0,2.4,140,200,0,1,0.988935
2,lt,up_jes,0,0,2.4,140,200,0,1,0.991171
2,lt,down_gluonsplitting,0,0,2.4,140,200,0,1,0.990612
2,lt,down_bfragmentation,0,0,2.4,140,200,0,1,0.975701
2,lt,down_dmux,0,0,2.4,140,200,0,1,0.992672
2,lt,down_cfragmentation,0,0,2.4,140,200,0,1,0.989063
2,lt,down_ksl,0,0,2.4,140,200,0,1,0.989063
2,lt,down_jes,0,0,2.4,140,200,0,1,0.988604
2,lt,up_statistic,0,0,2.4,140,200,0,1,0.993858
2,lt,down_statistic,0,0,2.4,140,200,0,1,0.984268
2,lt,up_cb,0,0,2.4,140,200,0,1,0.993435
2,lt,down_cb,0,0,2.4,140,200,0,1,0.984691
2,lt,up_add,0,0,2.4,140,200,0,1,1.00365
2,lt,down_add,0,0,2.4,140,200,0,1,0.974476
2,lt,up,0,0,2.4,140,200,0,1,1.01236
2,lt,down,0,0,2.4,140,200,0,1,0.968231
2,lt,central,0,0,2.4,200,300,0,1,0.993658
2,lt,up_gluonsplitting,0,0,2.4,200,300,0,1,0.992961
2,lt,up_bfragmentation,0,0,2.4,200,300,0,1,1.01093
2,lt,up_dmux,0,0,2.4,200,300,0,1,0.993658
2,lt,up_cfragmentation,0,0,2.4,200,300,0,1,0.993658
2,lt,up_ksl,0,0,2.4,200,300,0,1,0.993468
2,lt,up_jes,0,0,2.4,200,300,0,1,0.992258
2,lt,down_gluonsplitting,0,0,2.4,200,300,0,1,0.994953
2,lt,down_bfragmentation,0,0,2.4,200,300,0,1,0.981895
2,lt,down_dmux,0,0,2.4,200,300,0,1,0.998729
2,lt,down_cfragmentation,0,0,2.4,200,300,0,1,0.993658
2,lt,down_ksl,0,0,2.4,200,300,0,1,0.993658
2,lt,down_jes,0,0,2.4,200,300,0,1,0.994343
2,lt,up_statistic,0,0,2.4,200,300,0,1,1.00006
2,lt,down_statistic,0,0,2.4,200,300,0,1,0.987252
2,lt,up_cb,0,0,2.4,200,300,0,1,0.997164
2,lt,down_cb,0,0,2.4,200,300,0,1,0.990152
2,lt,up_add,0,0,2.4,200,300,0,1,1.03055
2,lt,down_add,0,0,2.4,200,300,0,1,0.956767
2,lt,up,0,0,2.4,200,300,0,1,1.03538
2,lt,down,0,0,2.4,200,300,0,1,0.954223
2,lt,central,0,0,2.4,300,600,0,1,1.00452
2,lt,up_gluonsplitting,0,0,2.4,300,600,0,1,1.00889
2,lt,up_bfragmentation,0,0,2.4,300,600,0,1,1.02411
2,lt,up_dmux,0,0,2.4,300,600,0,1,1.00454
2,lt,up_cfragmentation,0,0,2.4,300,600,0,1,1.00454
2,lt,up_ksl,0,0,2.4,300,600,0,1,1.00433
2,lt,up_jes,0,0,2.4,300,600,0,1,1.00484
2,lt,down_gluonsplitting,0,0,2.4,300,600,0,1,0.99874
2,lt,down_bfragmentation,0,0,2.4,300,600,0,1,0.994995
2,lt,down_dmux,0,0,2.4,300,600,0,1,1.00898
2,lt,down_cfragmentation,0,0,2.4,300,600,0,1,1.00454
2,lt,down_ksl,0,0,2.4,300,600,0,1,1.00454
2,lt,down_jes,0,0,2.4,300,600,0,1,1.0063
2,lt,up_statistic,0,0,2.4,300,600,0,1,1.01402
2,lt,down_statistic,0,0,2.4,300,600,0,1,0.995023
