CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20,30,0,1,0.992305
1,lt,up_gluonsplitting,0,0,2.4,20,30,0,1,0.993514
1,lt,up_bfragmentation,0,0,2.4,20,30,0,1,0.99318
1,lt,up_dmux,0,0,2.4,20,30,0,1,0.992305
1,lt,up_cfragmentation,0,0,2.4,20,30,0,1,0.992305
1,lt,up_ksl,0,0,2.4,20,30,0,1,0.992564
1,lt,up_jes,0,0,2.4,20,30,0,1,0.987337
1,lt,down_gluonsplitting,0,0,2.4,20,30,0,1,0.990653
1,lt,down_bfragmentation,0,0,2.4,20,30,0,1,0.988585
1,lt,down_dmux,0,0,2.4,20,30,0,1,0.992522
1,lt,down_cfragmentation,0,0,2.4,20,30,0,1,1.00185
1,lt,down_ksl,0,0,2.4,20,30,0,1,0.992305
1,lt,down_jes,0,0,2.4,20,30,0,1,0.992785
1,lt,up_statistic,0,0,2.4,20,30,0,1,0.996655
1,lt,down_statistic,0,0,2.4,20,30,0,1,0.987955
1,lt,up_cb,0,0,2.4,20,30,0,1,1.03739
1,lt,down_cb,0,0,2.4,20,30,0,1,0.947224
1,lt,up_add,0,0,2.4,20,30,0,1,1.06202
1,lt,down_add,0,0,2.4,20,30,0,1,0.922587
1,lt,up,0,0,2.4,20,30,0,1,1.076
1,lt,down,0,0,2.4,20,30,0,1,0.90892
1,lt,central,0,0,2.4,30,50,0,1,1.0159
1,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,1.01862
1,lt,up_bfragmentation,0,0,2.4,30,50,0,1,1.01627
1,lt,up_dmux,0,0,2.4,30,50,0,1,1.0159
1,lt,up_cfragmentation,0,0,2.4,30,50,0,1,1.0159
1,lt,up_ksl,0,0,2.4,30,50,0,1,1.01584
1,lt,up_jes,0,0,2.4,30,50,0,1,1.01396
1,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,1.01286
1,lt,down_bfragmentation,0,0,2.4,30,50,0,1,1.01551
1,lt,down_dmux,0,0,2.4,30,50,0,1,1.01599
1,lt,down_cfragmentation,0,0,2.4,30,50,0,1,1.01627
1,lt,down_ksl,0,0,2.4,30,50,0,1,1.0159
1,lt,down_jes,0,0,2.4,30,50,0,1,1.01757
1,lt,up_statistic,0,0,2.4,30,50,0,1,1.01846
1,lt,down_statistic,0,0,2.4,30,50,0,1,1.01334
1,lt,up_cb,0,0,2.4,30,50,0,1,1.03424
1,lt,down_cb,0,0,2.4,30,50,0,1,0.997559
1,lt,up_add,0,0,2.4,30,50,0,1,1.09622
1,lt,down_add,0,0,2.4,30,50,0,1,0.935585
1,lt,up,0,0,2.4,30,50,0,1,1.09839
1,lt,down,0,0,2.4,30,50,0,1,0.933397
1,lt,central,0,0,2.4,50,70,0,1,1.03934
1,lt,up_gluonsplitting,0,0,2.4,50,70,0,1,1.04089
1,lt,up_bfragmentation,0,0,2.4,50,70,0,1,1.04031
1,lt,up_dmux,0,0,2.4,50,70,0,1,1.03934
1,lt,up_cfragmentation,0,0,2.4,50,70,0,1,1.03934
1,lt,up_ksl,0,0,2.4,50,70,0,1,1.03919
1,lt,up_jes,0,0,2.4,50,70,0,1,1.04
1,lt,down_gluonsplitting,0,0,2.4,50,70,0,1,1.03762
1,lt,down_bfragmentation,0,0,2.4,50,70,0,1,1.03853
1,lt,down_dmux,0,0,2.4,50,70,0,1,1.04083
1,lt,down_cfragmentation,0,0,2.4,50,70,0,1,1.04469
1,lt,down_ksl,0,0,2.4,50,70,0,1,1.03934
1,lt,down_jes,0,0,2.4,50,70,0,1,1.03812
1,lt,up_statistic,0,0,2.4,50,70,0,1,1.04265
1,lt,down_statistic,0,0,2.4,50,70,0,1,1.03604
1,lt,up_cb,0,0,2.4,50,70,0,1,1.04755
1,lt,down_cb,0,0,2.4,50,70,0,1,1.03113
1,lt,up_add,0,0,2.4,50,70,0,1,1.09275
1,lt,down_add,0,0,2.4,50,70,0,1,0.985936
1,lt,up,0,0,2.4,50,70,0,1,1.09379
1,lt,down,0,0,2.4,50,70,0,1,0.985161
1,lt,central,0,0,2.4,70,100,0,1,1.01002
1,lt,up_gluonsplitting,0,0,2.4,70,100,0,1,1.01191
1,lt,up_bfragmentation,0,0,2.4,70,100,0,1,1.01237
