CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20,30,0,1,0.989634
2,lt,up_gluonsplitting,0,0,2.4,20,30,0,1,0.991203
2,lt,up_bfragmentation,0,0,2.4,20,30,0,1,0.992356
2,lt,up_dmux,0,0,2.4,20,30,0,1,0.989634
2,lt,up_cfragmentation,0,0,2.4,20,30,0,1,0.989634
2,lt,up_ksl,0,0,2.4,20,30,0,1,0.989892
2,lt,up_jes,0,0,2.4,20,30,0,1,0.9858
2,lt,down_gluonsplitting,0,0,2.4,20,30,0,1,0.9878
2,lt,down_bfragmentation,0,0,2.4,20,30,0,1,0.985112
2,lt,down_dmux,0,0,2.4,20,30,0,1,0.988491
2,lt,down_cfragmentation,0,0,2.4,20,30,0,1,0.990517
2,lt,down_ksl,0,0,2.4,20,30,0,1,0.989634
2,lt,down_jes,0,0,2.4,20,30,0,1,0.988849
2,lt,up_statistic,0,0,2.4,20,30,0,1,0.997009
2,lt,down_statistic,0,0,2.4,20,30,0,1,0.982259
2,lt,up_cb,0,0,2.4,20,30,0,1,1.03925
2,lt,down_cb,0,0,2.4,20,30,0,1,0.940021
2,lt,up_add,0,0,2.4,20,30,0,1,1.04149
2,lt,down_add,0,0,2.4,20,30,0,1,0.937774
2,lt,up,0,0,2.4,20,30,0,1,1.06186
2,lt,down,0,0,2.4,20,30,0,1,0.917206
2,lt,central,0,0,2.4,30,50,0,1,0.984476
2,lt,up_gluonsplitting,0,0,2.4,30,50,0,1,0.985384
2,lt,up_bfragmentation,0,0,2.4,30,50,0,1,0.984729
2,lt,up_dmux,0,0,2.4,30,50,0,1,0.984476
2,lt,up_cfragmentation,0,0,2.4,30,50,0,1,0.984476
2,lt,up_ksl,0,0,2.4,30,50,0,1,0.984418
2,lt,up_jes,0,0,2.4,30,50,0,1,0.983541
2,lt,down_gluonsplitting,0,0,2.4,30,50,0,1,0.983712
2,lt,down_bfragmentation,0,0,2.4,30,50,0,1,0.981744
2,lt,down_dmux,0,0,2.4,30,50,0,1,0.986097
2,lt,down_cfragmentation,0,0,2.4,30,50,0,1,0.986284
2,lt,down_ksl,0,0,2.4,30,50,0,1,0.984476
2,lt,down_jes,0,0,2.4,30,50,0,1,0.98616
2,lt,up_statistic,0,0,2.4,30,50,0,1,0.987434
