CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20,30,0,1,0.758263
2,lt,up_statistic,0,0,2.4,20,30,0,1,0.793022
2,lt,down_statistic,0,0,2.4,20,30,0,1,0.723504
2,lt,up_cb,0,0,2.4,20,30,0,1,0.758263
2,lt,down_cb,0,0,2.4,20,30,0,1,0.758263
2,lt,up_add,0,0,2.4,20,30,0,1,0.758263
2,lt,down_add,0,0,2.4,20,30,0,1,0.758263
2,lt,up,0,0,2.4,20,30,0,1,0.793022
2,lt,down,0,0,2.4,20,30,0,1,0.723504
2,lt,central,0,0,2.4,30,50,0,1,0.843297
2,lt,up_statistic,0,0,2.4,30,50,0,1,0.851528
2,lt,down_statistic,0,0,2.4,30,50,0,1,0.835066
2,lt,up_cb,0,0,2.4,30,50,0,1,0.843297
2,lt,down_cb,0,0,2.4,30,50,0,1,0.843297
2,lt,up_add,0,0,2.4,30,50,0,1,0.843297
2,lt,down_add,0,0,2.4,30,50,0,1,0.843297
2,lt,up,0,0,2.4,30,50,0,1,0.851528
2,lt,down,0,0,2.4,30,50,0,1,0.835066
2,lt,central,0,0,2.4,50,70,0,1,0.899113
2,lt,up_statistic,0,0,2.4,50,70,0,1,0.905962
2,lt,down_statistic,0,0,2.4,50,70,0,1,0.892264
2,lt,up_cb,0,0,2.4,50,70,0,1,0.899113
2,lt,down_cb,0,0,2.4,50,70,0,1,0.899113
2,lt,up_add,0,0,2.4,50,70,0,1,0.899113
2,lt,down_add,0,0,2.4,50,70,0,1,0.899113
2,lt,up,0,0,2.4,50,70,0,1,0.905962
2,lt,down,0,0,2.4,50,70,0,1,0.892264
2,lt,central,0,0,2.4,70,100,0,1,0.929695
2,lt,up_statistic,0,0,2.4,70,100,0,1,0.936256
2,lt,down_statistic,0,0,2.4,70,100,0,1,0.923134
2,lt,up_cb,0,0,2.4,70,100,0,1,0.929695
2,lt,down_cb,0,0,2.4,70,100,0,1,0.929695
2,lt,up_add,0,0,2.4,70,100,0,1,0.929695
2,lt,down_add,0,0,2.4,70,100,0,1,0.929695
2,lt,up,0,0,2.4,70,100,0,1,0.936256
2,lt,down,0,0,2.4,70,100,0,1,0.923134
2,lt,central,0,0,2.4,100,140,0,1,0.947156
2,lt,up_statistic,0,0,2.4,100,140,0,1,0.954112
2,lt,down_statistic,0,0,2.4,100,140,0,1,0.9402
2,lt,up_cb,0,0,2.4,100,140,0,1,0.947156
2,lt,down_cb,0,0,2.4,100,140,0,1,0.947156
2,lt,up_add,0,0,2.4,100,140,0,1,0.947156
2,lt,down_add,0,0,2.4,100,140,0,1,0.947156
2,lt,up,0,0,2.4,100,140,0,1,0.954112
2,lt,down,0,0,2.4,100,140,0,1,0.9402
2,lt,central,0,0,2.4,140,200,0,1,0.97416
2,lt,up_statistic,0,0,2.4,140,200,0,1,0.978837
2,lt,down_statistic,0,0,2.4,140,200,0,1,0.969483
2,lt,up_cb,0,0,2.4,140,200,0,1,0.97416
2,lt,down_cb,0,0,2.4,140,200,0,1,0.97416
2,lt,up_add,0,0,2.4,140,200,0,1,0.97416
2,lt,down_add,0,0,2.4,140,200,0,1,0.97416
2,lt,up,0,0,2.4,140,200,0,1,0.978837
2,lt,down,0,0,2.4,140,200,0,1,0.969483
2,lt,central,0,0,2.4,200,300,0,1,0.98827
2,lt,up_statistic,0,0,2.4,200,300,0,1,0.993922
2,lt,down_statistic,0,0,2.4,200,300,0,1,0.982618
2,lt,up_cb,0,0,2.4,200,300,0,1,0.98827
2,lt,down_cb,0,0,2.4,200,300,0,1,0.98827
2,lt,up_add,0,0,2.4,200,300,0,1,0.98827
2,lt,down_add,0,0,2.4,200,300,0,1,0.98827
2,lt,up,0,0,2.4,200,300,0,1,0.993922
2,lt,down,0,0,2.4,200,300,0,1,0.982618
2,lt,central,0,0,2.4,300,600,0,1,1.01825
2,lt,up_statistic,0,0,2.4,300,600,0,1,1.02539
2,lt,down_statistic,0,0,2.4,300,600,0,1,1.01111
2,lt,up_cb,0,0,2.4,300,600,0,1,1.01825
2,lt,down_cb,0,0,2.4,300,600,0,1,1.01825
2,lt,up_add,0,0,2.4,300,600,0,1,1.01825
2,lt,down_add,0,0,2.4,300,600,0,1,1.01825
2,lt,up,0,0,2.4,300,600,0,1,1.02539
2,lt,down,0,0,2.4,300,600,0,1,1.01111
2,lt,central,0,0,2.4,600,1000,0,1,0.97449
2,lt,up_statistic,0,0,2.4,600,1000,0,1,0.987982
2,lt,down_statistic,0,0,2.4,600,1000,0,1,0.960998
2,lt,up_cb,0,0,2.4,600,1000,0,1,0.97449
2,lt,down_cb,0,0,2.4,600,1000,0,1,0.97449
2,lt,up_add,0,0,2.4,600,1000,0,1,0.97449
2,lt,down_add,0,0,2.4,600,1000,0,1,0.97449
2,lt,up,0,0,2.4,600,1000,0,1,0.987982
2,lt,down,0,0,2.4,600,1000,0,1,0.960998
