CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20,30,0,1,0.971358
1,lt,up_statistic,0,0,2.4,20,30,0,1,0.977306
1,lt,down_statistic,0,0,2.4,20,30,0,1,0.96541
1,lt,up_cb,0,0,2.4,20,30,0,1,0.971358
1,lt,down_cb,0,0,2.4,20,30,0,1,0.971358
1,lt,up_add,0,0,2.4,20,30,0,1,0.971358
1,lt,down_add,0,0,2.4,20,30,0,1,0.971358
1,lt,up,0,0,2.4,20,30,0,1,0.977306
1,lt,down,0,0,2.4,20,30,0,1,0.96541
1,lt,central,0,0,2.4,30,50,0,1,0.969303
1,lt,up_statistic,0,0,2.4,30,50,0,1,0.971648
1,lt,down_statistic,0,0,2.4,30,50,0,1,0.966958
1,lt,up_cb,0,0,2.4,30,50,0,1,0.969303
1,lt,down_cb,0,0,2.4,30,50,0,1,0.969303
1,lt,up_add,0,0,2.4,30,50,0,1,0.969303
1,lt,down_add,0,0,2.4,30,50,0,1,0.969303
1,lt,up,0,0,2.4,30,50,0,1,0.971648
1,lt,down,0,0,2.4,30,50,0,1,0.966958
1,lt,central,0,0,2.4,50,70,0,1,0.976224
1,lt,up_statistic,0,0,2.4,50,70,0,1,0.97918
1,lt,down_statistic,0,0,2.4,50,70,0,1,0.973268
1,lt,up_cb,0,0,2.4,50,70,0,1,0.976224
1,lt,down_cb,0,0,2.4,50,70,0,1,0.976224
1,lt,up_add,0,0,2.4,50,70,0,1,0.976224
1,lt,down_add,0,0,2.4,50,70,0,1,0.976224
1,lt,up,0,0,2.4,50,70,0,1,0.97918
1,lt,down,0,0,2.4,50,70,0,1,0.973268
1,lt,central,0,0,2.4,70,100,0,1,0.975425
1,lt,up_statistic,0,0,2.4,70,100,0,1,0.978649
1,lt,down_statistic,0,0,2.4,70,100,0,1,0.972201
1,lt,up_cb,0,0,2.4,70,100,0,1,0.975425
1,lt,down_cb,0,0,2.4,70,100,0,1,0.975425
1,lt,up_add,0,0,2.4,70,100,0,1,0.975425
1,lt,down_add,0,0,2.4,70,100,0,1,0.975425
1,lt,up,0,0,2.4,70,100,0,1,0.978649
1,lt,down,0,0,2.4,70,100,0,1,0.972201
1,lt,central,0,0,2.4,100,140,0,1,0.976269
1,lt,up_statistic,0,0,2.4,100,140,0,1,0.98052
1,lt,down_statistic,0,0,2.4,100,140,0,1,0.972018
1,lt,up_cb,0,0,2.4,100,140,0,1,0.976269
1,lt,down_cb,0,0,2.4,100,140,0,1,0.976269
1,lt,up_add,0,0,2.4,100,140,0,1,0.976269
1,lt,down_add,0,0,2.4,100,140,0,1,0.976269
1,lt,up,0,0,2.4,100,140,0,1,0.98052
1,lt,down,0,0,2.4,100,140,0,1,0.972018
1,lt,central,0,0,2.4,140,200,0,1,0.98556
1,lt,up_statistic,0,0,2.4,140,200,0,1,0.988567
1,lt,down_statistic,0,0,2.4,140,200,0,1,0.982553
1,lt,up_cb,0,0,2.4,140,200,0,1,0.98556
1,lt,down_cb,0,0,2.4,140,200,0,1,0.98556
1,lt,up_add,0,0,2.4,140,200,0,1,0.98556
1,lt,down_add,0,0,2.4,140,200,0,1,0.98556
1,lt,up,0,0,2.4,140,200,0,1,0.988567
1,lt,down,0,0,2.4,140,200,0,1,0.982553
1,lt,central,0,0,2.4,200,300,0,1,1.00247
1,lt,up_statistic,0,0,2.4,200,300,0,1,1.0066
1,lt,down_statistic,0,0,2.4,200,300,0,1,0.998351
1,lt,up_cb,0,0,2.4,200,300,0,1,1.00247
1,lt,down_cb,0,0,2.4,200,300,0,1,1.00247
1,lt,up_add,0,0,2.4,200,300,0,1,1.00247
1,lt,down_add,0,0,2.4,200,300,0,1,1.00247
1,lt,up,0,0,2.4,200,300,0,1,1.0066
1,lt,down,0,0,2.4,200,300,0,1,0.998351
1,lt,central,0,0,2.4,300,600,0,1,1.02989
1,lt,up_statistic,0,0,2.4,300,600,0,1,1.03501
1,lt,down_statistic,0,0,2.4,300,600,0,1,1.02477
1,lt,up_cb,0,0,2.4,300,600,0,1,1.02989
1,lt,down_cb,0,0,2.4,300,600,0,1,1.02989
1,lt,up_add,0,0,2.4,300,600,0,1,1.02989
1,lt,down_add,0,0,2.4,300,600,0,1,1.02989
1,lt,up,0,0,2.4,300,600,0,1,1.03501
1,lt,down,0,0,2.4,300,600,0,1,1.02477
1,lt,central,0,0,2.4,600,1000,0,1,1.01633
1,lt,up_statistic,0,0,2.4,600,1000,0,1,1.02688
1,lt,down_statistic,0,0,2.4,600,1000,0,1,1.00577
1,lt,up_cb,0,0,2.4,600,1000,0,1,1.01633
1,lt,down_cb,0,0,2.4,600,1000,0,1,1.01633
1,lt,up_add,0,0,2.4,600,1000,0,1,1.01633
1,lt,down_add,0,0,2.4,600,1000,0,1,1.01633
1,lt,up,0,0,2.4,600,1000,0,1,1.02688
1,lt,down,0,0,2.4,600,1000,0,1,1.00577
