CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20,30,0,1,0.863253
2,lt,up_statistic,0,0,2.4,20,30,0,1,0.877387
2,lt,down_statistic,0,0,2.4,20,30,0,1,0.849119
2,lt,up_cb,0,0,2.4,20,30,0,1,0.863253
2,lt,down_cb,0,0,2.4,20,30,0,1,0.863253
2,lt,up_add,0,0,2.4,20,30,0,1,0.863253
2,lt,down_add,0,0,2.4,20,30,0,1,0.863253
2,lt,up,0,0,2.4,20,30,0,1,0.877387
2,lt,down,0,0,2.4,20,30,0,1,0.849119
2,lt,central,0,0,2.4,30,50,0,1,0.923379
2,lt,up_statistic,0,0,2.4,30,50,0,1,0.931024
2,lt,down_statistic,0,0,2.4,30,50,0,1,0.915734
2,lt,up_cb,0,0,2.4,30,50,0,1,0.923379
2,lt,down_cb,0,0,2.4,30,50,0,1,0.923379
2,lt,up_add,0,0,2.4,30,50,0,1,0.923379
2,lt,down_add,0,0,2.4,30,50,0,1,0.923379
2,lt,up,0,0,2.4,30,50,0,1,0.931024
2,lt,down,0,0,2.4,30,50,0,1,0.915734
2,lt,central,0,0,2.4,50,70,0,1,0.94427
2,lt,up_statistic,0,0,2.4,50,70,0,1,0.949935
2,lt,down_statistic,0,0,2.4,50,70,0,1,0.938605
2,lt,up_cb,0,0,2.4,50,70,0,1,0.94427
2,lt,down_cb,0,0,2.4,50,70,0,1,0.94427
2,lt,up_add,0,0,2.4,50,70,0,1,0.94427
2,lt,down_add,0,0,2.4,50,70,0,1,0.94427
2,lt,up,0,0,2.4,50,70,0,1,0.949935
2,lt,down,0,0,2.4,50,70,0,1,0.938605
2,lt,central,0,0,2.4,70,100,0,1,0.945748
2,lt,up_statistic,0,0,2.4,70,100,0,1,0.951527
2,lt,down_statistic,0,0,2.4,70,100,0,1,0.939969
2,lt,up_cb,0,0,2.4,70,100,0,1,0.945748
2,lt,down_cb,0,0,2.4,70,100,0,1,0.945748
2,lt,up_add,0,0,2.4,70,100,0,1,0.945748
2,lt,down_add,0,0,2.4,70,100,0,1,0.945748
2,lt,up,0,0,2.4,70,100,0,1,0.951527
2,lt,down,0,0,2.4,70,100,0,1,0.939969
2,lt,central,0,0,2.4,100,140,0,1,0.94893
2,lt,up_statistic,0,0,2.4,100,140,0,1,0.955544
2,lt,down_statistic,0,0,2.4,100,140,0,1,0.942316
2,lt,up_cb,0,0,2.4,100,140,0,1,0.94893
2,lt,down_cb,0,0,2.4,100,140,0,1,0.94893
2,lt,up_add,0,0,2.4,100,140,0,1,0.94893
2,lt,down_add,0,0,2.4,100,140,0,1,0.94893
2,lt,up,0,0,2.4,100,140,0,1,0.955544
2,lt,down,0,0,2.4,100,140,0,1,0.942316
2,lt,central,0,0,2.4,140,200,0,1,0.972232
2,lt,up_statistic,0,0,2.4,140,200,0,1,0.976773
2,lt,down_statistic,0,0,2.4,140,200,0,1,0.967691
2,lt,up_cb,0,0,2.4,140,200,0,1,0.972232
2,lt,down_cb,0,0,2.4,140,200,0,1,0.972232
2,lt,up_add,0,0,2.4,140,200,0,1,0.972232
2,lt,down_add,0,0,2.4,140,200,0,1,0.972232
2,lt,up,0,0,2.4,140,200,0,1,0.976773
2,lt,down,0,0,2.4,140,200,0,1,0.967691
2,lt,central,0,0,2.4,200,300,0,1,0.991644
2,lt,up_statistic,0,0,2.4,200,300,0,1,0.997572
2,lt,down_statistic,0,0,2.4,200,300,0,1,0.985716
2,lt,up_cb,0,0,2.4,200,300,0,1,0.991644
2,lt,down_cb,0,0,2.4,200,300,0,1,0.991644
2,lt,up_add,0,0,2.4,200,300,0,1,0.991644
2,lt,down_add,0,0,2.4,200,300,0,1,0.991644
2,lt,up,0,0,2.4,200,300,0,1,0.997572
2,lt,down,0,0,2.4,200,300,0,1,0.985716
2,lt,central,0,0,2.4,300,600,0,1,1.01872
2,lt,up_statistic,0,0,2.4,300,600,0,1,1.02703
2,lt,down_statistic,0,0,2.4,300,600,0,1,1.0104
2,lt,up_cb,0,0,2.4,300,600,0,1,1.01872
2,lt,down_cb,0,0,2.4,300,600,0,1,1.01872
2,lt,up_add,0,0,2.4,300,600,0,1,1.01872
2,lt,down_add,0,0,2.4,300,600,0,1,1.01872
2,lt,up,0,0,2.4,300,600,0,1,1.02703
2,lt,down,0,0,2.4,300,600,0,1,1.0104
2,lt,central,0,0,2.4,600,1000,0,1,0.985967
2,lt,up_statistic,0,0,2.4,600,1000,0,1,1.00009
2,lt,down_statistic,0,0,2.4,600,1000,0,1,0.971845
2,lt,up_cb,0,0,2.4,600,1000,0,1,0.985967
2,lt,down_cb,0,0,2.4,600,1000,0,1,0.985967
2,lt,up_add,0,0,2.4,600,1000,0,1,0.985967
2,lt,down_add,0,0,2.4,600,1000,0,1,0.985967
2,lt,up,0,0,2.4,600,1000,0,1,1.00009
2,lt,down,0,0,2.4,600,1000,0,1,0.971845
