CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20,30,0,1,0.946241
1,lt,up_statistic,0,0,2.4,20,30,0,1,0.958346
1,lt,down_statistic,0,0,2.4,20,30,0,1,0.934136
1,lt,up_cb,0,0,2.4,20,30,0,1,0.946241
1,lt,down_cb,0,0,2.4,20,30,0,1,0.946241
1,lt,up_add,0,0,2.4,20,30,0,1,0.946241
1,lt,down_add,0,0,2.4,20,30,0,1,0.946241
1,lt,up,0,0,2.4,20,30,0,1,0.958346
1,lt,down,0,0,2.4,20,30,0,1,0.934136
1,lt,central,0,0,2.4,30,50,0,1,0.967401
1,lt,up_statistic,0,0,2.4,30,50,0,1,0.970912
1,lt,down_statistic,0,0,2.4,30,50,0,1,0.96389
1,lt,up_cb,0,0,2.4,30,50,0,1,0.967401
1,lt,down_cb,0,0,2.4,30,50,0,1,0.967401
1,lt,up_add,0,0,2.4,30,50,0,1,0.967401
1,lt,down_add,0,0,2.4,30,50,0,1,0.967401
1,lt,up,0,0,2.4,30,50,0,1,0.970912
1,lt,down,0,0,2.4,30,50,0,1,0.96389
1,lt,central,0,0,2.4,50,70,0,1,0.988331
1,lt,up_statistic,0,0,2.4,50,70,0,1,0.992607
1,lt,down_statistic,0,0,2.4,50,70,0,1,0.984055
1,lt,up_cb,0,0,2.4,50,70,0,1,0.988331
1,lt,down_cb,0,0,2.4,50,70,0,1,0.988331
1,lt,up_add,0,0,2.4,50,70,0,1,0.988331
1,lt,down_add,0,0,2.4,50,70,0,1,0.988331
1,lt,up,0,0,2.4,50,70,0,1,0.992607
1,lt,down,0,0,2.4,50,70,0,1,0.984055
1,lt,central,0,0,2.4,70,100,0,1,0.998459
1,lt,up_statistic,0,0,2.4,70,100,0,1,1.00348
1,lt,down_statistic,0,0,2.4,70,100,0,1,0.993437
1,lt,up_cb,0,0,2.4,70,100,0,1,0.998459
1,lt,down_cb,0,0,2.4,70,100,0,1,0.998459
1,lt,up_add,0,0,2.4,70,100,0,1,0.998459
1,lt,down_add,0,0,2.4,70,100,0,1,0.998459
1,lt,up,0,0,2.4,70,100,0,1,1.00348
1,lt,down,0,0,2.4,70,100,0,1,0.993437
1,lt,central,0,0,2.4,100,140,0,1,1.01971
1,lt,up_statistic,0,0,2.4,100,140,0,1,1.02564
1,lt,down_statistic,0,0,2.4,100,140,0,1,1.01377
1,lt,up_cb,0,0,2.4,100,140,0,1,1.01971
1,lt,down_cb,0,0,2.4,100,140,0,1,1.01971
1,lt,up_add,0,0,2.4,100,140,0,1,1.01971
1,lt,down_add,0,0,2.4,100,140,0,1,1.01971
1,lt,up,0,0,2.4,100,140,0,1,1.02564
1,lt,down,0,0,2.4,100,140,0,1,1.01377
1,lt,central,0,0,2.4,140,200,0,1,1.01
1,lt,up_statistic,0,0,2.4,140,200,0,1,1.01522
1,lt,down_statistic,0,0,2.4,140,200,0,1,1.00479
1,lt,up_cb,0,0,2.4,140,200,0,1,1.01
1,lt,down_cb,0,0,2.4,140,200,0,1,1.01
1,lt,up_add,0,0,2.4,140,200,0,1,1.01
1,lt,down_add,0,0,2.4,140,200,0,1,1.01
1,lt,up,0,0,2.4,140,200,0,1,1.01522
1,lt,down,0,0,2.4,140,200,0,1,1.00479
1,lt,central,0,0,2.4,200,300,0,1,1.04926
1,lt,up_statistic,0,0,2.4,200,300,0,1,1.05971
1,lt,down_statistic,0,0,2.4,200,300,0,1,1.03882
1,lt,up_cb,0,0,2.4,200,300,0,1,1.04926
1,lt,down_cb,0,0,2.4,200,300,0,1,1.04926
1,lt,up_add,0,0,2.4,200,300,0,1,1.04926
1,lt,down_add,0,0,2.4,200,300,0,1,1.04926
1,lt,up,0,0,2.4,200,300,0,1,1.05971
1,lt,down,0,0,2.4,200,300,0,1,1.03882
1,lt,central,0,0,2.4,300,600,0,1,1.05797
1,lt,up_statistic,0,0,2.4,300,600,0,1,1.06904
1,lt,down_statistic,0,0,2.4,300,600,0,1,1.0469
1,lt,up_cb,0,0,2.4,300,600,0,1,1.05797
1,lt,down_cb,0,0,2.4,300,600,0,1,1.05797
1,lt,up_add,0,0,2.4,300,600,0,1,1.05797
1,lt,down_add,0,0,2.4,300,600,0,1,1.05797
1,lt,up,0,0,2.4,300,600,0,1,1.06904
1,lt,down,0,0,2.4,300,600,0,1,1.0469
1,lt,central,0,0,2.4,600,1000,0,1,1.09356
1,lt,up_statistic,0,0,2.4,600,1000,0,1,1.14999
1,lt,down_statistic,0,0,2.4,600,1000,0,1,1.03714
1,lt,up_cb,0,0,2.4,600,1000,0,1,1.09356
1,lt,down_cb,0,0,2.4,600,1000,0,1,1.09356
1,lt,up_add,0,0,2.4,600,1000,0,1,1.09356
1,lt,down_add,0,0,2.4,600,1000,0,1,1.09356
1,lt,up,0,0,2.4,600,1000,0,1,1.14999
1,lt,down,0,0,2.4,600,1000,0,1,1.03714
