CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20,30,0,1,0.866537
1,lt,up_statistic,0,0,2.4,20,30,0,1,0.872622
1,lt,down_statistic,0,0,2.4,20,30,0,1,0.860452
1,lt,up_cb,0,0,2.4,20,30,0,1,0.866537
1,lt,down_cb,0,0,2.4,20,30,0,1,0.866537
1,lt,up_add,0,0,2.4,20,30,0,1,0.866537
1,lt,down_add,0,0,2.4,20,30,0,1,0.866537
1,lt,up,0,0,2.4,20,30,0,1,0.872622
1,lt,down,0,0,2.4,20,30,0,1,0.860452
1,lt,central,0,0,2.4,30,50,0,1,0.937702
1,lt,up_statistic,0,0,2.4,30,50,0,1,0.939399
1,lt,down_statistic,0,0,2.4,30,50,0,1,0.936005
1,lt,up_cb,0,0,2.4,30,50,0,1,0.937702
1,lt,down_cb,0,0,2.4,30,50,0,1,0.937702
1,lt,up_add,0,0,2.4,30,50,0,1,0.937702
1,lt,down_add,0,0,2.4,30,50,0,1,0.937702
1,lt,up,0,0,2.4,30,50,0,1,0.939399
1,lt,down,0,0,2.4,30,50,0,1,0.936005
1,lt,central,0,0,2.4,50,70,0,1,0.961503
1,lt,up_statistic,0,0,2.4,50,70,0,1,0.96355
1,lt,down_statistic,0,0,2.4,50,70,0,1,0.959456
1,lt,up_cb,0,0,2.4,50,70,0,1,0.961503
1,lt,down_cb,0,0,2.4,50,70,0,1,0.961503
1,lt,up_add,0,0,2.4,50,70,0,1,0.961503
1,lt,down_add,0,0,2.4,50,70,0,1,0.961503
1,lt,up,0,0,2.4,50,70,0,1,0.96355
1,lt,down,0,0,2.4,50,70,0,1,0.959456
1,lt,central,0,0,2.4,70,100,0,1,0.969707
1,lt,up_statistic,0,0,2.4,70,100,0,1,0.971894
1,lt,down_statistic,0,0,2.4,70,100,0,1,0.96752
1,lt,up_cb,0,0,2.4,70,100,0,1,0.969707
1,lt,down_cb,0,0,2.4,70,100,0,1,0.969707
1,lt,up_add,0,0,2.4,70,100,0,1,0.969707
1,lt,down_add,0,0,2.4,70,100,0,1,0.969707
1,lt,up,0,0,2.4,70,100,0,1,0.971894
1,lt,down,0,0,2.4,70,100,0,1,0.96752
1,lt,central,0,0,2.4,100,140,0,1,0.985868
1,lt,up_statistic,0,0,2.4,100,140,0,1,0.988299
1,lt,down_statistic,0,0,2.4,100,140,0,1,0.983437
1,lt,up_cb,0,0,2.4,100,140,0,1,0.985868
1,lt,down_cb,0,0,2.4,100,140,0,1,0.985868
1,lt,up_add,0,0,2.4,100,140,0,1,0.985868
1,lt,down_add,0,0,2.4,100,140,0,1,0.985868
1,lt,up,0,0,2.4,100,140,0,1,0.988299
1,lt,down,0,0,2.4,100,140,0,1,0.983437
1,lt,central,0,0,2.4,140,200,0,1,0.992888
1,lt,up_statistic,0,0,2.4,140,200,0,1,0.99469
1,lt,down_statistic,0,0,2.4,140,200,0,1,0.991086
1,lt,up_cb,0,0,2.4,140,200,0,1,0.992888
1,lt,down_cb,0,0,2.4,140,200,0,1,0.992888
1,lt,up_add,0,0,2.4,140,200,0,1,0.992888
1,lt,down_add,0,0,2.4,140,200,0,1,0.992888
1,lt,up,0,0,2.4,140,200,0,1,0.99469
1,lt,down,0,0,2.4,140,200,0,1,0.991086
1,lt,central,0,0,2.4,200,300,0,1,1.00822
1,lt,up_statistic,0,0,2.4,200,300,0,1,1.01135
1,lt,down_statistic,0,0,2.4,200,300,0,1,1.0051
1,lt,up_cb,0,0,2.4,200,300,0,1,1.00822
1,lt,down_cb,0,0,2.4,200,300,0,1,1.00822
1,lt,up_add,0,0,2.4,200,300,0,1,1.00822
1,lt,down_add,0,0,2.4,200,300,0,1,1.00822
1,lt,up,0,0,2.4,200,300,0,1,1.01135
1,lt,down,0,0,2.4,200,300,0,1,1.0051
1,lt,central,0,0,2.4,300,600,0,1,1.01805
1,lt,up_statistic,0,0,2.4,300,600,0,1,1.02145
1,lt,down_statistic,0,0,2.4,300,600,0,1,1.01464
1,lt,up_cb,0,0,2.4,300,600,0,1,1.01805
1,lt,down_cb,0,0,2.4,300,600,0,1,1.01805
1,lt,up_add,0,0,2.4,300,600,0,1,1.01805
1,lt,down_add,0,0,2.4,300,600,0,1,1.01805
1,lt,up,0,0,2.4,300,600,0,1,1.02145
1,lt,down,0,0,2.4,300,600,0,1,1.01464
1,lt,central,0,0,2.4,600,1000,0,1,1.00524
1,lt,up_statistic,0,0,2.4,600,1000,0,1,1.01101
1,lt,down_statistic,0,0,2.4,600,1000,0,1,0.999473
1,lt,up_cb,0,0,2.4,600,1000,0,1,1.00524
1,lt,down_cb,0,0,2.4,600,1000,0,1,1.00524
1,lt,up_add,0,0,2.4,600,1000,0,1,1.00524
1,lt,down_add,0,0,2.4,600,1000,0,1,1.00524
1,lt,up,0,0,2.4,600,1000,0,1,1.01101
1,lt,down,0,0,2.4,600,1000,0,1,0.999473
