CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20,30,0,1,0.808985
2,lt,up_statistic,0,0,2.4,20,30,0,1,0.825836
2,lt,down_statistic,0,0,2.4,20,30,0,1,0.792134
2,lt,up_cb,0,0,2.4,20,30,0,1,0.808985
2,lt,down_cb,0,0,2.4,20,30,0,1,0.808985
2,lt,up_add,0,0,2.4,20,30,0,1,0.808985
2,lt,down_add,0,0,2.4,20,30,0,1,0.808985
2,lt,up,0,0,2.4,20,30,0,1,0.825836
2,lt,down,0,0,2.4,20,30,0,1,0.792134
2,lt,central,0,0,2.4,30,50,0,1,0.892946
2,lt,up_statistic,0,0,2.4,30,50,0,1,0.896972
2,lt,down_statistic,0,0,2.4,30,50,0,1,0.88892
2,lt,up_cb,0,0,2.4,30,50,0,1,0.892946
2,lt,down_cb,0,0,2.4,30,50,0,1,0.892946
2,lt,up_add,0,0,2.4,30,50,0,1,0.892946
2,lt,down_add,0,0,2.4,30,50,0,1,0.892946
2,lt,up,0,0,2.4,30,50,0,1,0.896972
2,lt,down,0,0,2.4,30,50,0,1,0.88892
2,lt,central,0,0,2.4,50,70,0,1,0.934923
2,lt,up_statistic,0,0,2.4,50,70,0,1,0.938694
2,lt,down_statistic,0,0,2.4,50,70,0,1,0.931152
2,lt,up_cb,0,0,2.4,50,70,0,1,0.934923
2,lt,down_cb,0,0,2.4,50,70,0,1,0.934923
2,lt,up_add,0,0,2.4,50,70,0,1,0.934923
2,lt,down_add,0,0,2.4,50,70,0,1,0.934923
2,lt,up,0,0,2.4,50,70,0,1,0.938694
2,lt,down,0,0,2.4,50,70,0,1,0.931152
2,lt,central,0,0,2.4,70,100,0,1,0.95147
2,lt,up_statistic,0,0,2.4,70,100,0,1,0.95544
2,lt,down_statistic,0,0,2.4,70,100,0,1,0.947501
2,lt,up_cb,0,0,2.4,70,100,0,1,0.95147
2,lt,down_cb,0,0,2.4,70,100,0,1,0.95147
2,lt,up_add,0,0,2.4,70,100,0,1,0.95147
2,lt,down_add,0,0,2.4,70,100,0,1,0.95147
2,lt,up,0,0,2.4,70,100,0,1,0.95544
2,lt,down,0,0,2.4,70,100,0,1,0.947501
2,lt,central,0,0,2.4,100,140,0,1,0.966454
2,lt,up_statistic,0,0,2.4,100,140,0,1,0.970472
2,lt,down_statistic,0,0,2.4,100,140,0,1,0.962436
2,lt,up_cb,0,0,2.4,100,140,0,1,0.966454
2,lt,down_cb,0,0,2.4,100,140,0,1,0.966454
2,lt,up_add,0,0,2.4,100,140,0,1,0.966454
2,lt,down_add,0,0,2.4,100,140,0,1,0.966454
2,lt,up,0,0,2.4,100,140,0,1,0.970472
2,lt,down,0,0,2.4,100,140,0,1,0.962436
2,lt,central,0,0,2.4,140,200,0,1,0.983575
2,lt,up_statistic,0,0,2.4,140,200,0,1,0.98612
2,lt,down_statistic,0,0,2.4,140,200,0,1,0.98103
2,lt,up_cb,0,0,2.4,140,200,0,1,0.983575
2,lt,down_cb,0,0,2.4,140,200,0,1,0.983575
2,lt,up_add,0,0,2.4,140,200,0,1,0.983575
2,lt,down_add,0,0,2.4,140,200,0,1,0.983575
2,lt,up,0,0,2.4,140,200,0,1,0.98612
2,lt,down,0,0,2.4,140,200,0,1,0.98103
2,lt,central,0,0,2.4,200,300,0,1,0.995388
2,lt,up_statistic,0,0,2.4,200,300,0,1,0.999665
2,lt,down_statistic,0,0,2.4,200,300,0,1,0.991111
2,lt,up_cb,0,0,2.4,200,300,0,1,0.995388
2,lt,down_cb,0,0,2.4,200,300,0,1,0.995388
2,lt,up_add,0,0,2.4,200,300,0,1,0.995388
2,lt,down_add,0,0,2.4,200,300,0,1,0.995388
2,lt,up,0,0,2.4,200,300,0,1,0.999665
2,lt,down,0,0,2.4,200,300,0,1,0.991111
2,lt,central,0,0,2.4,300,600,0,1,0.997934
2,lt,up_statistic,0,0,2.4,300,600,0,1,1.00266
2,lt,down_statistic,0,0,2.4,300,600,0,1,0.993205
2,lt,up_cb,0,0,2.4,300,600,0,1,0.997934
2,lt,down_cb,0,0,2.4,300,600,0,1,0.997934
2,lt,up_add,0,0,2.4,300,600,0,1,0.997934
2,lt,down_add,0,0,2.4,300,600,0,1,0.997934
2,lt,up,0,0,2.4,300,600,0,1,1.00266
2,lt,down,0,0,2.4,300,600,0,1,0.993205
2,lt,central,0,0,2.4,600,1000,0,1,0.970152
2,lt,up_statistic,0,0,2.4,600,1000,0,1,0.977122
2,lt,down_statistic,0,0,2.4,600,1000,0,1,0.963182
2,lt,up_cb,0,0,2.4,600,1000,0,1,0.970152
2,lt,down_cb,0,0,2.4,600,1000,0,1,0.970152
2,lt,up_add,0,0,2.4,600,1000,0,1,0.970152
2,lt,down_add,0,0,2.4,600,1000,0,1,0.970152
2,lt,up,0,0,2.4,600,1000,0,1,0.977122
2,lt,down,0,0,2.4,600,1000,0,1,0.963182
