CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20,30,0,1,0.992261
0,lt,up_statistic,0,0,2.4,20,30,0,1,0.994237
0,lt,down_statistic,0,0,2.4,20,30,0,1,0.990285
0,lt,up_cb,0,0,2.4,20,30,0,1,0.992261
0,lt,down_cb,0,0,2.4,20,30,0,1,0.992261
0,lt,up_add,0,0,2.4,20,30,0,1,0.992261
0,lt,down_add,0,0,2.4,20,30,0,1,0.992261
0,lt,up,0,0,2.4,20,30,0,1,0.994237
0,lt,down,0,0,2.4,20,30,0,1,0.990285
0,lt,central,0,0,2.4,30,50,0,1,0.991185
0,lt,up_statistic,0,0,2.4,30,50,0,1,0.992028
0,lt,down_statistic,0,0,2.4,30,50,0,1,0.990342
0,lt,up_cb,0,0,2.4,30,50,0,1,0.991185
0,lt,down_cb,0,0,2.4,30,50,0,1,0.991185
0,lt,up_add,0,0,2.4,30,50,0,1,0.991185
0,lt,down_add,0,0,2.4,30,50,0,1,0.991185
0,lt,up,0,0,2.4,30,50,0,1,0.992028
0,lt,down,0,0,2.4,30,50,0,1,0.990342
0,lt,central,0,0,2.4,50,70,0,1,0.99254
0,lt,up_statistic,0,0,2.4,50,70,0,1,0.993691
0,lt,down_statistic,0,0,2.4,50,70,0,1,0.991389
0,lt,up_cb,0,0,2.4,50,70,0,1,0.99254
0,lt,down_cb,0,0,2.4,50,70,0,1,0.99254
0,lt,up_add,0,0,2.4,50,70,0,1,0.99254
0,lt,down_add,0,0,2.4,50,70,0,1,0.99254
0,lt,up,0,0,2.4,50,70,0,1,0.993691
0,lt,down,0,0,2.4,50,70,0,1,0.991389
0,lt,central,0,0,2.4,70,100,0,1,0.997091
0,lt,up_statistic,0,0,2.4,70,100,0,1,0.998393
0,lt,down_statistic,0,0,2.4,70,100,0,1,0.995789
0,lt,up_cb,0,0,2.4,70,100,0,1,0.997091
0,lt,down_cb,0,0,2.4,70,100,0,1,0.997091
0,lt,up_add,0,0,2.4,70,100,0,1,0.997091
0,lt,down_add,0,0,2.4,70,100,0,1,0.997091
0,lt,up,0,0,2.4,70,100,0,1,0.998393
0,lt,down,0,0,2.4,70,100,0,1,0.995789
0,lt,central,0,0,2.4,100,140,0,1,0.999976
0,lt,up_statistic,0,0,2.4,100,140,0,1,1.00135
0,lt,down_statistic,0,0,2.4,100,140,0,1,0.998598
0,lt,up_cb,0,0,2.4,100,140,0,1,0.999976
0,lt,down_cb,0,0,2.4,100,140,0,1,0.999976
0,lt,up_add,0,0,2.4,100,140,0,1,0.999976
0,lt,down_add,0,0,2.4,100,140,0,1,0.999976
0,lt,up,0,0,2.4,100,140,0,1,1.00135
0,lt,down,0,0,2.4,100,140,0,1,0.998598
0,lt,central,0,0,2.4,140,200,0,1,1.00191
0,lt,up_statistic,0,0,2.4,140,200,0,1,1.00299
0,lt,down_statistic,0,0,2.4,140,200,0,1,1.00083
0,lt,up_cb,0,0,2.4,140,200,0,1,1.00191
0,lt,down_cb,0,0,2.4,140,200,0,1,1.00191
0,lt,up_add,0,0,2.4,140,200,0,1,1.00191
0,lt,down_add,0,0,2.4,140,200,0,1,1.00191
0,lt,up,0,0,2.4,140,200,0,1,1.00299
0,lt,down,0,0,2.4,140,200,0,1,1.00083
0,lt,central,0,0,2.4,200,300,0,1,1.01038
0,lt,up_statistic,0,0,2.4,200,300,0,1,1.01218
0,lt,down_statistic,0,0,2.4,200,300,0,1,1.00857
0,lt,up_cb,0,0,2.4,200,300,0,1,1.01038
0,lt,down_cb,0,0,2.4,200,300,0,1,1.01038
0,lt,up_add,0,0,2.4,200,300,0,1,1.01038
0,lt,down_add,0,0,2.4,200,300,0,1,1.01038
0,lt,up,0,0,2.4,200,300,0,1,1.01218
0,lt,down,0,0,2.4,200,300,0,1,1.00857
0,lt,central,0,0,2.4,300,600,0,1,1.02154
0,lt,up_statistic,0,0,2.4,300,600,0,1,1.02379
0,lt,down_statistic,0,0,2.4,300,600,0,1,1.01929
0,lt,up_cb,0,0,2.4,300,600,0,1,1.02154
0,lt,down_cb,0,0,2.4,300,600,0,1,1.02154
0,lt,up_add,0,0,2.4,300,600,0,1,1.02154
0,lt,down_add,0,0,2.4,300,600,0,1,1.02154
0,lt,up,0,0,2.4,300,600,0,1,1.02379
0,lt,down,0,0,2.4,300,600,0,1,1.01929
0,lt,central,0,0,2.4,600,1000,0,1,1.0307
0,lt,up_statistic,0,0,2.4,600,1000,0,1,1.03386
0,lt,down_statistic,0,0,2.4,600,1000,0,1,1.02754
0,lt,up_cb,0,0,2.4,600,1000,0,1,1.0307
0,lt,down_cb,0,0,2.4,600,1000,0,1,1.0307
0,lt,up_add,0,0,2.4,600,1000,0,1,1.0307
0,lt,down_add,0,0,2.4,600,1000,0,1,1.0307
0,lt,up,0,0,2.4,600,1000,0,1,1.03386
0,lt,down,0,0,2.4,600,1000,0,1,1.02754
