CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,lt,central,0,0,2.4,20,30,0,1,0.974322
1,lt,up_statistic,0,0,2.4,20,30,0,1,0.977715
1,lt,down_statistic,0,0,2.4,20,30,0,1,0.970929
1,lt,up_cb,0,0,2.4,20,30,0,1,0.974322
1,lt,down_cb,0,0,2.4,20,30,0,1,0.974322
1,lt,up_add,0,0,2.4,20,30,0,1,0.974322
1,lt,down_add,0,0,2.4,20,30,0,1,0.974322
1,lt,up,0,0,2.4,20,30,0,1,0.977715
1,lt,down,0,0,2.4,20,30,0,1,0.970929
1,lt,central,0,0,2.4,30,50,0,1,0.977936
1,lt,up_statistic,0,0,2.4,30,50,0,1,0.979308
1,lt,down_statistic,0,0,2.4,30,50,0,1,0.976564
1,lt,up_cb,0,0,2.4,30,50,0,1,0.977936
1,lt,down_cb,0,0,2.4,30,50,0,1,0.977936
1,lt,up_add,0,0,2.4,30,50,0,1,0.977936
1,lt,down_add,0,0,2.4,30,50,0,1,0.977936
1,lt,up,0,0,2.4,30,50,0,1,0.979308
1,lt,down,0,0,2.4,30,50,0,1,0.976564
1,lt,central,0,0,2.4,50,70,0,1,0.988085
1,lt,up_statistic,0,0,2.4,50,70,0,1,0.989804
1,lt,down_statistic,0,0,2.4,50,70,0,1,0.986366
1,lt,up_cb,0,0,2.4,50,70,0,1,0.988085
1,lt,down_cb,0,0,2.4,50,70,0,1,0.988085
1,lt,up_add,0,0,2.4,50,70,0,1,0.988085
1,lt,down_add,0,0,2.4,50,70,0,1,0.988085
1,lt,up,0,0,2.4,50,70,0,1,0.989804
1,lt,down,0,0,2.4,50,70,0,1,0.986366
1,lt,central,0,0,2.4,70,100,0,1,0.985753
1,lt,up_statistic,0,0,2.4,70,100,0,1,0.987664
1,lt,down_statistic,0,0,2.4,70,100,0,1,0.983842
1,lt,up_cb,0,0,2.4,70,100,0,1,0.985753
1,lt,down_cb,0,0,2.4,70,100,0,1,0.985753
1,lt,up_add,0,0,2.4,70,100,0,1,0.985753
1,lt,down_add,0,0,2.4,70,100,0,1,0.985753
1,lt,up,0,0,2.4,70,100,0,1,0.987664
1,lt,down,0,0,2.4,70,100,0,1,0.983842
1,lt,central,0,0,2.4,100,140,0,1,0.985768
1,lt,up_statistic,0,0,2.4,100,140,0,1,0.988068
1,lt,down_statistic,0,0,2.4,100,140,0,1,0.983468
1,lt,up_cb,0,0,2.4,100,140,0,1,0.985768
1,lt,down_cb,0,0,2.4,100,140,0,1,0.985768
1,lt,up_add,0,0,2.4,100,140,0,1,0.985768
1,lt,down_add,0,0,2.4,100,140,0,1,0.985768
1,lt,up,0,0,2.4,100,140,0,1,0.988068
1,lt,down,0,0,2.4,100,140,0,1,0.983468
1,lt,central,0,0,2.4,140,200,0,1,0.989376
1,lt,up_statistic,0,0,2.4,140,200,0,1,0.991134
1,lt,down_statistic,0,0,2.4,140,200,0,1,0.987618
1,lt,up_cb,0,0,2.4,140,200,0,1,0.989376
1,lt,down_cb,0,0,2.4,140,200,0,1,0.989376
1,lt,up_add,0,0,2.4,140,200,0,1,0.989376
1,lt,down_add,0,0,2.4,140,200,0,1,0.989376
1,lt,up,0,0,2.4,140,200,0,1,0.991134
1,lt,down,0,0,2.4,140,200,0,1,0.987618
1,lt,central,0,0,2.4,200,300,0,1,1.00313
1,lt,up_statistic,0,0,2.4,200,300,0,1,1.00617
1,lt,down_statistic,0,0,2.4,200,300,0,1,1.00009
1,lt,up_cb,0,0,2.4,200,300,0,1,1.00313
1,lt,down_cb,0,0,2.4,200,300,0,1,1.00313
1,lt,up_add,0,0,2.4,200,300,0,1,1.00313
1,lt,down_add,0,0,2.4,200,300,0,1,1.00313
1,lt,up,0,0,2.4,200,300,0,1,1.00617
1,lt,down,0,0,2.4,200,300,0,1,1.00009
1,lt,central,0,0,2.4,300,600,0,1,1.01409
1,lt,up_statistic,0,0,2.4,300,600,0,1,1.01744
1,lt,down_statistic,0,0,2.4,300,600,0,1,1.01074
1,lt,up_cb,0,0,2.4,300,600,0,1,1.01409
1,lt,down_cb,0,0,2.4,300,600,0,1,1.01409
1,lt,up_add,0,0,2.4,300,600,0,1,1.01409
1,lt,down_add,0,0,2.4,300,600,0,1,1.01409
1,lt,up,0,0,2.4,300,600,0,1,1.01744
1,lt,down,0,0,2.4,300,600,0,1,1.01074
1,lt,central,0,0,2.4,600,1000,0,1,1.00649
1,lt,up_statistic,0,0,2.4,600,1000,0,1,1.01263
1,lt,down_statistic,0,0,2.4,600,1000,0,1,1.00035
1,lt,up_cb,0,0,2.4,600,1000,0,1,1.00649
1,lt,down_cb,0,0,2.4,600,1000,0,1,1.00649
1,lt,up_add,0,0,2.4,600,1000,0,1,1.00649
1,lt,down_add,0,0,2.4,600,1000,0,1,1.00649
1,lt,up,0,0,2.4,600,1000,0,1,1.01263
1,lt,down,0,0,2.4,600,1000,0,1,1.00035
