CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,lt,central,0,0,2.4,20,30,0,1,0.894704
2,lt,up_statistic,0,0,2.4,20,30,0,1,0.902012
2,lt,down_statistic,0,0,2.4,20,30,0,1,0.887396
2,lt,up_cb,0,0,2.4,20,30,0,1,0.894704
2,lt,down_cb,0,0,2.4,20,30,0,1,0.894704
2,lt,up_add,0,0,2.4,20,30,0,1,0.894704
2,lt,down_add,0,0,2.4,20,30,0,1,0.894704
2,lt,up,0,0,2.4,20,30,0,1,0.902012
2,lt,down,0,0,2.4,20,30,0,1,0.887396
2,lt,central,0,0,2.4,30,50,0,1,0.960736
2,lt,up_statistic,0,0,2.4,30,50,0,1,0.963224
2,lt,down_statistic,0,0,2.4,30,50,0,1,0.958248
2,lt,up_cb,0,0,2.4,30,50,0,1,0.960736
2,lt,down_cb,0,0,2.4,30,50,0,1,0.960736
2,lt,up_add,0,0,2.4,30,50,0,1,0.960736
2,lt,down_add,0,0,2.4,30,50,0,1,0.960736
2,lt,up,0,0,2.4,30,50,0,1,0.963224
2,lt,down,0,0,2.4,30,50,0,1,0.958248
2,lt,central,0,0,2.4,50,70,0,1,0.968878
2,lt,up_statistic,0,0,2.4,50,70,0,1,0.972032
2,lt,down_statistic,0,0,2.4,50,70,0,1,0.965723
2,lt,up_cb,0,0,2.4,50,70,0,1,0.968878
2,lt,down_cb,0,0,2.4,50,70,0,1,0.968878
2,lt,up_add,0,0,2.4,50,70,0,1,0.968878
2,lt,down_add,0,0,2.4,50,70,0,1,0.968878
2,lt,up,0,0,2.4,50,70,0,1,0.972032
2,lt,down,0,0,2.4,50,70,0,1,0.965723
2,lt,central,0,0,2.4,70,100,0,1,0.968623
2,lt,up_statistic,0,0,2.4,70,100,0,1,0.972063
2,lt,down_statistic,0,0,2.4,70,100,0,1,0.965183
2,lt,up_cb,0,0,2.4,70,100,0,1,0.968623
2,lt,down_cb,0,0,2.4,70,100,0,1,0.968623
2,lt,up_add,0,0,2.4,70,100,0,1,0.968623
2,lt,down_add,0,0,2.4,70,100,0,1,0.968623
2,lt,up,0,0,2.4,70,100,0,1,0.972063
2,lt,down,0,0,2.4,70,100,0,1,0.965183
2,lt,central,0,0,2.4,100,140,0,1,0.973631
2,lt,up_statistic,0,0,2.4,100,140,0,1,0.97736
2,lt,down_statistic,0,0,2.4,100,140,0,1,0.969902
2,lt,up_cb,0,0,2.4,100,140,0,1,0.973631
2,lt,down_cb,0,0,2.4,100,140,0,1,0.973631
2,lt,up_add,0,0,2.4,100,140,0,1,0.973631
2,lt,down_add,0,0,2.4,100,140,0,1,0.973631
2,lt,up,0,0,2.4,100,140,0,1,0.97736
2,lt,down,0,0,2.4,100,140,0,1,0.969902
2,lt,central,0,0,2.4,140,200,0,1,0.984644
2,lt,up_statistic,0,0,2.4,140,200,0,1,0.987197
2,lt,down_statistic,0,0,2.4,140,200,0,1,0.982091
2,lt,up_cb,0,0,2.4,140,200,0,1,0.984644
2,lt,down_cb,0,0,2.4,140,200,0,1,0.984644
2,lt,up_add,0,0,2.4,140,200,0,1,0.984644
2,lt,down_add,0,0,2.4,140,200,0,1,0.984644
2,lt,up,0,0,2.4,140,200,0,1,0.987197
2,lt,down,0,0,2.4,140,200,0,1,0.982091
2,lt,central,0,0,2.4,200,300,0,1,0.994479
2,lt,up_statistic,0,0,2.4,200,300,0,1,0.998636
2,lt,down_statistic,0,0,2.4,200,300,0,1,0.990322
2,lt,up_cb,0,0,2.4,200,300,0,1,0.994479
2,lt,down_cb,0,0,2.4,200,300,0,1,0.994479
2,lt,up_add,0,0,2.4,200,300,0,1,0.994479
2,lt,down_add,0,0,2.4,200,300,0,1,0.994479
2,lt,up,0,0,2.4,200,300,0,1,0.998636
2,lt,down,0,0,2.4,200,300,0,1,0.990322
2,lt,central,0,0,2.4,300,600,0,1,0.998643
2,lt,up_statistic,0,0,2.4,300,600,0,1,1.00308
2,lt,down_statistic,0,0,2.4,300,600,0,1,0.994206
2,lt,up_cb,0,0,2.4,300,600,0,1,0.998643
2,lt,down_cb,0,0,2.4,300,600,0,1,0.998643
2,lt,up_add,0,0,2.4,300,600,0,1,0.998643
2,lt,down_add,0,0,2.4,300,600,0,1,0.998643
2,lt,up,0,0,2.4,300,600,0,1,1.00308
2,lt,down,0,0,2.4,300,600,0,1,0.994206
2,lt,central,0,0,2.4,600,1000,0,1,0.976737
2,lt,up_statistic,0,0,2.4,600,1000,0,1,0.985322
2,lt,down_statistic,0,0,2.4,600,1000,0,1,0.968152
2,lt,up_cb,0,0,2.4,600,1000,0,1,0.976737
2,lt,down_cb,0,0,2.4,600,1000,0,1,0.976737
2,lt,up_add,0,0,2.4,600,1000,0,1,0.976737
2,lt,down_add,0,0,2.4,600,1000,0,1,0.976737
2,lt,up,0,0,2.4,600,1000,0,1,0.985322
2,lt,down,0,0,2.4,600,1000,0,1,0.968152
